"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"01121",190.8420293,248.765364,"Talladega",1,121,"Alabama"
"01035",279.2621962,308.0714726,"Conecuh",1,35,"Alabama"
"01103",165.1062444,173.1111471,"Morgan",1,103,"Alabama"
"01055",258.0570167,278.1115547,"Etowah",1,55,"Alabama"
"01105",324.2100317,250.9260366,"Perry",1,105,"Alabama"
"01017",254.244667,222.7944793,"Chambers",1,17,"Alabama"
"01071",157.9489527,301.5018204,"Jackson",1,71,"Alabama"
"01083",105.1020703,113.9643721,"Limestone",1,83,"Alabama"
"01119",263.6075177,114.9142247,"Sumter",1,119,"Alabama"
"01059",183.8189321,178.0137414,"Franklin",1,59,"Alabama"
"01111",293.3321262,250.1591922,"Randolph",1,111,"Alabama"
"01037",218.5373335,201.1494253,"Coosa",1,37,"Alabama"
"01031",157.0298918,236.6645096,"Coffee",1,31,"Alabama"
"01095",180.8340509,154.8839389,"Marshall",1,95,"Alabama"
"01013",326.787117,248.5851801,"Butler",1,13,"Alabama"
"01087",237.3763665,158.061117,"Macon",1,87,"Alabama"
"01127",305.2540701,309.9030204,"Walker",1,127,"Alabama"
"01033",174.8288573,203.694354,"Colbert",1,33,"Alabama"
"01009",187.4490628,165.9694819,"Blount",1,9,"Alabama"
"01133",188.6311496,300.4782259,"Winston",1,133,"Alabama"
"01065",300.6093433,271.00271,"Hale",1,65,"Alabama"
"01089",67.15320938,118.1520612,"Madison",1,89,"Alabama"
"01011",233.326852,125.9934096,"Bullock",1,11,"Alabama"
"01025",223.7058875,232.5173291,"Clarke",1,25,"Alabama"
"01041",262.7406569,229.1125706,"Crenshaw",1,41,"Alabama"
"01023",295.1443986,183.3253627,"Choctaw",1,23,"Alabama"
"01077",166.7201026,185.1457757,"Lauderdale",1,77,"Alabama"
"01131",251.5963023,239.0971691,"Wilcox",1,131,"Alabama"
"01043",165.8405099,209.4440213,"Cullman",1,43,"Alabama"
"01069",191.634214,227.1478975,"Houston",1,69,"Alabama"
"01053",189.8785977,294.3260479,"Escambia",1,53,"Alabama"
"01003",85.20343396,182.4687391,"Baldwin",1,3,"Alabama"
"01049",206.0560372,239.6010364,"DeKalb",1,49,"Alabama"
"01015",181.1672346,260.3111667,"Calhoun",1,15,"Alabama"
"01067",167.5295213,212.4483234,"Henry",1,67,"Alabama"
"01113",142.3511668,210.8987006,"Russell",1,113,"Alabama"
"01075",388.5451144,247.7050852,"Lamar",1,75,"Alabama"
"01079",214.3181474,290.1529348,"Lawrence",1,79,"Alabama"
"01047",315.9224937,267.8902976,"Dallas",1,47,"Alabama"
"01039",288.6311401,335.8567011,"Covington",1,39,"Alabama"
"01045",209.5899592,194.6353628,"Dale",1,45,"Alabama"
"01081",89.925984,106.8786899,"Lee",1,81,"Alabama"
"01101",177.3715328,168.7303917,"Montgomery",1,101,"Alabama"
"01117",79.55777346,99.36582522,"Shelby",1,117,"Alabama"
"01057",302.0999632,315.3793828,"Fayette",1,57,"Alabama"
"01125",134.5896218,159.4516976,"Tuscaloosa",1,125,"Alabama"
"01019",162.2201901,256.102441,"Cherokee",1,19,"Alabama"
"01085",459.7701149,329.571557,"Lowndes",1,85,"Alabama"
"01091",218.9096216,315.2088258,"Marengo",1,91,"Alabama"
"01099",181.3053989,264.5098937,"Monroe",1,99,"Alabama"
"01107",231.6964985,254.790594,"Pickens",1,107,"Alabama"
"01129",186.7219917,210.9565561,"Washington",1,129,"Alabama"
"01115",178.8551952,236.6493052,"St. Clair",1,115,"Alabama"
"01093",249.3103096,246.1370163,"Marion",1,93,"Alabama"
"01007",215.604366,204.9910873,"Bibb",1,7,"Alabama"
"01073",133.6699438,154.4961675,"Jefferson",1,73,"Alabama"
"01123",230.7860847,241.151682,"Tallapoosa",1,123,"Alabama"
"01109",163.6859654,224.3103971,"Pike",1,109,"Alabama"
"01029",199.6007984,271.6491089,"Cleburne",1,29,"Alabama"
"01005",181.8109326,208.0332853,"Barbour",1,5,"Alabama"
"01051",127.8555553,176.1452244,"Elmore",1,51,"Alabama"
"01097",137.0948263,204.2371959,"Mobile",1,97,"Alabama"
"01001",112.9247511,181.1624875,"Autauga",1,1,"Alabama"
"01021",202.9101589,236.5268137,"Chilton",1,21,"Alabama"
"01027",341.4668848,169.1331924,"Clay",1,27,"Alabama"
"01063",324.9516441,301.0471204,"Greene",1,63,"Alabama"
"01061",243.3894231,303.404877,"Geneva",1,61,"Alabama"
