"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"04021",169.822087872044,165.680049435344,"Pinal",4,21,"Arizona"
"04011",115.765102083772,222.906273219403,"Greenlee",4,11,"Arizona"
"04003",213.145002226888,225.477353022905,"Cochise",4,3,"Arizona"
"04009",180.878552971576,210.331914020418,"Graham",4,9,"Arizona"
"04015",260.242986731339,323.718480042733,"Mohave",4,15,"Arizona"
"04023",313.40709267595,106.585299588288,"Santa Cruz",4,23,"Arizona"
"04001",644.223710428933,274.126981709639,"Apache",4,1,"Arizona"
"04027",358.601052970882,175.296232700145,"Yuma",4,27,"Arizona"
"04005",201.459894302549,93.0642970888109,"Coconino",4,5,"Arizona"
"04017",459.278542209,300.136172893257,"Navajo",4,17,"Arizona"
"04025",170.975444388763,235.613692923722,"Yavapai",4,25,"Arizona"
"04007",310.582248166442,281.989990289086,"Gila",4,7,"Arizona"
"04019",191.822148006836,121.587834366545,"Pima",4,19,"Arizona"
"04012",358.601052970882,175.296232700145,"Yuma",4,12,"Arizona"
"04013",161.400741014925,124.106135031931,"Maricopa",4,13,"Arizona"
