"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"05121",284.6514637,127.4968126,"Randolph",5,121,"Arkansas"
"05039",258.2628747,79.01390645,"Dallas",5,39,"Arkansas"
"05113",316.9178189,372.5165563,"Polk",5,113,"Arkansas"
"05087",72.33709084,189.3491124,"Madison",5,87,"Arkansas"
"05019",100.4464286,164.1112205,"Clark",5,19,"Arkansas"
"05129",229.650421,190.5487805,"Searcy",5,129,"Arkansas"
"05029",63.55320173,129.4839824,"Conway",5,29,"Arkansas"
"05077",237.4578047,313.7346038,"Lee",5,77,"Arkansas"
"05097",294.3581357,395.8551636,"Montgomery",5,97,"Arkansas"
"05043",158.6024595,140.0315071,"Drew",5,43,"Arkansas"
"05115",105.8117747,145.9418743,"Pope",5,115,"Arkansas"
"05051",164.2702265,228.3013977,"Garland",5,51,"Arkansas"
"05111",256.1198711,176.2580418,"Poinsett",5,111,"Arkansas"
"05109",211.0817942,267.8571429,"Pike",5,109,"Arkansas"
"05123",164.8351648,201.8960674,"St. Francis",5,123,"Arkansas"
"05031",106.5222459,92.75445043,"Craighead",5,31,"Arkansas"
"05147",115.6626506,261.0966057,"Woodruff",5,147,"Arkansas"
"05009",201.9230769,180.0847458,"Boone",5,9,"Arkansas"
"05001",154.1605839,178.8055787,"Arkansas (county)",5,1,"Arkansas"
"05027",157.5906146,105.8107751,"Columbia",5,27,"Arkansas"
"05045",67.67044493,93.67794005,"Faulkner",5,45,"Arkansas"
"05083",68.03042472,174.5447684,"Logan",5,83,"Arkansas"
"05141",98.30487113,222.8731533,"Van Buren",5,141,"Arkansas"
"05017",295.945546,129.5207731,"Chicot",5,17,"Arkansas"
"05085",121.5312943,113.9059003,"Lonoke",5,85,"Arkansas"
"05117",204.5288532,245.3686664,"Prairie",5,117,"Arkansas"
"05015",161.4273577,140.8401113,"Carroll",5,15,"Arkansas"
"05091",171.4486474,239.2288388,"Miller",5,91,"Arkansas"
"05079",250.8710801,215.1529122,"Lincoln",5,79,"Arkansas"
"05067",157.6025312,130.952381,"Jackson",5,67,"Arkansas"
"05065",88.1251377,252.4888184,"Izard",5,65,"Arkansas"
"05069",237.267825,154.5454545,"Jefferson",5,69,"Arkansas"
"05131",104.2253521,169.1295673,"Sebastian",5,131,"Arkansas"
"05053",93.16770186,215.7915122,"Grant",5,53,"Arkansas"
"05103",201.0936673,205.834974,"Ouachita",5,103,"Arkansas"
"05003",132.3251418,197.6918145,"Ashley",5,3,"Arkansas"
"05057",118.858954,146.9247138,"Hempstead",5,57,"Arkansas"
"05049",346.6776723,354.5222195,"Fulton",5,49,"Arkansas"
"05099",319.5352215,219.4854286,"Nevada",5,99,"Arkansas"
"05055",146.7345023,157.8583168,"Greene",5,55,"Arkansas"
"05023",184.2200945,244.3518667,"Cleburne",5,23,"Arkansas"
"05033",110.8618187,203.8516358,"Crawford",5,33,"Arkansas"
"05047",153.3368183,180.5895375,"Franklin",5,47,"Arkansas"
"05107",274.9969847,325.3049734,"Phillips",5,107,"Arkansas"
"05035",170.035424,182.7577514,"Crittenden",5,35,"Arkansas"
"05089",163.8760242,253.5227876,"Marion",5,89,"Arkansas"
"05011",307.6338777,172.7281451,"Bradley",5,11,"Arkansas"
"05139",216.3387246,182.1730644,"Union",5,139,"Arkansas"
"05105",35.80308304,200.621928,"Perry",5,105,"Arkansas"
"05101",280.4509211,208.2465639,"Newton",5,101,"Arkansas"
"05125",95.08562558,131.9926084,"Saline",5,125,"Arkansas"
"05013",100.2715688,105.507491,"Calhoun",5,13,"Arkansas"
"05095",195.5555556,298.7303958,"Monroe",5,95,"Arkansas"
"05093",243.2873461,153.327971,"Mississippi",5,93,"Arkansas"
"05075",236.4240857,110.5786952,"Lawrence",5,75,"Arkansas"
"05021",223.6024845,285.2570792,"Clay",5,21,"Arkansas"
"05005",215.5533734,297.1026549,"Baxter",5,5,"Arkansas"
"05059",184.5875434,159.9710241,"Hot Spring",5,59,"Arkansas"
"05137",183.6784017,200.5776637,"Stone",5,137,"Arkansas"
"05007",118.2526287,127.1264635,"Benton",5,7,"Arkansas"
"05143",105.8730256,94.9663811,"Washington",5,143,"Arkansas"
"05025",315.8725981,146.3155094,"Cleveland",5,25,"Arkansas"
"05071",92.87925697,178.1357704,"Johnson",5,71,"Arkansas"
"05073",94.74182852,210.2879327,"Lafayette",5,73,"Arkansas"
"05119",103.1267197,120.3505492,"Pulaski",5,119,"Arkansas"
"05041",137.870084,215.7303371,"Desha",5,41,"Arkansas"
"05037",208.4955964,173.7255137,"Cross",5,37,"Arkansas"
"05127",170.1955222,193.4826884,"Scott",5,127,"Arkansas"
"05133",218.1407886,221.7716386,"Sevier",5,133,"Arkansas"
"05061",168.5261762,110.184165,"Howard",5,61,"Arkansas"
"05063",228.1850835,201.3351701,"Independence",5,63,"Arkansas"
"05081",279.3946449,292.9360562,"Little River",5,81,"Arkansas"
"05145",85.58646178,143.877432,"White",5,145,"Arkansas"
"05135",180.1697754,239.0166173,"Sharp",5,135,"Arkansas"
"05149",217.8713381,198.3733386,"Yell",5,149,"Arkansas"
