"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"06001",45.49476452,48.69582891,"Alameda",6,1,"California"
"06075",30.77673122,41.54544185,"San Francisco",6,75,"California"
"06099",137.7487281,155.5274642,"Stanislaus",6,99,"California"
"06047",110.8163113,134.3737971,"Merced",6,47,"California"
"06057",74.145997,64.86026002,"Nevada",6,57,"California"
"06003",403.7005887,325.203252,"Alpine",6,3,"California"
"06017",45.08994505,82.42014576,"El Dorado",6,17,"California"
"06063",42.68292683,150.799236,"Plumas",6,63,"California"
"06061",46.46929549,74.39047219,"Placer",6,61,"California"
"06021",91.60941078,204.7331529,"Glenn",6,21,"California"
"06069",59.54873226,90.41455072,"San Benito",6,69,"California"
"06043",35.03649635,128.3247783,"Mariposa",6,43,"California"
"06053",70.19612413,83.88648125,"Monterey",6,53,"California"
"06009",44.7997189,128.0076371,"Calaveras",6,9,"California"
"06045",46.30446287,71.18451025,"Mendocino",6,45,"California"
"06031",88.78587283,146.7480629,"Kings",6,31,"California"
"06095",45.37213108,79.21352914,"Solano",6,95,"California"
"06005",56.30741875,104.4855907,"Amador",6,5,"California"
"06077",122.2068115,138.5588107,"San Joaquin",6,77,"California"
"06033",69.13463527,129.5864881,"Lake",6,33,"California"
"06041",52.3696501,29.18194559,"Marin",6,41,"California"
"06101",75.10448002,147.2902627,"Sutter",6,101,"California"
"06105",30.89200669,118.2768924,"Trinity",6,105,"California"
"06023",20.25361043,68.22383286,"Humboldt",6,23,"California"
"06037",134.4372036,141.5127564,"Los Angeles",6,37,"California"
"06103",80.56148917,196.9014729,"Tehama",6,103,"California"
"06055",33.17039106,53.51474588,"Napa",6,55,"California"
"06111",53.53703987,97.35302134,"Ventura",6,111,"California"
"06073",63.54572802,87.2646531,"San Diego",6,73,"California"
"06089",67.40422157,190.0023613,"Shasta",6,89,"California"
"06049",27.62113016,138.5521302,"Modoc",6,49,"California"
"06039",129.9984069,169.1791979,"Madera",6,39,"California"
"06107",114.4386859,164.2990537,"Tulare",6,107,"California"
"06093",38.23830659,170.0873115,"Siskiyou",6,93,"California"
"06025",353.3242423,191.3258212,"Imperial",6,25,"California"
"06071",150.990065,165.3469916,"San Bernardino",6,71,"California"
"06059",92.77868191,110.9398978,"Orange",6,59,"California"
"06097",48.1308373,47.71257288,"Sonoma",6,97,"California"
"06081",39.14563597,48.14759869,"San Mateo",6,81,"California"
"06035",59.13150601,196.4042907,"Lassen",6,35,"California"
"06015",25.91979264,160.4678529,"Del Norte",6,15,"California"
"06113",60.86315013,60.40234416,"Yolo",6,113,"California"
"06087",54.13140176,54.816997,"Santa Cruz",6,87,"California"
"06079",49.2917847,87.62507773,"San Luis Obispo",6,79,"California"
"06007",75.01456249,140.4817613,"Butte",6,7,"California"
"06065",131.0632798,160.8104357,"Riverside",6,65,"California"
"06067",71.93275653,83.47339994,"Sacramento",6,67,"California"
"06013",43.53204428,55.93717137,"Contra Costa",6,13,"California"
"06019",111.5669883,138.4133603,"Fresno",6,19,"California"
"06085",53.0574264,57.34417711,"Santa Clara",6,85,"California"
"06083",47.45912683,84.61846697,"Santa Barbara",6,83,"California"
"06011",82.55365988,104.9844806,"Colusa",6,11,"California"
"06027",178.0887263,115.9237011,"Inyo",6,27,"California"
"06091",37.57044458,91.60305344,"Sierra",6,91,"California"
"06029",89.4874271,146.7453091,"Kern",6,29,"California"
"06115",42.65019487,102.1585501,"Yuba",6,115,"California"
"06109",71.52145644,206.2151452,"Tuolumne",6,109,"California"
"06051",17.92114695,30.2091987,"Mono",6,51,"California"
