"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"16075",113.97578997013,194.367163382751,"Payette",16,75,"Idaho"
"16009",50.14102162,293.551978945237,"Benewah",16,9,"Idaho"
"16029",170.333569907736,197.266450612935,"Caribou",16,29,"Idaho"
"16001",74.6346723316596,95.7056032885073,"Ada",16,1,"Idaho"
"16041",98.2042648709316,75.3012048192771,"Franklin",16,41,"Idaho"
"16031",89.2386322151462,103.602167676124,"Cassia",16,31,"Idaho"
"16067",148.203038162282,123.208907547686,"Minidoka",16,67,"Idaho"
"16007",113.332284,168.737536431968,"Bear Lake",16,7,"Idaho"
"16053",94.6268411091911,158.549475567119,"Jerome",16,53,"Idaho"
"16015",46.56577416,137.003362809814,"Boise",16,15,"Idaho"
"16087",161.596958174905,267.379679144385,"Washington",16,87,"Idaho"
"16011",114.671726122219,159.973747897781,"Bingham",16,11,"Idaho"
"16039",49.1297024143739,180.530481877517,"Elmore",16,39,"Idaho"
"16073",166.763945634954,187.235428199284,"Owyhee",16,73,"Idaho"
"16013",70.3031305570489,48.5790624240952,"Blaine",16,13,"Idaho"
"16005",88.1168177240685,144.146189206061,"Bannock",16,5,"Idaho"
"16017",65.438118759631,278.540205347159,"Bonner",16,17,"Idaho"
"16065",33.2466313339722,40.9424200692299,"Madison",16,65,"Idaho"
"16047",153.796859980775,177.743921792674,"Gooding",16,47,"Idaho"
"16019",107.093106585823,96.5099491557341,"Bonneville",16,19,"Idaho"
"16037",56.02240896,90.82652134,"Custer",16,37,"Idaho"
"16021",82.0142704830641,360.1152368758,"Boundary",16,21,"Idaho"
"16061",266.9632925,433.839479392625,"Lewis",16,61,"Idaho"
"16003",81.41112619,87.03220191,"Adams",16,3,"Idaho"
"16035",136.876924831755,157.764255127338,"Clearwater",16,35,"Idaho"
"16081",70.94594595,57.42882927,"Teton",16,81,"Idaho"
"16083",117.746378743446,157.682395032461,"Twin Falls",16,83,"Idaho"
"16033",901.126408,505.0505051,"Clark",16,33,"Idaho"
"16049",102.286401925391,229.817324690631,"Idaho (county)",16,49,"Idaho"
"16057",6.030908406,89.5277411653528,"Latah",16,57,"Idaho"
"16085",40.60226696,8.208832704,"Valley",16,85,"Idaho"
"16059",137.70655983976,159.881933341532,"Lemhi",16,59,"Idaho"
"16023",46.31416442,151.3431706,"Butte",16,23,"Idaho"
"16043",97.1599402092676,88.4629561371176,"Fremont",16,43,"Idaho"
"16071",105.4481547,130.3497719,"Oneida",16,71,"Idaho"
"16045",125.287116308206,177.538804910216,"Gem",16,45,"Idaho"
"16079",212.346428029729,317.343173431734,"Shoshone",16,79,"Idaho"
"16055",92.8230386781999,183.499583209788,"Kootenai",16,55,"Idaho"
"16051",70.9471443774388,115.49867332605,"Jefferson",16,51,"Idaho"
"16063",193.162062970833,38.02281369,"Lincoln",16,63,"Idaho"
"16025",0.0,618.3745583,"Camas",16,25,"Idaho"
"16027",105.808319875258,145.282659624666,"Canyon",16,27,"Idaho"
"16077",45.85403133,163.727959697733,"Power",16,77,"Idaho"
"16069",100.217137130449,167.44888092262,"Nez Perce",16,69,"Idaho"
