"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"17139",165.6886434,130.980284,"Moultrie",17,139,"Illinois"
"17073",156.4664657,83.77434053,"Henry",17,73,"Illinois"
"17023",140.2233186,195.8735962,"Clark",17,23,"Illinois"
"17039",163.0329301,136.7543631,"De Witt",17,39,"Illinois"
"17069",327.2429779,301.5350877,"Hardin",17,69,"Illinois"
"17143",96.92088114,117.4224928,"Peoria",17,143,"Illinois"
"17019",38.42365966,62.17395106,"Champaign",17,19,"Illinois"
"17191",238.28731,181.4087326,"Wayne",17,191,"Illinois"
"17117",176.7580958,157.4271899,"Macoupin",17,117,"Illinois"
"17123",61.77606178,145.7101226,"Marshall",17,123,"Illinois"
"17151",188.9267909,317.9650238,"Pope",17,151,"Illinois"
"17159",220.7981727,259.5429512,"Richland",17,159,"Illinois"
"17003",251.7162471,237.6237624,"Alexander",17,3,"Illinois"
"17103",225.6832207,114.5542664,"Lee",17,103,"Illinois"
"17169",69.91988347,43.80841121,"Schuyler",17,169,"Illinois"
"17163",151.2646236,115.6468185,"St. Clair",17,163,"Illinois"
"17189",148.5040402,153.6997731,"Washington",17,189,"Illinois"
"17037",66.55705881,68.73331474,"DeKalb",17,37,"Illinois"
"17053",214.1423154,147.9946722,"Ford",17,53,"Illinois"
"17055",190.7486886,234.8545503,"Franklin",17,55,"Illinois"
"17065",165.1445014,227.2440348,"Hamilton",17,65,"Illinois"
"17077",152.7031832,121.64294,"Jackson",17,77,"Illinois"
"17145",166.5151443,190.7486886,"Perry",17,145,"Illinois"
"17087",145.5868972,238.0952381,"Johnson",17,87,"Illinois"
"17075",195.671509,160.1489758,"Iroquois",17,75,"Illinois"
"17105",181.4414515,179.3872803,"Livingston",17,105,"Illinois"
"17175",268.2063699,75.35795026,"Stark",17,175,"Illinois"
"17179",102.5359334,126.4358128,"Tazewell",17,179,"Illinois"
"17057",110.9421133,165.5031295,"Fulton",17,57,"Illinois"
"17171",97.48172218,123.736853,"Scott",17,171,"Illinois"
"17155",127.5690999,143.472023,"Putnam",17,155,"Illinois"
"17081",210.2312544,181.5767365,"Jefferson",17,81,"Illinois"
"17135",123.4699308,245.5953017,"Montgomery",17,135,"Illinois"
"17187",221.9967775,169.0106839,"Warren",17,187,"Illinois"
"17007",128.3253912,69.57110355,"Boone",17,7,"Illinois"
"17063",100.8653791,103.9304611,"Grundy",17,63,"Illinois"
"17109",135.5290003,119.114089,"McDonough",17,109,"Illinois"
"17129",117.59902,114.9519665,"Menard",17,129,"Illinois"
"17101",235.4788069,131.8913216,"Lawrence",17,101,"Illinois"
"17025",262.8200287,144.3659296,"Clay",17,25,"Illinois"
"17177",172.9768688,210.9561075,"Stephenson",17,177,"Illinois"
"17011",207.1409103,154.9351399,"Bureau",17,11,"Illinois"
"17079",167.8321678,141.2889903,"Jasper",17,79,"Illinois"
"17045",257.2806861,253.7151142,"Edgar",17,45,"Illinois"
"17035",229.3577982,183.4508062,"Cumberland",17,35,"Illinois"
"17141",121.1509339,95.17889748,"Ogle",17,141,"Illinois"
"17047",192.895033,295.3724975,"Edwards",17,47,"Illinois"
"17153",162.3815968,315.0226423,"Pulaski",17,153,"Illinois"
"17133",154.8253914,100.2090074,"Monroe",17,133,"Illinois"
"17097",118.0301295,52.42246605,"Lake",17,97,"Illinois"
"17173",171.477565,230.7137707,"Shelby",17,173,"Illinois"
"17017",252.7695428,125,"Cass",17,17,"Illinois"
"17067",218.7037248,137.7568591,"Hancock",17,67,"Illinois"
"17149",316.8799512,218.878249,"Pike",17,149,"Illinois"
"17201",136.3214316,106.9262068,"Winnebago",17,201,"Illinois"
"17001",130.1737177,158.3689535,"Adams",17,1,"Illinois"
"17059",24.36053593,20.37074761,"Gallatin",17,59,"Illinois"
"17041",176.6766513,86.18504436,"Douglas",17,41,"Illinois"
"17015",201.6285382,82.83948257,"Carroll",17,15,"Illinois"
"17131",123.021721,102.6364744,"Mercer",17,131,"Illinois"
"17021",217.4688057,118.7049292,"Christian",17,21,"Illinois"
"17091",138.4057297,123.7182972,"Kankakee",17,91,"Illinois"
"17009",38.11338733,125.1760288,"Brown",17,9,"Illinois"
"17029",126.7721693,136.8661919,"Coles",17,29,"Illinois"
"17137",196.924573,94.99295214,"Morgan",17,137,"Illinois"
"17161",160.2648822,111.804454,"Rock Island",17,161,"Illinois"
"17203",143.8586432,151.6339869,"Woodford",17,203,"Illinois"
"17095",256.0541095,147.9649749,"Knox",17,95,"Illinois"
"17089",118.7387766,63.21860256,"Kane",17,89,"Illinois"
"17125",303.1230863,155.0147264,"Mason",17,125,"Illinois"
"17049",152.950378,153.8148997,"Effingham",17,49,"Illinois"
"17147",14.43522194,59.74072525,"Piatt",17,147,"Illinois"
"17167",116.4965204,72.33736918,"Sangamon",17,167,"Illinois"
"17119",133.0728204,120.5424789,"Madison",17,119,"Illinois"
"17085",125.9871274,81.99334943,"Jo Daviess",17,85,"Illinois"
"17193",270.132888,159.5590368,"White",17,193,"Illinois"
"17121",163.0043947,179.0342837,"Marion",17,121,"Illinois"
"17111",90.7061708,58.85663745,"McHenry",17,111,"Illinois"
"17031",174.9942946,80.90683528,"Cook",17,31,"Illinois"
"17115",164.5200533,132.5419797,"Macon",17,115,"Illinois"
"17071",281.6901408,158.3280557,"Henderson",17,71,"Illinois"
"17043",106.0180183,42.44981902,"DuPage",17,43,"Illinois"
"17061",258.8352414,160.2834486,"Greene",17,61,"Illinois"
"17157",201.926884,165.9530685,"Randolph",17,157,"Illinois"
"17181",154.5576957,188.6792453,"Union",17,181,"Illinois"
"17005",79.39372068,168.6137541,"Bond",17,5,"Illinois"
"17033",186.6151866,144.7255575,"Crawford",17,33,"Illinois"
"17195",320.3174317,142.7667841,"Whiteside",17,195,"Illinois"
"17199",136.1112769,144.9708564,"Williamson",17,199,"Illinois"
"17197",111.1609763,66.13538386,"Will",17,197,"Illinois"
"17127",196.3574274,207.3798627,"Massac",17,127,"Illinois"
"17027",133.0988773,95.08802434,"Clinton",17,27,"Illinois"
"17093",67.23961686,45.35619484,"Kendall",17,93,"Illinois"
"17165",208.5806342,226.8253017,"Saline",17,165,"Illinois"
"17013",134.6801347,45.71428571,"Calhoun",17,13,"Illinois"
"17107",201.4213778,107.2347727,"Logan",17,107,"Illinois"
"17183",136.0856476,214.4515777,"Vermilion",17,183,"Illinois"
"17051",190.3606588,140.2196775,"Fayette",17,51,"Illinois"
"17083",201.2578616,135.8377442,"Jersey",17,83,"Illinois"
"17185",159.1230552,133.7017559,"Wabash",17,185,"Illinois"
"17099",197.8112551,118.3247418,"La Salle",17,99,"Illinois"
"17113",77.22414308,84.85188956,"McLean",17,113,"Illinois"
