"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"19047",167.3538685,123.2209969,"Crawford",19,47,"Iowa"
"19135",252.6648243,223.507757,"Monroe",19,135,"Iowa"
"19021",180.4336227,67.39842095,"Buena Vista",19,21,"Iowa"
"19117",153.1855634,137.9944802,"Lucas",19,117,"Iowa"
"19131",419.7787652,18.94118761,"Mitchell",19,131,"Iowa"
"19123",205.6648025,154.4892766,"Mahaska",19,123,"Iowa"
"19081",223.588597,149.8548281,"Hancock",19,81,"Iowa"
"19107",311.5327009,181.3419303,"Keokuk",19,107,"Iowa"
"19097",197.7241131,139.3332645,"Jackson",19,97,"Iowa"
"19095",159.1320072,84.41871684,"Iowa (county)",19,95,"Iowa"
"19023",184.267467,146.5559355,"Butler",19,23,"Iowa"
"19189",271.4932127,103.2379165,"Winnebago",19,189,"Iowa"
"19143",195.0268162,64.90345611,"Osceola",19,143,"Iowa"
"19007",389.7685749,130.4950657,"Appanoose",19,7,"Iowa"
"19165",287.8190851,110.5442177,"Shelby",19,165,"Iowa"
"19175",227.9672916,108.0631754,"Union",19,175,"Iowa"
"19191",131.9274399,80.35355564,"Winneshiek",19,191,"Iowa"
"19067",231.4665981,110.153567,"Floyd",19,67,"Iowa"
"19195",80.8843354,81.17981329,"Worth",19,195,"Iowa"
"19151",256.7760342,141.3627368,"Pocahontas",19,151,"Iowa"
"19079",264.4583946,147.5915739,"Hamilton",19,79,"Iowa"
"19125",183.4367413,134.8112642,"Marion",19,125,"Iowa"
"19161",184.2374616,122.9760197,"Sac",19,161,"Iowa"
"19153",106.3821155,76.5743073,"Polk",19,153,"Iowa"
"19197",214.8194271,195.2514839,"Wright",19,197,"Iowa"
"19139",220.5163992,105.2631579,"Muscatine",19,139,"Iowa"
"19015",67.55995946,101.0554682,"Boone",19,15,"Iowa"
"19037",110.3955842,109.2528784,"Chickasaw",19,37,"Iowa"
"19173",101.5400237,187.4893472,"Taylor",19,173,"Iowa"
"19157",161.2036539,134.4519738,"Poweshiek",19,157,"Iowa"
"19013",219.0450005,108.0815901,"Black Hawk",19,13,"Iowa"
"19051",263.8232384,21.89621196,"Davis",19,51,"Iowa"
"19031",116.8009517,27.1414613,"Cedar",19,31,"Iowa"
"19167",211.5454571,36.2217888,"Sioux",19,167,"Iowa"
"19187",221.5464813,126.6197904,"Webster",19,187,"Iowa"
"19087",206.6420664,112.7948605,"Henry",19,87,"Iowa"
"19083",199.9167014,89.69146137,"Hardin",19,83,"Iowa"
"19137",350.4331743,145.2925223,"Montgomery",19,137,"Iowa"
"19035",259.5155709,147.5438292,"Cherokee",19,35,"Iowa"
"19109",357.7963001,205.9590828,"Kossuth",19,109,"Iowa"
"19171",394.6904734,118.3642067,"Tama",19,171,"Iowa"
"19003",163.1765026,164.4286106,"Adams",19,3,"Iowa"
"19089",190.7587961,73.84745226,"Howard",19,89,"Iowa"
"19073",54.77576173,114.6657493,"Greene",19,73,"Iowa"
"19179",322.9095853,170.1258932,"Wapello",19,179,"Iowa"
"19027",209.5459837,48.32552071,"Carroll",19,27,"Iowa"
"19147",147.6179826,246.8027821,"Palo Alto",19,147,"Iowa"
"19055",220.6262568,131.4135527,"Delaware",19,55,"Iowa"
"19001",258.4466281,252.2570366,"Adair",19,1,"Iowa"
"19049",75.72798029,44.52489038,"Dallas",19,49,"Iowa"
"19159",205.4794521,344.9019185,"Ringgold",19,159,"Iowa"
"19183",171.1306208,151.1514182,"Washington",19,183,"Iowa"
"19057",129.8032348,163.4622869,"Des Moines",19,57,"Iowa"
"19093",533.3333333,86.16975442,"Ida",19,93,"Iowa"
"19141",425.9246113,78.37548985,"O'Brien",19,141,"Iowa"
"19009",85.09129587,70.92198582,"Audubon",19,9,"Iowa"
"19011",192.5409932,54.54262116,"Benton",19,11,"Iowa"
"19085",505.3852527,136.5094533,"Harrison",19,85,"Iowa"
"19091",250.3912363,103.8637308,"Humboldt",19,91,"Iowa"
"19177",217.1189979,55.27152135,"Van Buren",19,177,"Iowa"
"19193",199.2164154,86.14242846,"Woodbury",19,193,"Iowa"
"19045",183.4506815,101.1710005,"Clinton",19,45,"Iowa"
"19155",142.443135,125.3468465,"Pottawattamie",19,155,"Iowa"
"19041",117.7264087,121.7730151,"Clay",19,41,"Iowa"
"19033",187.5568619,147.3891072,"Cerro Gordo",19,33,"Iowa"
"19113",138.9735463,77.24804916,"Linn",19,113,"Iowa"
"19185",314.0877598,107.5599262,"Wayne",19,185,"Iowa"
"19017",211.0817942,91.76142031,"Bremer",19,17,"Iowa"
"19101",187.2074883,95.85277015,"Jefferson",19,101,"Iowa"
"19105",278.7726261,67.3659898,"Jones",19,105,"Iowa"
"19111",118.2089552,225.5096518,"Lee",19,111,"Iowa"
"19103",41.54310424,38.18992692,"Johnson",19,103,"Iowa"
"19145",118.623962,118.4600197,"Page",19,145,"Iowa"
"19133",234.2673404,255.8734589,"Monona",19,133,"Iowa"
"19121",72.33273056,89.54154728,"Madison",19,121,"Iowa"
"19019",127.6904474,96.86637284,"Buchanan",19,19,"Iowa"
"19169",42.62531335,26.17089595,"Story",19,169,"Iowa"
"19115",332.195257,185.9254439,"Louisa",19,115,"Iowa"
"19129",132.2678424,103.7631433,"Mills",19,129,"Iowa"
"19025",48.73096447,100.8979921,"Calhoun",19,25,"Iowa"
"19069",216.1296778,160.6909712,"Franklin",19,69,"Iowa"
"19099",184.5860075,76.78051364,"Jasper",19,99,"Iowa"
"19005",231.511254,143.4000143,"Allamakee",19,5,"Iowa"
"19043",302.3024196,94.12872103,"Clayton",19,43,"Iowa"
"19149",299.9062793,74.0596375,"Plymouth",19,149,"Iowa"
"19077",225.8610954,132.400227,"Guthrie",19,77,"Iowa"
"19071",90.73037956,182.759671,"Fremont",19,71,"Iowa"
"19075",253.5966837,24.30724356,"Grundy",19,75,"Iowa"
"19181",109.7330971,116.3729189,"Warren",19,181,"Iowa"
"19119",352.6152296,25.00625156,"Lyon",19,119,"Iowa"
"19127",180.2162595,65.19068275,"Marshall",19,127,"Iowa"
"19059",189.9270816,151.379233,"Dickinson",19,59,"Iowa"
"19063",412.2383253,150.1662555,"Emmet",19,63,"Iowa"
"19029",376.8093743,191.4535151,"Cass",19,29,"Iowa"
"19039",49.57653377,225.0409165,"Clarke",19,39,"Iowa"
"19163",122.5501446,76.34201221,"Scott",19,163,"Iowa"
"19053",31.37254902,196.0271824,"Decatur",19,53,"Iowa"
"19061",183.1894373,101.2217465,"Dubuque",19,61,"Iowa"
"19065",160.7418856,155.6097308,"Fayette",19,65,"Iowa"
