"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"20191",224.9297095,134.0662287,"Sumner",20,191,"Kansas"
"20075",144.2307692,281.6901408,"Hamilton",20,75,"Kansas"
"20117",289.0695574,140.224359,"Marshall",20,117,"Kansas"
"20127",311.2263801,37.33432892,"Morris",20,127,"Kansas"
"20185",236.2786119,396.2357603,"Stafford",20,185,"Kansas"
"20079",141.1681666,180.2866854,"Harvey",20,79,"Kansas"
"20131",493.5853491,68.51996868,"Nemaha",20,131,"Kansas"
"20035",218.8766647,185.528757,"Cowley",20,35,"Kansas"
"20053",323.0915426,126.2028711,"Ellsworth",20,53,"Kansas"
"20067",263.0497328,218.459858,"Grant",20,67,"Kansas"
"20019",178.5714286,294.6375958,"Chautauqua",20,19,"Kansas"
"20083",139.2111369,292.226768,"Hodgman",20,83,"Kansas"
"20129",44.91017964,185.7355126,"Morton",20,129,"Kansas"
"20139",175.1824818,145.9205685,"Osage",20,139,"Kansas"
"20059",97.05746418,153.8935057,"Franklin",20,59,"Kansas"
"20111",252.999721,93.71192953,"Lyon",20,111,"Kansas"
"20029",281.5327896,190.2204319,"Cloud",20,29,"Kansas"
"20013",392.3636747,116.3036583,"Brown",20,13,"Kansas"
"20023",549.1990847,228.050171,"Cheyenne",20,23,"Kansas"
"20091",94.27448176,68.53472753,"Johnson",20,91,"Kansas"
"20121",80.61924931,176.6426317,"Miami",20,121,"Kansas"
"20153",188.6051081,117.6470588,"Rawlins",20,153,"Kansas"
"20193",152.264941,177.5973614,"Thomas",20,193,"Kansas"
"20005",22.12117488,160.0098468,"Atchison",20,5,"Kansas"
"20141",137.6936317,200.1715756,"Osborne",20,141,"Kansas"
"20085",108.892922,105.6125528,"Jackson",20,85,"Kansas"
"20065",248.9626556,83.29862557,"Graham",20,65,"Kansas"
"20089",41.13815564,374.7870528,"Jewell",20,89,"Kansas"
"20123",82.87292818,208.6956522,"Mitchell",20,123,"Kansas"
"20143",229.9251002,171.7327838,"Ottawa",20,143,"Kansas"
"20179",488.4004884,80.87343308,"Sheridan",20,179,"Kansas"
"20081",158.6881777,81.4995925,"Haskell",20,81,"Kansas"
"20017",46.67444574,192.8268415,"Chase",20,17,"Kansas"
"20149",75.89232776,132.1311985,"Pottawatomie",20,149,"Kansas"
"20199",396.3011889,198.8071571,"Wallace",20,199,"Kansas"
"20001",38.36930456,216.4328657,"Allen",20,1,"Kansas"
"20031",115.2046082,179.7914419,"Coffey",20,31,"Kansas"
"20101",460.9475032,319.4888179,"Lane",20,101,"Kansas"
"20187",116.6747691,195.3125,"Stanton",20,187,"Kansas"
"20033",142.6024955,239.2344498,"Comanche",20,33,"Kansas"
"20203",281.1621368,334.7680536,"Wichita",20,203,"Kansas"
"20157",257.4554817,150.0535906,"Republic",20,157,"Kansas"
"20147",361.3006825,330.9203723,"Phillips",20,147,"Kansas"
"20015",67.67285517,148.9280132,"Butler",20,15,"Kansas"
"20165",528.4552846,33.87533875,"Rush",20,165,"Kansas"
"20167",340.0954654,194.0877874,"Russell",20,167,"Kansas"
"20063",890.2077151,145.6664239,"Gove",20,63,"Kansas"
"20011",142.1008638,237.3638648,"Bourbon",20,11,"Kansas"
"20173",114.0161045,116.6277589,"Sedgwick",20,173,"Kansas"
"20195",85.65310493,143.1127013,"Trego",20,195,"Kansas"
"20077",308.5399449,130.8411215,"Harper",20,77,"Kansas"
"20159",127.7139208,159.7784406,"Rice",20,159,"Kansas"
"20105",203.7351443,137.504297,"Lincoln",20,105,"Kansas"
"20039",217.4700979,363.5041803,"Decatur",20,39,"Kansas"
"20099",167.6897739,195.5671447,"Labette",20,99,"Kansas"
"20175",209.5299361,64.34119215,"Seward",20,175,"Kansas"
"20197",104.4386423,143.8021283,"Wabaunsee",20,197,"Kansas"
"20025",424.6713852,151.8218623,"Clark",20,25,"Kansas"
"20189",113.9168407,189.2147588,"Stevens",20,189,"Kansas"
"20003",76.43312102,269.6456086,"Anderson",20,3,"Kansas"
"20045",53.27748691,33.53369717,"Douglas",20,45,"Kansas"
"20109",174.7997087,110.0917431,"Logan",20,109,"Kansas"
"20107",62.38303182,246.8373959,"Linn",20,107,"Kansas"
"20097",147.0588235,166.5972511,"Kiowa",20,97,"Kansas"
"20133",128.342246,246.804202,"Neosho",20,133,"Kansas"
"20155",182.5538113,122.0087521,"Reno",20,155,"Kansas"
"20209",151.9032479,103.9973224,"Wyandotte",20,209,"Kansas"
"20119",148.5516217,173.9130435,"Meade",20,119,"Kansas"
"20201",217.6673318,181.3894431,"Washington",20,201,"Kansas"
"20057",144.3831436,163.9056372,"Ford",20,57,"Kansas"
"20151",327.904689,65.38084341,"Pratt",20,151,"Kansas"
"20145",57.48961993,208.7347463,"Pawnee",20,145,"Kansas"
"20047",459.2901879,70.37297678,"Edwards",20,47,"Kansas"
"20171",376.8400393,233.826968,"Scott",20,171,"Kansas"
"20041",150.261324,254.8254175,"Dickinson",20,41,"Kansas"
"20115",102.0321401,247.4825055,"Marion",20,115,"Kansas"
"20055",186.3501171,118.0018356,"Finney",20,55,"Kansas"
"20113",192.455478,152.5806024,"McPherson",20,113,"Kansas"
"20183",168.3974179,55.95970901,"Smith",20,183,"Kansas"
"20135",623.8395841,112.2334456,"Ness",20,135,"Kansas"
"20043",160.2992252,227.5465132,"Doniphan",20,43,"Kansas"
"20163",245.1982019,61.98347107,"Rooks",20,163,"Kansas"
"20009",169.5846746,198.0511764,"Barton",20,9,"Kansas"
"20087",149.6908558,146.779016,"Jefferson",20,87,"Kansas"
"20095",503.7919827,472.972973,"Kingman",20,95,"Kansas"
"20161",36.60058228,44.33545312,"Riley",20,161,"Kansas"
"20027",252.0696899,123.7317496,"Clay",20,27,"Kansas"
"20177",160.8533979,133.4724138,"Shawnee",20,177,"Kansas"
"20061",86.74136062,110.9477713,"Geary",20,61,"Kansas"
"20205",84.03361345,304.6994023,"Wilson",20,205,"Kansas"
"20207",77.36943907,32.23726628,"Woodson",20,207,"Kansas"
"20051",236.8749134,62.47613759,"Ellis",20,51,"Kansas"
"20021",161.173675,224.5313561,"Cherokee",20,21,"Kansas"
"20169",170.5331931,241.0174645,"Saline",20,169,"Kansas"
"20007",85.16678495,121.2709192,"Barber",20,7,"Kansas"
"20137",487.4446086,37.34129948,"Norton",20,137,"Kansas"
"20181",224.0706162,67.87714237,"Sherman",20,181,"Kansas"
"20071",283.4645669,230.7692308,"Greeley",20,71,"Kansas"
"20073",100.4520342,218.7079408,"Greenwood",20,73,"Kansas"
"20093",213.2520944,51.24263387,"Kearny",20,93,"Kansas"
"20103",90.83250925,107.1367698,"Leavenworth",20,103,"Kansas"
"20037",163.4121274,161.1912803,"Crawford",20,37,"Kansas"
