"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"23001",33.4393753163184,177.421533750619,"Androscoggin",23,1,"Maine"
"23029",41.7992990579081,128.567755206994,"Washington",23,29,"Maine"
"23023",9.826400262,54.0321491287316,"Sagadahoc",23,23,"Maine"
"23017",89.7526623746483,153.806716226609,"Oxford",23,17,"Maine"
"23011",41.2587978318906,121.403130753584,"Kennebec",23,11,"Maine"
"23013",14.80056242,58.5151773741314,"Knox",23,13,"Maine"
"23015",10.2319236,89.5480621239681,"Lincoln",23,15,"Maine"
"23019",63.133389013475,135.600770369594,"Penobscot",23,19,"Maine"
"23009",68.4894472180668,82.0183649817242,"Hancock",23,9,"Maine"
"23005",59.1827490552251,49.5161517752032,"Cumberland",23,5,"Maine"
"23007",47.3965739048006,145.035078251484,"Franklin",23,7,"Maine"
"23003",64.1848523748395,149.523766802733,"Aroostook",23,3,"Maine"
"23021",28.52727921,210.440170690361,"Piscataquis",23,21,"Maine"
"23031",68.4769775678867,73.7538860829218,"York",23,31,"Maine"
"23027",55.4421511554648,92.7969502407705,"Waldo",23,27,"Maine"
"23025",51.5147312317965,164.145159695442,"Somerset",23,25,"Maine"
