"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"24019",99.96297668,175.4277976,"Dorchester",24,19,"Maryland"
"24001",282.865551,206.6085211,"Allegany",24,1,"Maryland"
"24013",123.9036614,75.97996892,"Carroll",24,13,"Maryland"
"24025",72.78059491,87.9309951,"Harford",24,25,"Maryland"
"24037",92.6486458,77.80196341,"St. Mary's",24,37,"Maryland"
"24017",110.2954428,95.00961972,"Charles",24,17,"Maryland"
"24005",125.6390598,101.5456591,"Baltimore (county)",24,5,"Maryland"
"24011",54.00216009,173.7983939,"Caroline",24,11,"Maryland"
"24033",156.6720466,76.71348558,"Prince George's",24,33,"Maryland"
"24039",82.52093362,126.1085347,"Somerset",24,39,"Maryland"
"24041",3.20564193,138.2941943,"Talbot",24,41,"Maryland"
"24015",107.6565409,138.6201519,"Cecil",24,15,"Maryland"
"24021",83.47196255,73.52941176,"Frederick",24,21,"Maryland"
"24023",204.1879362,195.0471945,"Garrett",24,23,"Maryland"
"24009",67.14009038,65.05140127,"Calvert",24,9,"Maryland"
"24035",64.59845283,94.71378678,"Queen Anne's",24,35,"Maryland"
"24003",72.69781736,69.81784659,"Anne Arundel",24,3,"Maryland"
"24027",64.35227447,27.82223685,"Howard",24,27,"Maryland"
"24029",212.5332083,119.474313,"Kent",24,29,"Maryland"
"24031",126.6735908,53.51579853,"Montgomery",24,31,"Maryland"
"24043",111.3497589,175.6130315,"Washington",24,43,"Maryland"
"24047",121.1659364,131.9957761,"Worcester",24,47,"Maryland"
"24510",140.5205148,104.5950837,"Baltimore (city)",24,510,"Maryland"
"24045",96.13621227,145.3236579,"Wicomico",24,45,"Maryland"
