"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"26105",86.56818963,156.8039269,"Mason",26,105,"Michigan"
"26051",170.1457267,231.6632637,"Gladwin",26,51,"Michigan"
"26005",72.84156959,138.9601151,"Allegan",26,5,"Michigan"
"26143",147.8711651,258.4307744,"Roscommon",26,143,"Michigan"
"26019",160.2671119,131.9623907,"Benzie",26,19,"Michigan"
"26129",161.7951558,250.8683906,"Ogemaw",26,129,"Michigan"
"26149",116.3019909,146.4321558,"St. Joseph",26,149,"Michigan"
"26157",203.3783402,222.7718099,"Tuscola",26,157,"Michigan"
"26093",49.53509252,115.9795137,"Livingston",26,93,"Michigan"
"26141",102.0408163,252.3707556,"Presque Isle",26,141,"Michigan"
"26009",25.58308106,151.5406634,"Antrim",26,9,"Michigan"
"26137",86.20001596,233.5523712,"Otsego",26,137,"Michigan"
"26063",176.4931577,227.0837331,"Huron",26,63,"Michigan"
"26023",190.9072576,166.818657,"Branch",26,23,"Michigan"
"26037",72.69973495,113.3744001,"Clinton",26,37,"Michigan"
"26045",87.88231094,167.9392115,"Eaton",26,45,"Michigan"
"26057",156.1182451,115.49289,"Gratiot",26,57,"Michigan"
"26065",65.99503986,121.4339769,"Ingham",26,65,"Michigan"
"26075",131.3189424,143.0606227,"Jackson",26,75,"Michigan"
"26081",80.625057,82.36518779,"Kent",26,81,"Michigan"
"26133",88.75739645,203.7012959,"Osceola",26,133,"Michigan"
"26099",192.1216907,165.0497942,"Macomb",26,99,"Michigan"
"26011",120.144173,133.5380917,"Arenac",26,11,"Michigan"
"26055",46.71766328,117.9774694,"Grand Traverse",26,55,"Michigan"
"26067",55.87766996,122.1183058,"Ionia",26,67,"Michigan"
"26101",100.6872303,169.9067489,"Manistee",26,101,"Michigan"
"26119",208.8772846,280.2932298,"Montmorency",26,119,"Michigan"
"26085",29.82601491,162.8929793,"Lake",26,85,"Michigan"
"26021",132.5682499,133.1192984,"Berrien",26,21,"Michigan"
"26161",57.90974922,46.52169209,"Washtenaw",26,161,"Michigan"
"26039",18.26067108,91.12309211,"Crawford",26,39,"Michigan"
"26155",86.49093904,173.8054557,"Shiawassee",26,155,"Michigan"
"26015",74.95315428,123.9531521,"Barry",26,15,"Michigan"
"26107",38.65021555,147.5184398,"Mecosta",26,107,"Michigan"
"26159",142.9100725,154.6739288,"Van Buren",26,159,"Michigan"
"26079",86.96136908,144.677536,"Kalkaska",26,79,"Michigan"
"26151",189.1159813,244.4082358,"Sanilac",26,151,"Michigan"
"26087",130.2857918,237.2479241,"Lapeer",26,87,"Michigan"
"26115",95.71612,133.3728512,"Monroe",26,115,"Michigan"
"26073",60.66919966,155.9460211,"Isabella",26,73,"Michigan"
"26117",126.9284818,134.0941937,"Montcalm",26,117,"Michigan"
"26035",163.3393829,209.4747019,"Clare",26,35,"Michigan"
"26135",188.9992731,397.5903614,"Oscoda",26,135,"Michigan"
"26053",319.5515067,139.3339836,"Gogebic",26,53,"Michigan"
