"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"27039",40.22025377,52.57121009,"Dodge",27,39,"Minnesota"
"27099",89.86744552,52.31428429,"Mower",27,99,"Minnesota"
"27127",164.126612,117.1112557,"Redwood",27,127,"Minnesota"
"27161",114.2796677,73.71136735,"Waseca",27,161,"Minnesota"
"27103",104.5083752,58.21568913,"Nicollet",27,103,"Minnesota"
"27117",217.9720056,117.9498177,"Pipestone",27,117,"Minnesota"
"27083",118.8636634,146.6915117,"Lyon",27,83,"Minnesota"
"27019",40.33199205,48.87901062,"Carver",27,19,"Minnesota"
"27121",84.9181778,70.24321714,"Pope",27,121,"Minnesota"
"27047",66.24236914,78.000585,"Freeborn",27,47,"Minnesota"
"27013",46.95992463,59.19380919,"Blue Earth",27,13,"Minnesota"
"27081",106.7615658,107.6040172,"Lincoln",27,81,"Minnesota"
"27091",138.5820446,125.48311,"Martin",27,91,"Minnesota"
"27107",93.51620948,46.75081814,"Norman",27,107,"Minnesota"
"27089",198.3471074,133.4074486,"Marshall",27,89,"Minnesota"
"27059",90.07045834,136.2658379,"Isanti",27,59,"Minnesota"
"27149",86.8037615,41.27115147,"Stevens",27,149,"Minnesota"
"27109",42.13457191,31.21729071,"Olmsted",27,109,"Minnesota"
"27171",77.96004548,101.1115343,"Wright",27,171,"Minnesota"
"27145",139.790566,76.16769483,"Stearns",27,145,"Minnesota"
"27017",136.1108806,93.47849995,"Carlton",27,17,"Minnesota"
"27057",207.0123088,69.23289947,"Hubbard",27,57,"Minnesota"
"27169",98.87062417,40.30145488,"Winona",27,169,"Minnesota"
"27023",269.9662542,32.28149463,"Chippewa",27,23,"Minnesota"
"27025",57.10760553,111.5915748,"Chisago",27,25,"Minnesota"
"27153",147.7832512,110.9394192,"Todd",27,153,"Minnesota"
"27131",93.06210106,108.5857083,"Rice",27,131,"Minnesota"
"27035",123.2795999,99.82270296,"Crow Wing",27,35,"Minnesota"
"27155",324.6167719,182.0940819,"Traverse",27,155,"Minnesota"
"27123",137.3661316,65.57003688,"Ramsey",27,123,"Minnesota"
"27041",160.2136182,117.3020528,"Douglas",27,41,"Minnesota"
"27143",24.28494334,80.53691275,"Sibley",27,143,"Minnesota"
"27065",141.6237033,179.6555569,"Kanabec",27,65,"Minnesota"
"27085",127.9492577,117.0705146,"McLeod",27,85,"Minnesota"
"27087",66.64198445,184.9112426,"Mahnomen",27,87,"Minnesota"
"27105",233.6427439,81.74758163,"Nobles",27,105,"Minnesota"
"27063",132.71667,80.10413538,"Jackson",27,63,"Minnesota"
"27027",152.6623954,48.82439999,"Clay",27,27,"Minnesota"
"27007",103.4750366,120.7989991,"Beltrami",27,7,"Minnesota"
"27159",93.95686526,204.7010659,"Wadena",27,159,"Minnesota"
"27093",148.8197058,115.4635648,"Meeker",27,93,"Minnesota"
"27151",210.0061767,153.7672988,"Swift",27,151,"Minnesota"
"27101",73.43941248,12.27295042,"Murray",27,101,"Minnesota"
"27001",221.1630124,126.1113563,"Aitkin",27,1,"Minnesota"
"27053",120.8007985,53.80342136,"Hennepin",27,53,"Minnesota"
"27135",133.5690434,98.27687873,"Roseau",27,135,"Minnesota"
"27051",118.5575498,16.28134158,"Grant",27,51,"Minnesota"
"27115",74.52130412,129.9722954,"Pine",27,115,"Minnesota"
"27137",132.1513133,92.82675016,"St. Louis",27,137,"Minnesota"
"27029",139.243444,174.8863239,"Clearwater",27,29,"Minnesota"
"27005",136.9315913,122.1313338,"Becker",27,5,"Minnesota"
"27079",79.48959314,111.0725443,"Le Sueur",27,79,"Minnesota"
"27133",161.6915423,165.2209831,"Rock",27,133,"Minnesota"
"27165",107.5557946,134.5532831,"Watonwan",27,165,"Minnesota"
"27049",106.297718,89.76098528,"Goodhue",27,49,"Minnesota"
"27037",77.91994751,75.3756901,"Dakota",27,37,"Minnesota"
"27071",29.88295841,184.0388155,"Koochiching",27,71,"Minnesota"
"27009",209.2414996,123.0665283,"Benton",27,9,"Minnesota"
"27077",223.2261493,78.65757735,"Lake of the Woods",27,77,"Minnesota"
"27055",76.62835249,31.94207836,"Houston",27,55,"Minnesota"
"27113",111.9001506,94.18242411,"Pennington",27,113,"Minnesota"
"27111",106.29941,136.5687924,"Otter Tail",27,111,"Minnesota"
"27033",167.539267,138.4442329,"Cottonwood",27,33,"Minnesota"
"27139",50.81247023,71.25300701,"Scott",27,139,"Minnesota"
"27119",231.8019381,113.6363636,"Polk",27,119,"Minnesota"
"27097",152.2752759,100.0294204,"Morrison",27,97,"Minnesota"
"27073",287.0384213,29.91325157,"Lac Qui Parle",27,73,"Minnesota"
"27167",223.811004,171.6604245,"Wilkin",27,167,"Minnesota"
"27095",190.7501325,175.3731343,"Mille Lacs",27,95,"Minnesota"
"27173",176.489127,169.7973045,"Yellow Medicine",27,173,"Minnesota"
"27157",33.57269421,46.52028284,"Wabasha",27,157,"Minnesota"
"27011",70.29876977,19.43634597,"Big Stone",27,11,"Minnesota"
"27003",109.2421259,83.73770188,"Anoka",27,3,"Minnesota"
"27021",95.6651719,130.8729224,"Cass",27,21,"Minnesota"
"27069",543.8931298,120.4529029,"Kittson",27,69,"Minnesota"
"27075",132.6211089,54.68963631,"Lake",27,75,"Minnesota"
"27067",189.8472967,109.7017484,"Kandiyohi",27,67,"Minnesota"
"27043",95.24496717,122.2493888,"Faribault",27,43,"Minnesota"
"27129",278.3652862,68.40413161,"Renville",27,129,"Minnesota"
"27031",21.54785419,71.26313914,"Cook",27,31,"Minnesota"
"27147",12.88417662,88.35577927,"Steele",27,147,"Minnesota"
"27163",77.07532021,66.99476925,"Washington",27,163,"Minnesota"
"27125",0,203.4070684,"Red Lake",27,125,"Minnesota"
"27061",95.94030381,142.042302,"Itasca",27,61,"Minnesota"
"27015",139.8384089,116.1485152,"Brown",27,15,"Minnesota"
"27141",70.05540932,88.02015358,"Sherburne",27,141,"Minnesota"
