"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"28153",196.671709531014,202.850043105634,"Wayne",28,153,"Mississippi"
"28017",269.715625916154,205.652506022681,"Chickasaw",28,17,"Mississippi"
"28009",309.717382888115,313.807531380753,"Benton",28,9,"Mississippi"
"28139",284.874104024995,212.480946002125,"Tippah",28,139,"Mississippi"
"28019",183.127823220608,160.098522167488,"Choctaw",28,19,"Mississippi"
"28003",168.6196056016,229.671192255139,"Alcorn",28,3,"Mississippi"
"28137",248.561891911086,219.717910553547,"Tate",28,137,"Mississippi"
"28091",311.322300507947,184.569952011812,"Marion",28,91,"Mississippi"
"28151",249.870562546429,130.071653507371,"Washington",28,151,"Mississippi"
"28117",228.347087573111,168.087405450834,"Prentiss",28,117,"Mississippi"
"28155",282.942603071948,300.782033286545,"Webster",28,155,"Mississippi"
"28121",133.196525418868,122.195208428304,"Rankin",28,121,"Mississippi"
"28097",439.582907380904,359.416718011912,"Montgomery",28,97,"Mississippi"
"28115",194.341786670065,191.021967526266,"Pontotoc",28,115,"Mississippi"
"28161",217.864923747277,185.185185185185,"Yalobusha",28,161,"Mississippi"
"28157",270.016435783048,215.672178289001,"Wilkinson",28,157,"Mississippi"
"28005",277.074097530082,237.229163371817,"Amite",28,5,"Mississippi"
"28013",224.198490396831,252.873563218391,"Calhoun",28,13,"Mississippi"
"28035",157.101098419975,189.95546314479,"Forrest",28,35,"Mississippi"
"28101",221.844614367979,222.928425745862,"Newton",28,101,"Mississippi"
"28111",242.25644575186,233.644859813084,"Perry",28,111,"Mississippi"
"28099",506.634499396864,224.192046356017,"Neshoba",28,99,"Mississippi"
"28071",141.668459938311,91.6444898750463,"Lafayette",28,71,"Mississippi"
"28131",114.385315104309,247.325125006721,"Stone",28,131,"Mississippi"
"28119",369.418567298426,201.106083459025,"Quitman",28,119,"Mississippi"
"28063",346.500346500346,166.389351081531,"Jefferson",28,63,"Mississippi"
"28057",265.19616096986,239.134082899815,"Itawamba",28,57,"Mississippi"
"28029",187.71693702628,196.162351094943,"Copiah",28,29,"Mississippi"
"28145",225.5316102241,128.902893153824,"Union",28,145,"Mississippi"
"28159",406.50406504065,153.348100187425,"Winston",28,159,"Mississippi"
"28069",242.210723329296,248.559484803977,"Kemper",28,69,"Mississippi"
"28081",196.291996313541,168.810967889742,"Lee",28,81,"Mississippi"
"28087",209.715094371792,144.245629700862,"Lowndes",28,87,"Mississippi"
"28079",353.932845899502,207.517804084328,"Leake",28,79,"Mississippi"
"28103",273.224043715847,108.491961731926,"Noxubee",28,103,"Mississippi"
"28031",343.399106072168,136.731568584555,"Covington",28,31,"Mississippi"
"28073",116.575478736633,122.682451808799,"Lamar",28,73,"Mississippi"
"28127",288.339548652493,256.101819875053,"Simpson",28,127,"Mississippi"
"28065",231.729055258467,197.274031563845,"Jefferson Davis",28,65,"Mississippi"
"28059",140.188871374967,133.438972519912,"Jackson",28,59,"Mississippi"
"28107",261.803737474045,200.674997719602,"Panola",28,107,"Mississippi"
"28163",173.80371274314,121.170812980423,"Yazoo",28,163,"Mississippi"
"28047",116.978689742791,149.081144102216,"Harrison",28,47,"Mississippi"
"28149",262.431868649485,196.706312900274,"Warren",28,149,"Mississippi"
"28125",391.032325338895,190.3208265,"Sharkey",28,125,"Mississippi"
"28135",296.365621587896,169.218372280419,"Tallahatchie",28,135,"Mississippi"
"28025",256.191289496157,199.450164411622,"Clay",28,25,"Mississippi"
"28093",208.964888012479,219.395772184174,"Marshall",28,93,"Mississippi"
"28043",279.916025192442,186.950831931202,"Grenada",28,43,"Mississippi"
"28077",207.348428298913,236.546422235364,"Lawrence",28,77,"Mississippi"
"28133",307.632398753894,109.959158027019,"Sunflower",28,133,"Mississippi"
"28051",390.83318529046,217.430693966298,"Holmes",28,51,"Mississippi"
"28095",300.765052852888,250.633956478151,"Monroe",28,95,"Mississippi"
"28015",261.753750125843,262.94498381877,"Carroll",28,15,"Mississippi"
"28061",238.605078005506,147.248297441561,"Jasper",28,61,"Mississippi"
"28041",192.250813368826,139.592976269194,"Greene",28,41,"Mississippi"
"28075",277.012108994665,171.797500623459,"Lauderdale",28,75,"Mississippi"
"28123",243.239376162541,159.132007233273,"Scott",28,123,"Mississippi"
"28129",200.817117928121,218.417529768196,"Smith",28,129,"Mississippi"
"28147",287.232514720666,238.439306358382,"Walthall",28,147,"Mississippi"
"28055",90.84027252,77.7000777,"Issaquena",28,55,"Mississippi"
"28141",291.097702974489,234.54157782516,"Tishomingo",28,141,"Mississippi"
"28109",236.987936779459,228.520814880425,"Pearl River",28,109,"Mississippi"
"28023",380.228136882129,174.90445034657,"Clarke",28,23,"Mississippi"
"28045",170.604241351013,156.324634156933,"Hancock",28,45,"Mississippi"
"28037",261.062524474612,182.457969503454,"Franklin",28,37,"Mississippi"
"28049",159.916121130955,146.020711649407,"Hinds",28,49,"Mississippi"
"28007",263.025351166825,214.024218529992,"Attala",28,7,"Mississippi"
"28083",383.931745467472,133.815551537071,"Leflore",28,83,"Mississippi"
"28053",374.290139390811,224.422442244224,"Humphreys",28,53,"Mississippi"
"28143",185.567010309278,247.422680412371,"Tunica",28,143,"Mississippi"
"28001",257.365391127667,211.519123409272,"Adams",28,1,"Mississippi"
"28113",204.744069912609,199.965006123928,"Pike",28,113,"Mississippi"
"28011",363.955415461606,141.50788165992,"Bolivar",28,11,"Mississippi"
"28021",298.013245033113,190.263010632345,"Claiborne",28,21,"Mississippi"
"28033",121.970222071774,156.18774404335,"De Soto",28,33,"Mississippi"
"28067",187.313244235658,190.114068441065,"Jones",28,67,"Mississippi"
"28085",282.209295628636,128.851219791547,"Lincoln",28,85,"Mississippi"
"28039",176.272853980487,182.186234817814,"George",28,39,"Mississippi"
"28027",365.956648212443,196.435415868149,"Coahoma",28,27,"Mississippi"
"28105",180.905695611578,109.989772880767,"Oktibbeha",28,105,"Mississippi"
"28089",157.9981995554,104.805562897008,"Madison",28,89,"Mississippi"
