"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"29039",109.5121095,235.2452778,"Cedar",29,39,"Missouri"
"29161",196.5359418,178.2690079,"Phelps",29,161,"Missouri"
"29137",221.5810733,195.2900632,"Monroe",29,137,"Missouri"
"29025",67.80427167,191.3552454,"Caldwell",29,25,"Missouri"
"29091",241.0727738,207.8013119,"Howell",29,91,"Missouri"
"29125",184.1359773,130.812225,"Maries",29,125,"Missouri"
"29063",240.1746725,108.2446329,"DeKalb",29,63,"Missouri"
"29109",176.6190076,154.171784,"Lawrence",29,109,"Missouri"
"29011",165.1186791,223.1568106,"Barton",29,11,"Missouri"
"29181",195.2630627,357.6134011,"Ripley",29,181,"Missouri"
"29031",166.5622582,85.29719981,"Cape Girardeau",29,31,"Missouri"
"29201",189.2197314,129.4071042,"Scott",29,201,"Missouri"
"29055",140.1141671,240.8161478,"Crawford",29,55,"Missouri"
"29057",443.1548404,131.6309069,"Dade",29,57,"Missouri"
"29073",301.2416039,284.0909091,"Gasconade",29,73,"Missouri"
"29103",95.41478929,158.0194891,"Knox",29,103,"Missouri"
"29047",98.89862891,103.8055507,"Clay",29,47,"Missouri"
"29061",199.9523923,130.9056289,"Daviess",29,61,"Missouri"
"29209",179.9961703,209.5637264,"Stone",29,209,"Missouri"
"29219",60.34699522,178.5714286,"Warren",29,219,"Missouri"
"29115",141.6884541,320.8375549,"Linn",29,115,"Missouri"
"29129",340.2324922,143.1844215,"Mercer",29,129,"Missouri"
"29197",146.3414634,571.8547986,"Schuyler",29,197,"Missouri"
"29019",54.22267226,50.6585613,"Boone",29,19,"Missouri"
"29015",147.9122798,211.746912,"Benton",29,15,"Missouri"
"29013",119.4401244,260.9343936,"Bates",29,13,"Missouri"
"29067",243.0790007,341.5300546,"Douglas",29,67,"Missouri"
"29093",150.0468897,201.6129032,"Iron",29,93,"Missouri"
"29223",224.9397483,155.7632399,"Wayne",29,223,"Missouri"
"29179",117.8396072,213.6049951,"Reynolds",29,179,"Missouri"
"29185",205.1282051,128.0546366,"St. Clair",29,185,"Missouri"
"29169",87.06166868,92.87120621,"Pulaski",29,169,"Missouri"
"29111",84.0672538,139.930035,"Lewis",29,111,"Missouri"
"29005",250.4743833,57.20823799,"Atchison",29,5,"Missouri"
"29121",118.6395993,111.9673319,"Macon",29,121,"Missouri"
"29205",138.5681293,100.1001001,"Shelby",29,205,"Missouri"
"29131",183.2871096,144.6770888,"Miller",29,131,"Missouri"
"29147",112.4701251,70.861678,"Nodaway",29,147,"Missouri"
"29083",180.1719823,153.3673147,"Henry",29,83,"Missouri"
"29145",163.677283,194.0175122,"Newton",29,145,"Missouri"
"29043",110.0474188,148.0798973,"Christian",29,43,"Missouri"
"29085",380.7732989,140.1378022,"Hickory",29,85,"Missouri"
"29175",199.3597796,153.5849972,"Randolph",29,175,"Missouri"
"29215",92.63021045,188.7322813,"Texas",29,215,"Missouri"
