"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"32011",381.5580286,52.77044855,"Eureka",32,11,"Nevada"
"32029",145.5251031,24.1662639,"Storey",32,29,"Nevada"
"32009",957.4468085,1079.622132,"Esmeralda",32,9,"Nevada"
"32033",0,196.3564961,"White Pine",32,33,"Nevada"
"32027",198.5559567,282.4858757,"Pershing",32,27,"Nevada"
"32003",128.0287414,170.1102157,"Clark",32,3,"Nevada"
"32017",78.20986313,22.1141088,"Lincoln",32,17,"Nevada"
"32005",104.3668211,106.4022003,"Douglas",32,5,"Nevada"
"32021",52.73566249,305.6101288,"Mineral",32,21,"Nevada"
"32019",123.4338904,177.9593989,"Lyon",32,19,"Nevada"
"32001",216.5810021,194.5828144,"Churchill",32,1,"Nevada"
"32013",69.51283091,204.6035806,"Humboldt",32,13,"Nevada"
"32015",84.18098913,207.3613271,"Lander",32,15,"Nevada"
"32510",139.9560922,186.6083092,"Carson City (city)",32,510,"Nevada"
"32023",154.1605839,351.2792576,"Nye",32,23,"Nevada"
"32031",108.928112,105.9864045,"Washoe",32,31,"Nevada"
"32007",93.95973154,187.4153384,"Elko",32,7,"Nevada"
