"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"33001",83.1810448,124.3104654,"Belknap",33,1,"New Hampshire"
"33003",7.181042049,70.15902713,"Carroll",33,3,"New Hampshire"
"33017",23.79663034,86.22645791,"Strafford",33,17,"New Hampshire"
"33019",8.348987685,103.5434883,"Sullivan",33,19,"New Hampshire"
"33013",45.2768327,65.14195787,"Merrimack",33,13,"New Hampshire"
"33011",117.1219831,70.06716539,"Hillsborough",33,11,"New Hampshire"
"33005",9.412133809,98.4353953,"Cheshire",33,5,"New Hampshire"
"33009",14.48559671,47.80322454,"Grafton",33,9,"New Hampshire"
"33007",76.8713366,198.2604247,"Coos",33,7,"New Hampshire"
"33015",69.93741939,80.86423653,"Rockingham",33,15,"New Hampshire"
