"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"34013",268.485502486628,90.6589715580842,"Essex",34,13,"New Jersey"
"34001",171.595138137753,127.704627564553,"Atlantic",34,1,"New Jersey"
"34029",240.510612845596,124.476073104211,"Ocean",34,29,"New Jersey"
"34027",190.066039560578,64.0307660977654,"Morris",34,27,"New Jersey"
"34009",158.353127474268,97.3047627019335,"Cape May",34,9,"New Jersey"
"34011",194.622412926063,128.205962553446,"Cumberland",34,11,"New Jersey"
"34021",191.175704537167,74.6067602014383,"Mercer",34,21,"New Jersey"
"34015",153.370159876773,104.535114594154,"Gloucester",34,15,"New Jersey"
"34039",275.222776478163,82.1046747257354,"Union",34,39,"New Jersey"
"34007",175.681798981622,95.2857426559325,"Camden",34,7,"New Jersey"
"34041",176.885711667125,99.4889883778773,"Warren",34,41,"New Jersey"
"34037",182.271013343351,97.0205738663731,"Sussex",34,37,"New Jersey"
"34035",180.524366414885,57.0097379577781,"Somerset",34,35,"New Jersey"
"34003",232.711892376531,66.1454697166961,"Bergen",34,3,"New Jersey"
"34005",137.66166546693,84.9288020727801,"Burlington",34,5,"New Jersey"
"34023",208.799716929243,77.3547913511304,"Middlesex",34,23,"New Jersey"
"34031",297.990297990298,102.728373075529,"Passaic",34,31,"New Jersey"
"34017",250.60935355962,79.9537289058247,"Hudson",34,17,"New Jersey"
"34033",210.816759932415,139.959088881711,"Salem",34,33,"New Jersey"
"34025",192.197109855493,95.8089030965809,"Monmouth",34,25,"New Jersey"
"34019",134.713169964414,69.3556093275588,"Hunterdon",34,19,"New Jersey"
