"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"35059",88.49557522,146.3057791,"Union",35,59,"New Mexico"
"35045",322.2680311,304.8150871,"San Juan",35,45,"New Mexico"
"35037",138.8085599,450.0865551,"Quay",35,37,"New Mexico"
"35028",30.91508656,51.69561621,"Los Alamos",35,28,"New Mexico"
"35025",217.5442394,222.571175,"Lea",35,25,"New Mexico"
"35007",292.7543303,258.8159172,"Colfax",35,7,"New Mexico"
"35013",179.5230906,145.9735259,"Dona Ana",35,13,"New Mexico"
"35019",135.6545331,89.90784446,"Guadalupe",35,19,"New Mexico"
"35029",281.0416005,223.389246,"Luna",35,29,"New Mexico"
"35017",98.60312243,207.6174112,"Grant",35,17,"New Mexico"
"35057",79.2864222,294.6954813,"Torrance",35,57,"New Mexico"
"35003",133.0008313,269.2514809,"Catron",35,3,"New Mexico"
"35039",134.8179957,174.1683461,"Rio Arriba",35,39,"New Mexico"
"35053",348.1203916,183.5086861,"Socorro",35,53,"New Mexico"
"35041",252.3924703,246.9395261,"Roosevelt",35,41,"New Mexico"
"35043",123.1181894,117.1758631,"Sandoval",35,43,"New Mexico"
"35055",154.4898616,104.0793316,"Taos",35,55,"New Mexico"
"35011",497.9253112,357.1428571,"De Baca",35,11,"New Mexico"
"35023",173.5357918,171.3586291,"Hidalgo",35,23,"New Mexico"
"35033",113.4751773,190.7486886,"Mora",35,33,"New Mexico"
"35035",79.54160468,178.2635378,"Otero",35,35,"New Mexico"
"35015",150.1145354,243.8345852,"Eddy",35,15,"New Mexico"
"35009",141.3164745,212.2921306,"Curry",35,9,"New Mexico"
"35031",620.1207633,248.9430352,"McKinley",35,31,"New Mexico"
"35049",67.61088768,85.71354919,"Santa Fe",35,49,"New Mexico"
"35006",306.3263041,312.8680801,"Cibola",35,6,"New Mexico"
"35027",106.7826775,195.9247649,"Lincoln",35,27,"New Mexico"
"35021",917.4311927,311.5264798,"Harding",35,21,"New Mexico"
"35001",106.7426356,118.1244738,"Bernalillo",35,1,"New Mexico"
"35061",114.4948373,184.2624312,"Valencia",35,61,"New Mexico"
"35051",440.9448819,252.0424127,"Sierra",35,51,"New Mexico"
"35005",195.6110539,219.4473635,"Chaves",35,5,"New Mexico"
"35047",44.19726714,165.7763861,"San Miguel",35,47,"New Mexico"
