"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"37165",196.3821269,228.0035077,"Scotland",37,165,"North Carolina"
"37127",145.3702728,139.7734199,"Nash",37,127,"North Carolina"
"37001",104.156351,99.66586012,"Alamance",37,1,"North Carolina"
"37185",89.48069241,154.7657167,"Warren",37,185,"North Carolina"
"37103",221.9079735,173.1414349,"Jones",37,103,"North Carolina"
"37171",143.0294192,237.4696137,"Surry",37,171,"North Carolina"
"37135",41.95973479,34.2578474,"Orange",37,135,"North Carolina"
"37065",207.9086832,126.0122294,"Edgecombe",37,65,"North Carolina"
"37111",171.6699823,246.1345685,"McDowell",37,111,"North Carolina"
"37025",67.45153581,117.9204384,"Cabarrus",37,25,"North Carolina"
"37071",118.94163,196.1133118,"Gaston",37,71,"North Carolina"
"37167",141.6290531,217.9888162,"Stanly",37,167,"North Carolina"
"37153",158.5608976,243.2919269,"Richmond",37,153,"North Carolina"
"37009",152.9350026,213.5631323,"Ashe",37,9,"North Carolina"
"37077",94.36435125,108.3300996,"Granville",37,77,"North Carolina"
"37197",128.8728991,177.4622893,"Yadkin",37,197,"North Carolina"
"37169",93.9933757,170.6024962,"Stokes",37,169,"North Carolina"
"37075",148.4230056,186.5903719,"Graham",37,75,"North Carolina"
"37133",46.33408439,106.8210068,"Onslow",37,133,"North Carolina"
"37083",130.5901195,190.4564745,"Halifax",37,83,"North Carolina"
"37179",58.53682942,120.1586753,"Union",37,179,"North Carolina"
"37149",104.0869432,270.2013765,"Polk",37,149,"North Carolina"
"37041",192.5882696,153.1281902,"Chowan",37,41,"North Carolina"
"37089",100.8118094,127.5903408,"Henderson",37,89,"North Carolina"
"37159",128.7025904,235.8331193,"Rowan",37,159,"North Carolina"
"37143",137.4465486,198.3067653,"Perquimans",37,143,"North Carolina"
"37183",47.58624344,45.74063232,"Wake",37,183,"North Carolina"
"37027",160.467535,214.9869517,"Caldwell",37,27,"North Carolina"
"37005",43.83962006,126.9610955,"Alleghany",37,5,"North Carolina"
"37195",166.67298,173.396402,"Wilson",37,195,"North Carolina"
"37031",54.69060116,115.4768169,"Carteret",37,31,"North Carolina"
"37045",195.3101453,217.41949,"Cleveland",37,45,"North Carolina"
"37113",52.01842319,240.0704207,"Macon",37,113,"North Carolina"
"37057",97.18724506,204.7917755,"Davidson",37,57,"North Carolina"
"37061",177.1217712,220.4458363,"Duplin",37,61,"North Carolina"
"37059",95.1803294,193.4280517,"Davie",37,59,"North Carolina"
"37029",68.58449228,92.84189026,"Camden",37,29,"North Carolina"
"37187",130.3403331,302.7245207,"Washington",37,187,"North Carolina"
"37039",116.4644714,322.8243698,"Cherokee",37,39,"North Carolina"
"37069",74.30875576,102.3584509,"Franklin",37,69,"North Carolina"
"37121",209.4522019,240.7865695,"Mitchell",37,121,"North Carolina"
"37157",136.9847978,183.0357632,"Rockingham",37,157,"North Carolina"
"37079",152.1209166,102.8353166,"Greene",37,79,"North Carolina"
"37017",107.7593375,294.5557963,"Bladen",37,17,"North Carolina"
"37107",169.8051595,202.7471323,"Lenoir",37,107,"North Carolina"
"37043",53.75862378,372.3074196,"Clay",37,43,"North Carolina"
"37145",79.56545023,194.2243803,"Person",37,145,"North Carolina"
"37131",291.426635,262.0239898,"Northampton",37,131,"North Carolina"
"37003",144.2780632,264.9332204,"Alexander",37,3,"North Carolina"
"37175",50.58869584,141.8140124,"Transylvania",37,175,"North Carolina"
"37137",9.723685277,170.2472639,"Pamlico",37,137,"North Carolina"
"37013",173.472111,179.8156889,"Beaufort",37,13,"North Carolina"
"37109",101.6413708,194.8313701,"Lincoln",37,109,"North Carolina"
"37141",60.82406802,140.8292925,"Pender",37,141,"North Carolina"
"37181",199.042168,142.0622706,"Vance",37,181,"North Carolina"
"37087",138.8576388,171.4029411,"Haywood",37,87,"North Carolina"
"37007",183.3460657,330.9756982,"Anson",37,7,"North Carolina"
"37099",86.00957203,115.2870648,"Jackson",37,99,"North Carolina"
"37081",76.75371706,100.8750496,"Guilford",37,81,"North Carolina"
"37139",121.2868236,137.2717245,"Pasquotank",37,139,"North Carolina"
"37051",53.04611966,132.4021447,"Cumberland",37,51,"North Carolina"
"37097",85.87862701,157.8383464,"Iredell",37,97,"North Carolina"
"37015",253.6574512,159.4987183,"Bertie",37,15,"North Carolina"
"37011",128.3711503,179.2315448,"Avery",37,11,"North Carolina"
"37063",50.91108085,40.79128968,"Durham",37,63,"North Carolina"
"37019",72.29019349,141.6400946,"Brunswick",37,19,"North Carolina"
"37095",104.3251467,88.61320337,"Hyde",37,95,"North Carolina"
"37085",86.6445341,137.8608711,"Harnett",37,85,"North Carolina"
"37037",80.07955616,70.78233788,"Chatham",37,37,"North Carolina"
"37193",139.5390981,238.5474436,"Wilkes",37,193,"North Carolina"
"37101",66.7902501,110.5649469,"Johnston",37,101,"North Carolina"
"37023",115.9459828,203.191708,"Burke",37,23,"North Carolina"
"37049",121.4526692,107.2961373,"Craven",37,49,"North Carolina"
"37151",113.9301035,202.688728,"Randolph",37,151,"North Carolina"
"37053",54.83496784,91.62481336,"Currituck",37,53,"North Carolina"
"37073",203.7543628,183.061952,"Gates",37,73,"North Carolina"
"37033",84.65235219,193.7387169,"Caswell",37,33,"North Carolina"
"37161",212.9005384,325.2687339,"Rutherford",37,161,"North Carolina"
"37129",46.40412012,89.68139046,"New Hanover",37,129,"North Carolina"
"37105",87.30033212,132.7544199,"Lee",37,105,"North Carolina"
"37123",175.7564078,252.064994,"Montgomery",37,123,"North Carolina"
"37125",115.7241708,145.5291302,"Moore",37,125,"North Carolina"
"37163",114.6650573,200.0169506,"Sampson",37,163,"North Carolina"
"37191",151.3215244,163.3986928,"Wayne",37,191,"North Carolina"
"37091",259.2865024,140.8252359,"Hertford",37,91,"North Carolina"
"37173",84.97379975,212.3442809,"Swain",37,173,"North Carolina"
"37177",72.31093703,153.7988311,"Tyrrell",37,177,"North Carolina"
"37117",163.621489,247.9111193,"Martin",37,117,"North Carolina"
"37119",65.58063278,75.51025139,"Mecklenburg",37,119,"North Carolina"
"37093",91.00388662,145.3268911,"Hoke",37,93,"North Carolina"
"37035",129.974416,198.0430867,"Catawba",37,35,"North Carolina"
"37047",199.2849188,307.0665178,"Columbus",37,47,"North Carolina"
"37021",70.55776359,97.32539492,"Buncombe",37,21,"North Carolina"
"37055",16.17381459,68.95454304,"Dare",37,55,"North Carolina"
"37067",76.46226243,106.2017678,"Forsyth",37,67,"North Carolina"
"37115",78.86583419,186.4019759,"Madison",37,115,"North Carolina"
"37199",123.6174366,267.1511007,"Yancey",37,199,"North Carolina"
"37147",87.7564642,104.6901173,"Pitt",37,147,"North Carolina"
"37155",196.6033561,257.8803951,"Robeson",37,155,"North Carolina"
"37189",52.93144643,71.94244604,"Watauga",37,189,"North Carolina"
