"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"39125",178.7994891,222.6817242,"Paulding",39,125,"Ohio"
"39003",202.2022807,211.3499857,"Allen",39,3,"Ohio"
"39063",153.7291325,182.1078989,"Hancock",39,63,"Ohio"
"39007",154.0705438,235.2385257,"Ashtabula",39,7,"Ohio"
"39085",127.2523493,154.6887051,"Lake",39,85,"Ohio"
"39163",93.67681499,275.3953891,"Vinton",39,163,"Ohio"
"39127",121.5463395,186.1409595,"Perry",39,127,"Ohio"
"39135",205.1933459,225.0434187,"Preble",39,135,"Ohio"
"39065",183.0693326,261.1306959,"Hardin",39,65,"Ohio"
"39083",139.7084623,198.7976717,"Knox",39,83,"Ohio"
"39173",131.7433277,114.7741517,"Wood",39,173,"Ohio"
"39097",122.6547949,153.4850126,"Madison",39,97,"Ohio"
"39101",203.9472677,183.7616,"Marion",39,101,"Ohio"
"39137",283.4232395,163.1368893,"Putnam",39,137,"Ohio"
"39143",177.6295641,195.8046721,"Sandusky",39,143,"Ohio"
"39153",144.7953737,149.6532877,"Summit",39,153,"Ohio"
"39155",210.8396255,216.0470834,"Trumbull",39,155,"Ohio"
"39169",160.4415571,178.1905096,"Wayne",39,169,"Ohio"
"39027",128.6572,202.39059,"Clinton",39,27,"Ohio"
"39055",148.9115575,114.0990883,"Geauga",39,55,"Ohio"
"39013",177.3675399,251.8777028,"Belmont",39,13,"Ohio"
"39041",49.70192804,60.0240096,"Delaware",39,41,"Ohio"
"39107",212.8817087,87.40226301,"Mercer",39,107,"Ohio"
"39005",157.5492341,198.7349754,"Ashland",39,5,"Ohio"
"39115",138.6682074,262.9464612,"Morgan",39,115,"Ohio"
"39165",103.015345,118.2758551,"Warren",39,165,"Ohio"
"39069",218.0311785,163.3334543,"Henry",39,69,"Ohio"
"39037",227.2463768,205.2712097,"Darke",39,37,"Ohio"
"39067",139.9849036,317.7014987,"Harrison",39,67,"Ohio"
"39109",143.6450861,235.3501406,"Miami",39,109,"Ohio"
"39103",119.8340759,133.8702715,"Medina",39,103,"Ohio"
"39157",230.0534206,287.3128686,"Tuscarawas",39,157,"Ohio"
"39029",190.1518656,247.6493049,"Columbiana",39,29,"Ohio"
"39079",132.5600663,245.9268368,"Jackson",39,79,"Ohio"
"39121",271.33974,134.1523688,"Noble",39,121,"Ohio"
"39133",92.6309029,154.0423801,"Portage",39,133,"Ohio"
"39023",185.0854212,173.2450644,"Clark",39,23,"Ohio"
"39073",179.7175866,242.1393726,"Hocking",39,73,"Ohio"
"39145",107.2081218,193.4578548,"Scioto",39,145,"Ohio"
"39081",167.6646707,262.2040565,"Jefferson",39,81,"Ohio"
"39019",121.2030525,303.4730808,"Carroll",39,19,"Ohio"
"39021",111.5212846,198.9664083,"Champaign",39,21,"Ohio"
"39053",122.9298276,216.0271577,"Gallia",39,53,"Ohio"
"39061",116.2494338,112.2550318,"Hamilton",39,61,"Ohio"
"39167",160.9334138,148.0210594,"Washington",39,167,"Ohio"
"39119",116.7950872,190.976643,"Muskingum",39,119,"Ohio"
"39025",84.61243285,137.4734481,"Clermont",39,25,"Ohio"
"39147",165.772971,234.8956626,"Seneca",39,147,"Ohio"
"39077",162.3093122,183.288225,"Huron",39,77,"Ohio"
"39071",113.6363636,235.2995455,"Highland",39,71,"Ohio"
"39001",131.0282075,345.1282424,"Adams",39,1,"Ohio"
"39009",47.77754774,123.9955555,"Athens",39,9,"Ohio"
"39039",219.9989524,170.3532865,"Defiance",39,39,"Ohio"
"39035",142.8612355,134.0332582,"Cuyahoga",39,35,"Ohio"
"39161",233.592881,229.5412653,"Van Wert",39,161,"Ohio"
"39047",128.8534811,224.8279202,"Fayette",39,47,"Ohio"
"39045",102.4520698,137.4249914,"Fairfield",39,45,"Ohio"
"39131",61.85339273,273.2341321,"Pike",39,131,"Ohio"
"39123",160.861902,179.4303088,"Ottawa",39,123,"Ohio"
"39151",206.4354568,212.8854537,"Stark",39,151,"Ohio"
"39033",215.1462995,239.3546997,"Crawford",39,33,"Ohio"
"39087",121.507517,238.0745504,"Lawrence",39,87,"Ohio"
"39049",93.69777404,79.89148074,"Franklin",39,49,"Ohio"
"39057",120.528471,151.4647533,"Greene",39,57,"Ohio"
"39149",134.5151849,216.6756948,"Shelby",39,149,"Ohio"
"39093",120.336098,157.6426555,"Lorain",39,93,"Ohio"
"39117",89.04363709,165.1292563,"Morrow",39,117,"Ohio"
"39139",136.0423886,224.5431227,"Richland",39,139,"Ohio"
"39141",159.1242964,200.2470581,"Ross",39,141,"Ohio"
"39051",132.5904507,242.4955856,"Fulton",39,51,"Ohio"
"39175",186.8987632,225.5050854,"Wyandot",39,175,"Ohio"
"39011",171.1840228,186.2278042,"Auglaize",39,11,"Ohio"
"39059",118.5955787,193.2013994,"Guernsey",39,59,"Ohio"
"39017",122.913891,140.1532718,"Butler",39,17,"Ohio"
"39031",121.4608125,267.701049,"Coshocton",39,31,"Ohio"
"39113",154.9565957,165.3123863,"Montgomery",39,113,"Ohio"
"39043",181.9463471,148.1264012,"Erie",39,43,"Ohio"
"39105",118.8118812,222.1315563,"Meigs",39,105,"Ohio"
"39111",241.7369246,277.5069377,"Monroe",39,111,"Ohio"
"39095",164.8152452,140.1907246,"Lucas",39,95,"Ohio"
"39129",169.7167979,175.5866959,"Pickaway",39,129,"Ohio"
"39015",82.54987388,270.2888426,"Brown",39,15,"Ohio"
"39171",165.6068191,236.6638557,"Williams",39,171,"Ohio"
"39075",203.7259207,173.9719837,"Holmes",39,75,"Ohio"
"39089",104.79176,137.1079656,"Licking",39,89,"Ohio"
"39159",51.68453292,86.56001237,"Union",39,159,"Ohio"
"39099",250.7892045,202.2605592,"Mahoning",39,99,"Ohio"
"39091",112.1909856,212.8630075,"Logan",39,91,"Ohio"
