"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"45091",94.63522486,128.5123823,"York",45,91,"South Carolina"
"45035",76.13603464,140.378839,"Dorchester",45,35,"South Carolina"
"45081",188.9267909,233.7689937,"Saluda",45,81,"South Carolina"
"45087",190.090256,262.6225264,"Union",45,87,"South Carolina"
"45001",168.0741504,168.8215433,"Abbeville",45,1,"South Carolina"
"45011",197.8661494,247.8374964,"Barnwell",45,11,"South Carolina"
"45017",126.8856619,275.443181,"Calhoun",45,17,"South Carolina"
"45025",184.3825249,261.1690203,"Chesterfield",45,25,"South Carolina"
"45037",124.7641419,214.6992294,"Edgefield",45,37,"South Carolina"
"45089",308.1523859,235.7177934,"Williamsburg",45,89,"South Carolina"
"45021",181.062946,333.5057338,"Cherokee",45,21,"South Carolina"
"45067",328.3398317,277.5657484,"Marion",45,67,"South Carolina"
"45005",208.2042384,215.8182049,"Allendale",45,5,"South Carolina"
"45055",133.1812999,187.7564617,"Kershaw",45,55,"South Carolina"
"45061",370.954055,325.0337299,"Lee",45,61,"South Carolina"
"45009",278.2348542,181.8457342,"Bamberg",45,9,"South Carolina"
"45003",111.1215968,228.709492,"Aiken",45,3,"South Carolina"
"45077",132.8325394,224.0082338,"Pickens",45,77,"South Carolina"
"45019",80.14429874,91.63680794,"Charleston",45,19,"South Carolina"
"45059",140.315562,265.6199274,"Laurens",45,59,"South Carolina"
"45073",114.191461,259.0968264,"Oconee",45,73,"South Carolina"
"45027",293.5103713,225.5590643,"Clarendon",45,27,"South Carolina"
"45023",171.1309524,263.8194854,"Chester",45,23,"South Carolina"
"45053",98.02253157,225.5988322,"Jasper",45,53,"South Carolina"
"45085",144.4193848,196.4636542,"Sumter",45,85,"South Carolina"
"45083",139.4529574,239.7616119,"Spartanburg",45,83,"South Carolina"
"45013",63.5475415,96.25646069,"Beaufort",45,13,"South Carolina"
"45069",172.3030418,276.4627911,"Marlboro",45,69,"South Carolina"
"45043",172.1582847,197.3344192,"Georgetown",45,43,"South Carolina"
"45007",173.4469394,244.0807985,"Anderson",45,7,"South Carolina"
"45057",115.9622917,174.3504444,"Lancaster",45,57,"South Carolina"
"45065",163.6764243,195.3928425,"McCormick",45,65,"South Carolina"
"45015",65.25088361,119.5158337,"Berkeley",45,15,"South Carolina"
"45047",144.8359101,189.1396312,"Greenwood",45,47,"South Carolina"
"45031",191.2214824,245.3557659,"Darlington",45,31,"South Carolina"
"45039",233.6848105,241.3826398,"Fairfield",45,39,"South Carolina"
"45049",200.0537779,197.4983542,"Hampton",45,49,"South Carolina"
"45051",119.3605924,175.6377519,"Horry",45,51,"South Carolina"
"45063",95.23873853,135.2831928,"Lexington",45,63,"South Carolina"
"45075",188.1548001,228.6209345,"Orangeburg",45,75,"South Carolina"
"45079",87.52714229,102.6200403,"Richland",45,79,"South Carolina"
"45071",212.4455014,187.063628,"Newberry",45,71,"South Carolina"
"45033",201.6453702,231.1850903,"Dillon",45,33,"South Carolina"
"45045",102.1677462,165.3423017,"Greenville",45,45,"South Carolina"
"45029",184.3174008,317.0972605,"Colleton",45,29,"South Carolina"
"45041",210.269627,201.3943815,"Florence",45,41,"South Carolina"
