"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"46061",138.4881708,57.15918834,"Hanson",46,61,"South Dakota"
"46011",95.5580008107952,34.6870935106229,"Brookings",46,11,"South Dakota"
"46119",250.1737318,543.4782609,"Sully",46,119,"South Dakota"
"46043",423.131170662906,248.1389578,"Douglas",46,43,"South Dakota"
"46013",195.837794083087,70.8345357714406,"Brown",46,13,"South Dakota"
"46107",247.5247525,40.42037187,"Potter",46,107,"South Dakota"
"46091",191.3439636,116.1980014,"Marshall",46,91,"South Dakota"
"46111",154.6391753,253.2714225,"Sanborn",46,111,"South Dakota"
"46115",331.230283911672,175.187131708871,"Spink",46,115,"South Dakota"
"46135",116.449581644096,98.7633115767777,"Yankton",46,135,"South Dakota"
"46079",151.111111111111,36.78499172,"Lake",46,79,"South Dakota"
"46027",100.792904179546,33.05129561,"Clay",46,27,"South Dakota"
"46093",70.7451825899474,106.220540396999,"Meade",46,93,"South Dakota"
"46101",267.421739814378,174.160861304623,"Moody",46,101,"South Dakota"
"46105",460.176991150442,70.92198582,"Perkins",46,105,"South Dakota"
"46005",199.653233856985,88.8888888888889,"Beadle",46,5,"South Dakota"
"46095",185.854414,209.5337873,"Mellette",46,95,"South Dakota"
"46019",194.269062651773,211.010934202954,"Butte",46,19,"South Dakota"
"46059",114.9425287,129.0322581,"Hand",46,59,"South Dakota"
"46057",485.122897800776,80.10253124,"Hamlin",46,57,"South Dakota"
"46073",878.734622144113,122.0256254,"Jerauld",46,73,"South Dakota"
"46023",203.818922977902,119.695321001088,"Charles Mix",46,23,"South Dakota"
"46045",353.089533417402,99.37888199,"Edmunds",46,45,"South Dakota"
"46069",475.8128469,645.6820016,"Hyde",46,69,"South Dakota"
"46037",516.414607156031,110.7828656,"Day",46,37,"South Dakota"
"46125",440.579710144928,45.96116282,"Turner",46,125,"South Dakota"
"46121",285.442435775452,204.498977505112,"Todd",46,121,"South Dakota"
"46129",282.805429864253,190.331176246669,"Walworth",46,129,"South Dakota"
"46097",105.0328228,129.8139334,"Miner",46,97,"South Dakota"
"46099",152.599772874757,73.7329962682075,"Minnehaha",46,99,"South Dakota"
"46117",239.6804261,66.13756614,"Stanley",46,117,"South Dakota"
"46081",162.394153810463,134.027724592173,"Lawrence",46,81,"South Dakota"
"46123",251.211196841916,35.88087549,"Tripp",46,123,"South Dakota"
"46055",589.812332439678,380.4347826,"Haakon",46,55,"South Dakota"
"46109",331.12582781457,98.2607841210573,"Roberts",46,109,"South Dakota"
"46025",0.0,155.6824079,"Clark",46,25,"South Dakota"
"46015",91.34157945,95.32888465,"Brule",46,15,"South Dakota"
"46071",483.759502418798,104.6025105,"Jackson",46,71,"South Dakota"
"46021",697.6744186,580.1305294,"Campbell",46,21,"South Dakota"
"46065",198.064625657858,79.1183950268437,"Hughes",46,65,"South Dakota"
"46039",111.601953,93.5453695,"Deuel",46,39,"South Dakota"
"46017",821.777092963534,155.7632399,"Buffalo",46,17,"South Dakota"
"46049",464.037122969838,280.8988764,"Faulk",46,49,"South Dakota"
"46007",70.90103397,88.15750808,"Bennett",46,7,"South Dakota"
"46087",407.079646017699,35.14938489,"McCook",46,87,"South Dakota"
"46041",338.218714768884,305.168796490559,"Dewey",46,41,"South Dakota"
"46075",522.875817,225.7336343,"Jones",46,75,"South Dakota"
"46031",382.848392036753,103.2258065,"Corson",46,31,"South Dakota"
"46003",548.045305078553,218.4996358,"Aurora",46,3,"South Dakota"
"46053",721.393034825871,75.3958281,"Gregory",46,53,"South Dakota"
"46051",455.275843599357,26.59220848,"Grant",46,51,"South Dakota"
"46083",108.879006287379,29.6116432981448,"Lincoln",46,83,"South Dakota"
"46127",179.479509422674,47.43270485,"Union",46,127,"South Dakota"
"46067",256.999864736913,67.46727837,"Hutchinson",46,67,"South Dakota"
"46009",315.502653090492,142.673705236125,"Bon Homme",46,9,"South Dakota"
"46033",142.095914742451,140.056022408964,"Custer",46,33,"South Dakota"
"46047",51.80601525,306.962466862006,"Fall River",46,47,"South Dakota"
"46077",251.694094869313,153.9942252,"Kingsbury",46,77,"South Dakota"
"46103",145.784474406223,120.216030000179,"Pennington",46,103,"South Dakota"
"46089",100.0834028,41.37360364,"McPherson",46,89,"South Dakota"
"46035",286.144578313253,50.2866338127326,"Davison",46,35,"South Dakota"
"46102",269.365171811299,80.888300610339,"Southwest Central South Dakota",46,102,"South Dakota"
"46137",147.1189211,167.9966401,"Ziebach",46,137,"South Dakota"
"46063",546.6970387,377.0739065,"Harding",46,63,"South Dakota"
"46085",268.096514745308,26.61698163,"Lyman",46,85,"South Dakota"
"46029",254.506892895016,63.3579725448786,"Codington",46,29,"South Dakota"
