"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"47171",174.7311828,191.8411104,"Unicoi",47,171,"Tennessee"
"47051",143.1578947,187.7085651,"Franklin",47,51,"Tennessee"
"47127",74.14272475,256.9140094,"Moore",47,127,"Tennessee"
"47125",61.0337593,133.9696894,"Montgomery",47,125,"Tennessee"
"47047",116.9980025,194.238375,"Fayette",47,47,"Tennessee"
"47067",90.40229019,266.1540736,"Hancock",47,67,"Tennessee"
"47021",84.68183477,154.369377,"Cheatham",47,21,"Tennessee"
"47041",177.88319,220.2319777,"DeKalb",47,41,"Tennessee"
"47129",62.56517205,197.9264844,"Morgan",47,129,"Tennessee"
"47015",131.9315605,185.5415063,"Cannon",47,15,"Tennessee"
"47027",301.5873016,211.780278,"Clay",47,27,"Tennessee"
"47133",223.325062,241.2069117,"Overton",47,133,"Tennessee"
"47149",82.34370027,123.1253313,"Rutherford",47,149,"Tennessee"
"47017",224.623861,256.7710165,"Carroll",47,17,"Tennessee"
"47043",149.8952937,253.7749017,"Dickson",47,43,"Tennessee"
"47077",236.8477715,264.9196291,"Henderson",47,77,"Tennessee"
"47083",246.4661109,276.7083734,"Houston",47,83,"Tennessee"
"47093",71.84699344,124.7627244,"Knox",47,93,"Tennessee"
"47101",143.0842607,210.6084243,"Lewis",47,101,"Tennessee"
"47135",244.8685632,248.3443709,"Perry",47,135,"Tennessee"
"47161",175.144129,180.7664497,"Stewart",47,161,"Tennessee"
"47107",136.9119985,227.9888786,"McMinn",47,107,"Tennessee"
"47045",205.9272173,232.1135991,"Dyer",47,45,"Tennessee"
"47061",150.8541004,308.6192961,"Grundy",47,61,"Tennessee"
"47173",102.7190332,239.9040384,"Union",47,173,"Tennessee"
"47183",127.500683,178.7283027,"Weakley",47,183,"Tennessee"
"47141",176.7701987,112.3290377,"Putnam",47,141,"Tennessee"
"47087",236.645803,179.0128719,"Jackson",47,87,"Tennessee"
"47177",148.8652672,217.1290712,"Warren",47,177,"Tennessee"
"47163",139.5093164,200.5103901,"Sullivan",47,163,"Tennessee"
"47075",271.1251695,231.5206957,"Haywood",47,75,"Tennessee"
"47153",91.12193887,294.1536953,"Sequatchie",47,153,"Tennessee"
"47031",144.8350777,219.0301548,"Coffee",47,31,"Tennessee"
"47007",48.05125467,243.5813035,"Bledsoe",47,7,"Tennessee"
"47113",188.507145,173.1207289,"Madison",47,113,"Tennessee"
"47187",66.64091172,67.89239252,"Williamson",47,187,"Tennessee"
