"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"48063",219.76272,325.6035578,"Camp",48,63,"Texas"
"48087",179.4392523,305.5767762,"Collingsworth",48,87,"Texas"
"48259",100.9206799,124.8439451,"Kendall",48,259,"Texas"
"48123",302.053967,190.9355844,"DeWitt",48,123,"Texas"
"48413",385.078219,82.27067051,"Schleicher",48,413,"Texas"
"48033",1310.452418,483.8709677,"Borden",48,33,"Texas"
"48447",495.5264969,537.995965,"Throckmorton",48,447,"Texas"
"48297",177.7467979,263.8058389,"Live Oak",48,297,"Texas"
"48049",230.5991366,280.3689341,"Brown",48,49,"Texas"
"48441",183.4334878,272.7894289,"Taylor",48,441,"Texas"
"48115",498.5618408,249.6577273,"Dawson",48,115,"Texas"
"48475",133.8366507,213.1249445,"Ward",48,475,"Texas"
"48009",55.87892899,253.9535958,"Archer",48,9,"Texas"
"48359",132.7433628,58.03830528,"Oldham",48,359,"Texas"
"48003",206.1744966,189.5477931,"Andrews",48,3,"Texas"
"48369",440.6364749,101.8433649,"Parmer",48,369,"Texas"
"48139",113.9548206,140.4801144,"Ellis",48,139,"Texas"
"48155",437.9562044,277.5208141,"Foard",48,155,"Texas"
"48075",231.4196707,193.3660568,"Childress",48,75,"Texas"
"48095",148.2396541,209.706411,"Concho",48,95,"Texas"
"48109",109.78957,227.998176,"Culberson",48,109,"Texas"
"48117",389.3365057,223.3845483,"Deaf Smith",48,117,"Texas"
"48127",177.7170198,412.4440255,"Dimmit",48,127,"Texas"
"48131",300.090027,317.4928308,"Duval",48,131,"Texas"
"48153",596.6850829,280.1643631,"Floyd",48,153,"Texas"
"48255",194.3713302,203.4036206,"Karnes",48,255,"Texas"
"48161",190.5347265,233.1947683,"Freestone",48,161,"Texas"
"48111",235.2282274,27.9173646,"Dallam",48,111,"Texas"
"48141",291.0513202,137.4935604,"El Paso",48,141,"Texas"
"48281",71.81328546,243.5394399,"Lampasas",48,281,"Texas"
"48021",65.52715359,141.9222581,"Bastrop",48,21,"Texas"
"48193",232.3330106,72.91286912,"Hamilton",48,193,"Texas"
"48197",332.2259136,112.5809175,"Hardeman",48,197,"Texas"
"48205",245.0343419,74.18397626,"Hartley",48,205,"Texas"
"48217",132.9603058,381.8996071,"Hill",48,217,"Texas"
"48271",149.7192764,63.89776358,"Kinney",48,271,"Texas"
"48283",336.4320496,375.0375038,"La Salle",48,283,"Texas"
"48309",139.949207,175.7923975,"McLennan",48,309,"Texas"
