"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"51103",55.20287055,155.6064073,"Lancaster",51,103,"Virginia"
"51690",279.9307698,422.1284159,"Martinsville (city)",51,690,"Virginia"
"51109",44.40919905,105.9732741,"Louisa",51,109,"Virginia"
"51083",226.5219443,207.3336888,"Halifax",51,83,"Virginia"
"51183",188.6269071,185.8045336,"Sussex",51,183,"Virginia"
"51033",89.24529522,121.5222258,"Caroline",51,33,"Virginia"
"51011",22.32973576,147.0498131,"Appomattox",51,11,"Virginia"
"51049",98.928277,134.3391547,"Cumberland",51,49,"Virginia"
"51105",177.6900296,240.9309937,"Lee",51,105,"Virginia"
"51111",20.04008016,150.918085,"Lunenburg",51,111,"Virginia"
"51133",121.0898083,233.3138905,"Northumberland",51,133,"Virginia"
"51141",218.5667938,267.1061605,"Patrick",51,141,"Virginia"
"51191",144.9275362,206.8387217,"Washington",51,191,"Virginia"
"51197",165.2892562,266.0329171,"Wythe",51,197,"Virginia"
"51510",65.8122837,37.33601123,"Alexandria (city)",51,510,"Virginia"
"51590",196.7446834,257.9820596,"Danville (city)",51,590,"Virginia"
"51790",168.3751023,167.4389627,"Staunton (city)",51,790,"Virginia"
"51051",136.60619,173.5985533,"Dickenson",51,51,"Virginia"
"51073",40.4627276,143.5418963,"Gloucester",51,73,"Virginia"
"51021",115.2737752,113.1953428,"Bland",51,21,"Virginia"
"51101",47.11160965,93.75689389,"King William",51,101,"Virginia"
"51023",71.37758744,165.5384433,"Botetourt",51,23,"Virginia"
"51580",84.12197687,437.2158097,"Covington (city)",51,580,"Virginia"
"51810",42.7129259,88.00663871,"Virginia Beach (city)",51,810,"Virginia"
"51830",31.17287959,19.26906031,"Williamsburg (city)",51,830,"Virginia"
"51740",104.6196767,154.2926042,"Portsmouth (city)",51,740,"Virginia"
"51800",105.4068641,145.8728406,"Suffolk (city)",51,800,"Virginia"
"51113",61.05982409,193.8680261,"Madison",51,113,"Virginia"
"51187",85.46798634,188.2456483,"Warren",51,187,"Virginia"
"51065",61.48440931,68.69621809,"Fluvanna",51,65,"Virginia"
"51067",89.8334794,160.3790778,"Franklin (county)",51,67,"Virginia"
"51775",118.3431953,201.0010641,"Salem (city)",51,775,"Virginia"
"51630",4.252755431,38.85141101,"Fredericksburg (city)",51,630,"Virginia"
"51061",37.91729633,78.71130593,"Fauquier",51,61,"Virginia"
"51029",163.516796,124.0548204,"Buckingham",51,29,"Virginia"
"51013",76.60421575,32.07719055,"Arlington",51,13,"Virginia"
"51167",106.7491781,230.6850172,"Russell",51,167,"Virginia"
"51600",74.92819381,78.33436405,"Fairfax (city)",51,600,"Virginia"
"51678",16.39792293,188.2985878,"Lexington (city)",51,678,"Virginia"
"51685",55.61670819,29.37375162,"Manassas Park (city)",51,685,"Virginia"
"51165",109.1065703,172.0027046,"Rockingham",51,165,"Virginia"
"51770",128.819953,118.1674948,"Roanoke (city)",51,770,"Virginia"
"51137",39.38946332,140.2675874,"Orange",51,137,"Virginia"
"51157",114.5819124,13.52630867,"Rappahannock",51,157,"Virginia"
"51047",74.98721809,104.7355428,"Culpeper",51,47,"Virginia"
"51043",81.26227399,127.7998251,"Clarke",51,43,"Virginia"
"51159",67.03161658,111.0740864,"Richmond (county)",51,159,"Virginia"
"51660",85.55242977,77.72121401,"Harrisonburg (city)",51,660,"Virginia"
"51840",107.0472792,145.8192553,"Winchester (city)",51,840,"Virginia"
"51139",181.9713564,222.7826818,"Page",51,139,"Virginia"
"51171",168.3067526,230.5282005,"Shenandoah",51,171,"Virginia"
"51131",227.0857331,165.2073352,"Northampton",51,131,"Virginia"
"51037",135.0649351,279.3296089,"Charlotte",51,37,"Virginia"
"51115",140.1214386,175.5823481,"Mathews",51,115,"Virginia"
"51820",80.61987728,124.3891604,"Waynesboro (city)",51,820,"Virginia"
"51683",127.178521,63.21556508,"Manassas (city)",51,683,"Virginia"
"51720",96.72219237,354.4165758,"Norton (city)",51,720,"Virginia"
"51169",206.1472746,261.2183972,"Scott",51,169,"Virginia"
"51005",198.6228814,326.4055422,"Alleghany",51,5,"Virginia"
"51680",84.73507679,146.8558913,"Lynchburg (city)",51,680,"Virginia"
"51079",29.22552362,176.9234447,"Greene",51,79,"Virginia"
"51173",185.4215653,260.8931355,"Smyth",51,173,"Virginia"
"51099",71.36750548,62.06871372,"King George",51,99,"Virginia"
"51125",32.52473235,162.3596266,"Nelson",51,125,"Virginia"
"51085",81.90455389,92.47288659,"Hanover",51,85,"Virginia"
"51041",60.93510686,97.85344149,"Chesterfield",51,41,"Virginia"
"51089",179.8178162,294.0825816,"Henry",51,89,"Virginia"
"51003",49.19040787,64.38354956,"Albemarle",51,3,"Virginia"
"51019",63.34921253,157.4212894,"Bedford (county)",51,19,"Virginia"
"51035",201.0118966,240.880936,"Carroll",51,35,"Virginia"
"51143",109.4527363,174.9358569,"Pittsylvania",51,143,"Virginia"
"51177",60.76122692,80.30221564,"Spotsylvania",51,177,"Virginia"
"51121",65.25219773,75.03244646,"Montgomery",51,121,"Virginia"
"51163",111.3221717,278.317724,"Rockbridge",51,163,"Virginia"
"51119",45.15522107,223.0897936,"Middlesex",51,119,"Virginia"
"51620",295.1666462,219.2448234,"Franklin (city)",51,620,"Virginia"
"51091",161.7250674,314.324203,"Highland",51,91,"Virginia"
"51540",67.14009038,50.23808484,"Charlottesville (city)",51,540,"Virginia"
"51009",68.95671051,156.6947012,"Amherst",51,9,"Virginia"
"51153",80.77786088,56.58596627,"Prince William",51,153,"Virginia"
"51069",69.40503732,141.2792191,"Frederick",51,69,"Virginia"
"51155",166.8836549,177.730383,"Pulaski",51,155,"Virginia"
"51185",92.17960155,235.0822788,"Tazewell",51,185,"Virginia"
"51750",21.91647388,97.32952126,"Radford (city)",51,750,"Virginia"
"51199",35.99794297,88.97802384,"York",51,199,"Virginia"
"51595",444.7582068,123.3697568,"Emporia (city)",51,595,"Virginia"
"51570",86.47929486,208.0937517,"Colonial Heights (city)",51,570,"Virginia"
"51015",77.6056083,125.0709165,"Augusta",51,15,"Virginia"
"51735",38.60382821,95.56422712,"Poquoson (city)",51,735,"Virginia"
"51007",27.22940776,218.6204297,"Amelia",51,7,"Virginia"
"51077",226.7691907,267.1009772,"Grayson",51,77,"Virginia"
"51149",33.99995278,111.8855038,"Prince George",51,149,"Virginia"
"51107",46.06733319,30.45466472,"Loudoun",51,107,"Virginia"
"51053",77.0520458,150.4836976,"Dinwiddie",51,53,"Virginia"
"51031",99.30915371,189.144885,"Campbell",51,31,"Virginia"
"51530",181.8732949,257.4197456,"Buena Vista (city)",51,530,"Virginia"
"51117",201.6673806,161.9620546,"Mecklenburg",51,117,"Virginia"
"51027",171.4877051,322.0287813,"Buchanan",51,27,"Virginia"
"51036",35.53976011,211.6722105,"Charles City",51,36,"Virginia"
"51147",92.71462982,114.0510949,"Prince Edward",51,147,"Virginia"
"51145",39.46849099,96.67128541,"Powhatan",51,145,"Virginia"
"51059",71.90842128,37.07287317,"Fairfax (county)",51,59,"Virginia"
"51181",110.3617413,45.92774036,"Surry",51,181,"Virginia"
"51161",114.4456539,116.9457496,"Roanoke (county)",51,161,"Virginia"
"51640",343.6840519,360.0900225,"Galax (city)",51,640,"Virginia"
"51195",142.6005251,204.4760651,"Wise",51,195,"Virginia"
"51175",220.8219484,161.1290143,"Southampton",51,175,"Virginia"
"51760",72.8555779,98.84649669,"Richmond (city)",51,760,"Virginia"
"51135",162.037037,185.9331923,"Nottoway",51,135,"Virginia"
"51710",61.96369498,91.73766426,"Norfolk (city)",51,710,"Virginia"
"51670",99.47643979,268.2240969,"Hopewell (city)",51,670,"Virginia"
"51063",92.71779023,96.44441587,"Floyd",51,63,"Virginia"
"51081",221.402214,139.9702563,"Greensville",51,81,"Virginia"
"51095",53.61519608,70.2917106,"James City",51,95,"Virginia"
"51650",63.9925196,130.0342884,"Hampton (city)",51,650,"Virginia"
"51700",61.01386876,108.7774176,"Newport News (city)",51,700,"Virginia"
"51075",58.13718761,129.9621928,"Goochland",51,75,"Virginia"
"51087",98.81422925,109.0924349,"Henrico",51,87,"Virginia"
"51057",56.39627785,170.1966717,"Essex",51,57,"Virginia"
"51093",84.07068165,140.3490865,"Isle of Wight",51,93,"Virginia"
"51025",98.27390702,169.5979899,"Brunswick",51,25,"Virginia"
"51097",90.10361916,75.1653638,"King and Queen",51,97,"Virginia"
"51071",93.2735426,186.8595539,"Giles",51,71,"Virginia"
"51045",170.9401709,143.8257654,"Craig",51,45,"Virginia"
"51017",28.68068834,290.8385846,"Bath",51,17,"Virginia"
"51127",62.1869062,84.10782623,"New Kent",51,127,"Virginia"
"51730",138.1190368,218.3732687,"Petersburg (city)",51,730,"Virginia"
"51179",27.44826447,54.2394015,"Stafford",51,179,"Virginia"
"51193",104.0537611,149.7566455,"Westmoreland",51,193,"Virginia"
"51520",139.494333,222.4303442,"Bristol (city)",51,520,"Virginia"
"51610",82.06811654,20.66685037,"Falls Church (city)",51,610,"Virginia"
"51550",66.447049,94.40839398,"Chesapeake (city)",51,550,"Virginia"
"51001",115.7044715,150.3262079,"Accomack",51,1,"Virginia"
