"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"53023",261.5518745,213.8579983,"Garfield",53,23,"Washington"
"53063",64.3935807,117.5583803,"Spokane",53,63,"Washington"
"53073",29.51731287,56.42847144,"Whatcom",53,73,"Washington"
"53001",105.3042122,87.29812309,"Adams",53,1,"Washington"
"53049",20.52948976,125.6386632,"Pacific",53,49,"Washington"
"53043",98.58512095,178.7949222,"Lincoln",53,43,"Washington"
"53061",52.99477171,41.78042227,"Snohomish",53,61,"Washington"
"53015",27.04944639,205.4991206,"Cowlitz",53,15,"Washington"
"53059",69.66907191,16.46090535,"Skamania",53,59,"Washington"
"53057",39.74060782,73.52209109,"Skagit",53,57,"Washington"
"53005",86.34552698,108.2927434,"Benton",53,5,"Washington"
"53075",62.32082762,91.93480986,"Whitman",53,75,"Washington"
"53071",71.19377856,100.5329844,"Walla Walla",53,71,"Washington"
"53017",36.18817853,96.34353351,"Douglas",53,17,"Washington"
"53027",44.32308362,151.2563404,"Grays Harbor",53,27,"Washington"
"53047",93.80996376,178.5756244,"Okanogan",53,47,"Washington"
"53035",17.88895757,69.94280718,"Kitsap",53,35,"Washington"
"53019",99.15989533,165.3120264,"Ferry",53,19,"Washington"
"53037",77.05934455,66.12881894,"Kittitas",53,37,"Washington"
"53031",10.90776876,53.69287675,"Jefferson",53,31,"Washington"
"53029",41.49186298,46.93169721,"Island",53,29,"Washington"
"53039",26.35393332,112.7053622,"Klickitat",53,39,"Washington"
"53013",90.70294785,24.82621648,"Columbia",53,13,"Washington"
"53011",32.65902901,80.12192637,"Clark",53,11,"Washington"
"53003",118.0732591,129.5741924,"Asotin",53,3,"Washington"
"53021",85.39427817,96.84588252,"Franklin",53,21,"Washington"
"53025",99.13658483,119.8071106,"Grant",53,25,"Washington"
"53033",51.50150985,32.54613659,"King",53,33,"Washington"
"53053",39.62491025,67.76268578,"Pierce",53,53,"Washington"
"53009",9.30196504,96.06270974,"Clallam",53,9,"Washington"
"53045",23.52018816,111.3023863,"Mason",53,45,"Washington"
"53007",60.81954335,91.73274356,"Chelan",53,7,"Washington"
"53051",44.24778761,166.3412165,"Pend Oreille",53,51,"Washington"
"53065",54.13999055,213.5261411,"Stevens",53,65,"Washington"
"53067",23.18031165,67.52920386,"Thurston",53,67,"Washington"
"53041",45.14508319,172.3789484,"Lewis",53,41,"Washington"
"53055",47.11953778,37.9424359,"San Juan",53,55,"Washington"
"53077",142.1673086,120.2617646,"Yakima",53,77,"Washington"
"53069",53.88414908,43.84042087,"Wahkiakum",53,69,"Washington"
