"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"54005",106.387899532818,187.169528800711,"Boone",54,5,"West Virginia"
"54087",43.10035199,194.104960460101,"Roane",54,87,"West Virginia"
"54089",141.607663473553,251.910319926106,"Summers",54,89,"West Virginia"
"54069",173.314339981007,172.055344469138,"Ohio",54,69,"West Virginia"
"54011",148.290393129567,176.427189033714,"Cabell",54,11,"West Virginia"
"54043",98.3671060397403,262.93595277075,"Lincoln",54,43,"West Virginia"
"54013",56.91699605,194.206182230134,"Calhoun",54,13,"West Virginia"
"54059",179.494850207274,398.769017381128,"Mingo",54,59,"West Virginia"
"54103",152.049208652982,401.38018449405,"Wetzel",54,103,"West Virginia"
"54049",83.7356803078622,198.129373125803,"Marion",54,49,"West Virginia"
"54101",115.6765875,290.521728604285,"Webster",54,101,"West Virginia"
"54019",128.0,240.060015003751,"Fayette",54,19,"West Virginia"
"54055",183.715089919266,229.923922231615,"Mercer",54,55,"West Virginia"
"54063",152.353460027263,259.487512163477,"Monroe",54,63,"West Virginia"
"54067",77.5320329715172,295.89446430773,"Nicholas",54,67,"West Virginia"
"54109",151.164438565827,336.636480015172,"Wyoming",54,109,"West Virginia"
"54051",249.786366923026,245.333686967477,"Marshall",54,51,"West Virginia"
"54029",338.467914623195,219.4433801247,"Hancock",54,29,"West Virginia"
"54003",97.088962861432,163.254254565146,"Berkeley",54,3,"West Virginia"
"54001",115.436413775412,310.398344542162,"Barbour",54,1,"West Virginia"
"54065",93.1423914309,319.879027567756,"Morgan",54,65,"West Virginia"
"54071",0.0,162.839928350432,"Pendleton",54,71,"West Virginia"
"54053",156.7828166033,222.345747637576,"Mason",54,53,"West Virginia"
"54031",176.416625502787,183.460344340954,"Hardy",54,31,"West Virginia"
"54083",50.0607880998355,258.871750620214,"Randolph",54,83,"West Virginia"
"54009",268.396331916797,220.840093744366,"Brooke",54,9,"West Virginia"
"54085",151.268326739586,214.566694480868,"Ritchie",54,85,"West Virginia"
"54099",118.248888203388,249.053079437555,"Wayne",54,99,"West Virginia"
"54047",139.290688953177,314.465408805031,"McDowell",54,47,"West Virginia"
"54093",147.841513897102,269.299820466786,"Tucker",54,93,"West Virginia"
"54033",90.9973307449648,228.362989869266,"Harrison",54,33,"West Virginia"
"54027",160.083070133691,189.100911122572,"Hampshire",54,27,"West Virginia"
"54007",38.12246843,236.406619385343,"Braxton",54,7,"West Virginia"
"54025",178.263890987099,269.558291980641,"Greenbrier",54,25,"West Virginia"
"54045",234.974029186248,237.566815666906,"Logan",54,45,"West Virginia"
"54097",108.964418926281,210.172341319882,"Upshur",54,97,"West Virginia"
"54041",130.703422053232,348.926607132296,"Lewis",54,41,"West Virginia"
"54079",118.768994306075,120.460893854749,"Putnam",54,79,"West Virginia"
"54107",181.148625296452,173.283300270083,"Wood",54,107,"West Virginia"
"54057",297.630120168161,305.286671630678,"Mineral",54,57,"West Virginia"
"54061",54.7076911467864,94.0574502906375,"Monongalia",54,61,"West Virginia"
"54073",110.3810775,223.449001051525,"Pleasants",54,73,"West Virginia"
"54015",89.25251023,303.451763813377,"Clay",54,15,"West Virginia"
"54039",148.116800677105,172.222284553849,"Kanawha",54,39,"West Virginia"
"54035",150.699677072121,255.966544091139,"Jackson",54,35,"West Virginia"
"54095",129.8701299,293.649822586566,"Tyler",54,95,"West Virginia"
"54017",30.46458492,154.9987083,"Doddridge",54,17,"West Virginia"
"54091",107.913669064748,248.15397651616,"Taylor",54,91,"West Virginia"
"54105",159.7565614,314.96062992126,"Wirt",54,105,"West Virginia"
"54021",16.10305958,149.112105191812,"Gilmer",54,21,"West Virginia"
"54077",152.523978529317,212.635810200693,"Preston",54,77,"West Virginia"
"54023",271.862256456729,255.03233445669,"Grant",54,23,"West Virginia"
"54037",86.5920820200201,140.707311632376,"Jefferson",54,37,"West Virginia"
"54075",45.51776457,267.78882938026,"Pocahontas",54,75,"West Virginia"
"54081",78.1797595298431,243.720804278654,"Raleigh",54,81,"West Virginia"
