"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"55077",184.6272197,158.6093135,"Marquette",55,77,"Wisconsin"
"55139",120.2334766,79.82473518,"Winnebago",55,139,"Wisconsin"
"55141",84.43843031,164.7023882,"Wood",55,141,"Wisconsin"
"55069",288.5635476,175.3340113,"Lincoln",55,69,"Wisconsin"
"55019",180.0190405,129.574707,"Clark",55,19,"Wisconsin"
"55087",103.3163064,73.12958039,"Outagamie",55,87,"Wisconsin"
"55113",107.2745558,186.1178016,"Sawyer",55,113,"Wisconsin"
"55047",119.9494949,161.5003907,"Green Lake",55,47,"Wisconsin"
"55135",274.5569473,137.6209029,"Waupaca",55,135,"Wisconsin"
"55049",15.2027027,50.53908356,"Iowa",55,49,"Wisconsin"
"55055",117.3656364,100.0812424,"Jefferson",55,55,"Wisconsin"
"55105",101.9285767,77.31033097,"Rock",55,105,"Wisconsin"
"55107",144.1492369,198.1599434,"Rusk",55,107,"Wisconsin"
"55081",69.9345982,88.73306497,"Monroe",55,81,"Wisconsin"
"55125",151.3833304,179.0662972,"Vilas",55,125,"Wisconsin"
"55129",94.591317,149.4410903,"Washburn",55,129,"Wisconsin"
"55041",275.3496503,162.2674167,"Forest",55,41,"Wisconsin"
"55071",83.04806159,87.15078313,"Manitowoc",55,71,"Wisconsin"
"55039",124.6633321,101.6104294,"Fond du Lac",55,39,"Wisconsin"
"55051",375.6796836,81.0241452,"Iron",55,51,"Wisconsin"
"55005",142.106623,109.189004,"Barron",55,5,"Wisconsin"
"55121",129.4244534,52.06299623,"Trempealeau",55,121,"Wisconsin"
"55101",162.4721733,110.1662648,"Racine",55,101,"Wisconsin"
"55067",216.3721601,92.3408403,"Langlade",55,67,"Wisconsin"
"55037",344.9038249,174.3679163,"Florence",55,37,"Wisconsin"
"55085",146.9765956,117.807215,"Oneida",55,85,"Wisconsin"
"55119",144.2596674,145.589638,"Taylor",55,119,"Wisconsin"
"55091",49.12663755,135.8695652,"Pepin",55,91,"Wisconsin"
"55099",25.86021119,128.1594874,"Price",55,99,"Wisconsin"
"55133",124.1472861,80.53421848,"Waukesha",55,133,"Wisconsin"
"55035",91.96968407,63.9338097,"Eau Claire",55,35,"Wisconsin"
"55001",93.04579598,143.9125012,"Adams",55,1,"Wisconsin"
"55123",85.87320691,106.854904,"Vernon",55,123,"Wisconsin"
"55137",122.3191715,165.44266,"Waushara",55,137,"Wisconsin"
"55057",80.73860875,138.0803105,"Juneau",55,57,"Wisconsin"
"55097",76.62835249,107.8702718,"Portage",55,97,"Wisconsin"
"55053",102.6518392,71.02945355,"Jackson",55,53,"Wisconsin"
"55073",136.053433,137.988133,"Marathon",55,73,"Wisconsin"
"55029",100.715077,72.53544346,"Door",55,29,"Wisconsin"
"55033",60.7354268,72.47809185,"Dunn",55,33,"Wisconsin"
"55045",45.44102134,78.40168699,"Green",55,45,"Wisconsin"
"55109",52.63495731,94.87466003,"St. Croix",55,109,"Wisconsin"
"55009",96.67204977,72.7361792,"Brown",55,9,"Wisconsin"
"55103",76.419846,139.3647291,"Richland",55,103,"Wisconsin"
"55111",80.57747188,101.978691,"Sauk",55,111,"Wisconsin"
"55043",117.9418,67.19913985,"Grant",55,43,"Wisconsin"
"55089",111.6242422,76.87144064,"Ozaukee",55,89,"Wisconsin"
"55017",101.6503048,95.83707697,"Chippewa",55,17,"Wisconsin"
"55021",82.23966008,85.48323674,"Columbia",55,21,"Wisconsin"
"55013",197.2002435,137.5515818,"Burnett",55,13,"Wisconsin"
"55063",67.76620659,56.43434528,"La Crosse",55,63,"Wisconsin"
"55083",151.0325696,86.49198677,"Oconto",55,83,"Wisconsin"
"55065",21.64372032,83.54218881,"Lafayette",55,65,"Wisconsin"
"55007",126.8341209,79.72036549,"Bayfield",55,7,"Wisconsin"
"55095",77.57294755,182.9443012,"Polk",55,95,"Wisconsin"
"55059",162.4708818,106.6464433,"Kenosha",55,59,"Wisconsin"
"55003",82.90415777,111.8846345,"Ashland",55,3,"Wisconsin"
"55025",46.2577944,26.07719204,"Dane",55,25,"Wisconsin"
"55075",181.5823606,105.0771362,"Marinette",55,75,"Wisconsin"
"55011",99.4500113,37.5798572,"Buffalo",55,11,"Wisconsin"
"55061",151.9949335,73.02112745,"Kewaunee",55,61,"Wisconsin"
"55031",144.0380478,81.42217397,"Douglas",55,31,"Wisconsin"
"55117",129.6767441,86.60581617,"Sheboygan",55,117,"Wisconsin"
"55023",82.03853325,68.42072526,"Crawford",55,23,"Wisconsin"
"55093",70.89516968,70.54010205,"Pierce",55,93,"Wisconsin"
"55131",102.6953882,94.08504121,"Washington",55,131,"Wisconsin"
"55027",169.8323018,125.4115065,"Dodge",55,27,"Wisconsin"
"55078",390.5160391,116.713352,"Menominee",55,78,"Wisconsin"
"55079",114.8349833,29.4772627,"Milwaukee",55,79,"Wisconsin"
"55127",131.1339507,88.98880614,"Walworth",55,127,"Wisconsin"
"55015",78.25386474,108.5094232,"Calumet",55,15,"Wisconsin"
"55115",185.1398345,95.45721559,"Shawano",55,115,"Wisconsin"
