"FIPSCode","COVIDCDR2020","COVIDCDR2021","countyName","stateFIPS","countyFIPS","state"
"56025",142.3451996,164.4633598,"Natrona",56,25,"Wyoming"
"56033",69.66393601,136.2872809,"Sheridan",56,33,"Wyoming"
"56031",83.6334069,287.7532228,"Platte",56,31,"Wyoming"
"56015",180.7802093,247.3667411,"Goshen",56,15,"Wyoming"
"56027",297.029703,328.1378179,"Niobrara",56,27,"Wyoming"
"56011",165.5172414,178.2042495,"Crook",56,11,"Wyoming"
"56041",11.750306,111.6125588,"Uinta",56,41,"Wyoming"
"56037",62.54145741,196.675701,"Sweetwater",56,37,"Wyoming"
"56005",99.70174691,184.926352,"Campbell",56,5,"Wyoming"
"56039",41.06776181,21.23863733,"Teton",56,39,"Wyoming"
"56029",56.68972499,342.8533387,"Park",56,29,"Wyoming"
"56023",60.72259893,74.69003635,"Lincoln",56,23,"Wyoming"
"56045",123.2937032,162.8664495,"Weston",56,45,"Wyoming"
"56021",75.15807055,171.5623079,"Laramie",56,21,"Wyoming"
"56007",140.0810273,211.9368292,"Carbon",56,7,"Wyoming"
"56001",32.09585963,90.59177746,"Albany",56,1,"Wyoming"
"56017",52.29897581,217.3440556,"Hot Springs",56,17,"Wyoming"
"56043",327.8262001,233.826968,"Washakie",56,43,"Wyoming"
"56035",54.01147744,183.8869096,"Sublette",56,35,"Wyoming"
"56003",145.7700651,275.6719504,"Big Horn",56,3,"Wyoming"
"56009",34.93704054,263.1578947,"Converse",56,9,"Wyoming"
"56019",84.81564377,0,"Johnson",56,19,"Wyoming"
"56013",195.7386074,231.4755933,"Fremont",56,13,"Wyoming"
