"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"01121",243.6208645,372.9506534,"Talladega",1,121,"Alabama"
"01035",358.445468,394.5654465,"Conecuh",1,35,"Alabama"
"01103",282.529396,171.3527986,"Morgan",1,103,"Alabama"
"01055",285.0932005,344.7187777,"Etowah",1,55,"Alabama"
"01105",617.3362752,512.4148505,"Perry",1,105,"Alabama"
"01017",494.4851234,350.0439864,"Chambers",1,17,"Alabama"
"01071",306.2946145,443.137227,"Jackson",1,71,"Alabama"
"01083",181.5938714,166.0996489,"Limestone",1,83,"Alabama"
"01119",273.6464562,-90.54176528,"Sumter",1,119,"Alabama"
"01059",243.1533513,310.8836054,"Franklin",1,59,"Alabama"
"01111",301.6640234,238.5682422,"Randolph",1,111,"Alabama"
"01037",159.0658772,232.7979028,"Coosa",1,37,"Alabama"
"01031",312.509423,229.2994131,"Coffee",1,31,"Alabama"
"01095",293.6997521,214.5889046,"Marshall",1,95,"Alabama"
"01013",260.7229748,254.8207659,"Butler",1,13,"Alabama"
"01087",424.7558259,-115.2416443,"Macon",1,87,"Alabama"
"01127",432.5913445,352.8799795,"Walker",1,127,"Alabama"
"01033",54.75571526,151.0597341,"Colbert",1,33,"Alabama"
"01009",272.8737846,182.6519922,"Blount",1,9,"Alabama"
"01133",321.6602115,427.147372,"Winston",1,133,"Alabama"
"01065",379.8892866,369.0059052,"Hale",1,65,"Alabama"
"01089",64.79876023,104.5985923,"Madison",1,89,"Alabama"
"01011",337.3831427,135.721473,"Bullock",1,11,"Alabama"
"01025",621.9711282,367.0623275,"Clarke",1,25,"Alabama"
"01041",487.4786739,406.2029058,"Crenshaw",1,41,"Alabama"
"01023",52.66386208,174.5077798,"Choctaw",1,23,"Alabama"
"01077",204.1713466,134.2234753,"Lauderdale",1,77,"Alabama"
"01131",120.8688558,108.8461776,"Wilcox",1,131,"Alabama"
"01043",134.9093539,149.793908,"Cullman",1,43,"Alabama"
"01069",254.645451,367.0935114,"Houston",1,69,"Alabama"
"01053",352.8549301,436.385584,"Escambia",1,53,"Alabama"
"01003",132.4627416,235.400836,"Baldwin",1,3,"Alabama"
"01049",280.4181259,361.8852623,"DeKalb",1,49,"Alabama"
"01015",279.8896565,276.5427429,"Calhoun",1,15,"Alabama"
"01067",247.5191453,184.7445029,"Henry",1,67,"Alabama"
"01113",184.7700957,322.7830268,"Russell",1,113,"Alabama"
"01075",448.2513089,293.3072165,"Lamar",1,75,"Alabama"
"01079",406.4880146,472.0652936,"Lawrence",1,79,"Alabama"
"01047",392.8784327,399.863724,"Dallas",1,47,"Alabama"
"01039",410.4733937,419.3981602,"Covington",1,39,"Alabama"
"01045",246.4719674,362.1670969,"Dale",1,45,"Alabama"
"01081",76.20765001,93.05482528,"Lee",1,81,"Alabama"
"01101",297.6182757,247.5962228,"Montgomery",1,101,"Alabama"
"01117",131.4330849,107.2171062,"Shelby",1,117,"Alabama"
"01057",314.122743,510.5451422,"Fayette",1,57,"Alabama"
"01125",142.4548974,150.0920994,"Tuscaloosa",1,125,"Alabama"
"01019",508.6631963,458.3050234,"Cherokee",1,19,"Alabama"
"01085",262.171037,240.8859603,"Lowndes",1,85,"Alabama"
"01091",273.1437392,317.4317957,"Marengo",1,91,"Alabama"
"01099",388.3686306,538.5013773,"Monroe",1,99,"Alabama"
"01107",431.3756815,465.7040415,"Pickens",1,107,"Alabama"
"01129",178.5850406,283.8092951,"Washington",1,129,"Alabama"
"01115",263.3042685,299.0754296,"St. Clair",1,115,"Alabama"
"01093",400.2622653,308.9020989,"Marion",1,93,"Alabama"
"01007",173.515682,295.9137104,"Bibb",1,7,"Alabama"
"01073",177.4974438,209.097226,"Jefferson",1,73,"Alabama"
"01123",153.3782085,335.0273905,"Tallapoosa",1,123,"Alabama"
"01109",330.3567885,385.8963832,"Pike",1,109,"Alabama"
"01029",162.8548248,373.3285356,"Cleburne",1,29,"Alabama"
"01005",321.0643306,236.3093245,"Barbour",1,5,"Alabama"
"01051",167.1925295,200.1675791,"Elmore",1,51,"Alabama"
"01097",197.2386393,302.3980571,"Mobile",1,97,"Alabama"
"01001",185.0670921,202.7026152,"Autauga",1,1,"Alabama"
"01021",224.8247432,227.2206535,"Chilton",1,21,"Alabama"
"01027",468.2657261,246.5838783,"Clay",1,27,"Alabama"
"01063",729.6304582,433.5218101,"Greene",1,63,"Alabama"
"01061",391.1450936,531.5622978,"Geneva",1,61,"Alabama"
