"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"02230",82.9973915105525,215.05376344086,"Southeast Alaska",2,230,"Alaska"
"02016",-403.690888119954,-518.806744487678,"Southwest Alaska",2,16,"Alaska"
"02110",15.5525832840835,67.1770035931886,"Juneau",2,110,"Alaska"
"02150",-53.7386764931675,77.9970361126277,"Kodiak Island",2,150,"Alaska"
"02195",467.474843514777,754.051018771057,"Petersburg",2,195,"Alaska"
"02290",209.734577276343,441.261574074074,"Southeast Fairbanks",2,290,"Alaska"
"02164",269.242952169781,483.63694986297,"Dillingham",2,164,"Alaska"
"02090",105.669536832634,216.645037049441,"Fairbanks North Star",2,90,"Alaska"
"02100",557.361820715281,289.435600578871,"Haines",2,100,"Alaska"
"02282",82.9973915105525,215.05376344086,"Southeast Alaska",2,282,"Alaska"
"02020",110.649210978056,241.257868611519,"Anchorage",2,20,"Alaska"
"02180",39.9361022364217,91.0102133683891,"Nome",2,180,"Alaska"
"02220",59.2697961119014,178.359096313912,"Sitka",2,220,"Alaska"
"02188",38.7396694214876,355.590675622284,"Northern Alaska",2,188,"Alaska"
"02063",-695.453601826863,-646.641635377555,"Valdez-Cordova",2,63,"Alaska"
"02013",-403.690888119954,-518.806744487678,"Southwest Alaska",2,13,"Alaska"
"02170",104.669365221982,312.114393554475,"Matanuska-Susitna",2,170,"Alaska"
"02105",82.9973915105525,215.05376344086,"Southeast Alaska",2,105,"Alaska"
"02050",34.9162011173184,37.6952073236403,"Bethel",2,50,"Alaska"
"02060",600.240096038415,1314.2174432497,"Bristol Bay",2,60,"Alaska"
"02068",209.734577276343,441.261574074074,"Southeast Fairbanks",2,68,"Alaska"
"02122",-8.47644396222896,221.327967806841,"Kenai Peninsula",2,122,"Alaska"
"02130",467.474843514777,754.051018771057,"Petersburg",2,130,"Alaska"
"02198",467.474843514777,754.051018771057,"Petersburg",2,198,"Alaska"
"02275",467.474843514777,754.051018771057,"Petersburg",2,275,"Alaska"
"02185",-213.695066431292,-136.674259681093,"North Slope",2,185,"Alaska"
"02066",-695.453601826863,-646.641635377555,"Valdez-Cordova",2,66,"Alaska"
"02070",269.242952169781,483.63694986297,"Dillingham",2,70,"Alaska"
"02240",209.734577276343,441.261574074074,"Southeast Fairbanks",2,240,"Alaska"
"02158",-11.9602918311207,227.272727272727,"Southwest Alaska",2,158,"Alaska"
