"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"13179",110.90573012939,284.891604076845,"Liberty",13,179,"Georgia"
"13023",459.187712770169,380.861699595334,"Bleckley",13,23,"Georgia"
"13165",380.622837370242,416.570238370748,"Jenkins",13,165,"Georgia"
"13177",174.067061625847,140.815531653534,"Lee",13,177,"Georgia"
"13073",183.932333267567,164.551158452717,"Columbia",13,73,"Georgia"
"13123",307.819243462808,316.227809261405,"Gilmer",13,123,"Georgia"
"13273",486.241573654547,300.266903914591,"Terrell",13,273,"Georgia"
"13157",180.286106212032,137.905096220147,"Jackson",13,157,"Georgia"
"13139",272.431500137196,146.022106393061,"Hall",13,139,"Georgia"
"13161",350.546042874478,269.215237582447,"Jeff Davis",13,161,"Georgia"
"13191",601.045296167247,837.686903260674,"McIntosh",13,191,"Georgia"
"13219",138.510770406457,121.277141591063,"Oconee",13,219,"Georgia"
"13319",587.172538392051,679.270915883618,"Wilkinson",13,319,"Georgia"
"13267",331.439393939394,425.661295226513,"Tattnall",13,267,"Georgia"
"13005",368.870895186685,405.95399188092,"Bacon",13,5,"Georgia"
"13053",-476.33840737289,-428.054000658545,"Chattahoochee",13,53,"Georgia"
"13149",182.165163081194,311.688311688312,"Heard",13,149,"Georgia"
"13209",449.930779880019,474.42721592224,"Montgomery",13,209,"Georgia"
"13063",208.324203699272,244.997408681254,"Clayton",13,63,"Georgia"
"13003",288.947748615459,608.737168775364,"Atkinson",13,3,"Georgia"
"13277",244.955374466434,196.449359720605,"Tift",13,277,"Georgia"
"13271",849.748937813828,289.831736575155,"Telfair",13,271,"Georgia"
"13193",255.102040816327,158.254206230218,"Macon",13,193,"Georgia"
"13249",301.984469370147,490.305326498774,"Schley",13,249,"Georgia"
"13241",348.082595870206,292.637246868781,"Rabun",13,241,"Georgia"
"13187",256.821353285235,181.397934404166,"Lumpkin",13,187,"Georgia"
"13075",330.760749724366,261.233019853709,"Cook",13,75,"Georgia"
"13131",223.498131093214,215.699869039365,"Grady",13,131,"Georgia"
"13077",183.340463240237,295.034587955096,"Coweta",13,77,"Georgia"
"13237",392.280638470556,399.644760213144,"Putnam",13,237,"Georgia"
"13047",194.223327398732,292.671505502224,"Catoosa",13,47,"Georgia"
"13013",122.345227348316,210.977800962151,"Barrow",13,13,"Georgia"
"13217",270.990710155067,233.086041798937,"Newton",13,217,"Georgia"
"13113",119.047619047619,184.371600129558,"Fayette",13,113,"Georgia"
"13105",511.247443762781,296.129888696007,"Elbert",13,105,"Georgia"
"13317",438.27611395179,346.67507091081,"Wilkes",13,317,"Georgia"
"13239",1028.16271792579,1428.57142857143,"Quitman",13,239,"Georgia"
"13195",186.604135015523,271.156718841333,"Madison",13,195,"Georgia"
"13147",357.981446552985,353.209266995822,"Hart",13,147,"Georgia"
"13127",268.248584900086,305.785123966942,"Glynn",13,127,"Georgia"
"13037",495.926319518243,362.581580855693,"Calhoun",13,37,"Georgia"
"13311",389.569367914926,602.303546898665,"White",13,311,"Georgia"
"13169",320.32102502728,366.274565048954,"Jones",13,169,"Georgia"
"13071",323.024204989414,237.887385421213,"Colquitt",13,71,"Georgia"
"13253",189.077966855745,206.79146713104,"Seminole",13,253,"Georgia"
"13087",287.27675481102,127.226463104326,"Decatur",13,87,"Georgia"
"13247",232.76019264392,182.951475312188,"Rockdale",13,247,"Georgia"
"13091",701.402805611222,308.517094881651,"Dodge",13,91,"Georgia"
"13259",472.985264689831,684.289463817023,"Stewart",13,259,"Georgia"
"13307",293.624161073826,169.133192389006,"Webster",13,307,"Georgia"
"13027",198.363501115795,98.3767830791933,"Brooks",13,27,"Georgia"
"13225",221.223149932206,264.447656993759,"Peach",13,225,"Georgia"
"13125",828.15734989648,892.244337680165,"Glascock",13,125,"Georgia"
"13275",269.861120252748,244.376077327573,"Thomas",13,275,"Georgia"
"13097",205.583878912475,165.153616898546,"Douglas",13,97,"Georgia"
"13301",1055.4596046824,534.861509073544,"Warren",13,301,"Georgia"
"13081",839.634685259747,406.973823041752,"Crisp",13,81,"Georgia"
"13183",-17.7862097587004,-5.87337013978621,"Long",13,183,"Georgia"
"13011",147.686248769281,481.341265548945,"Banks",13,11,"Georgia"
"13287",204.104773783876,11.1520017843203,"Turner",13,287,"Georgia"
"13043",728.531099171296,534.807831762147,"Candler",13,43,"Georgia"
"13009",348.09118624016,325.49109182275,"Baldwin",13,9,"Georgia"
"13067",146.567039398056,126.513598255417,"Cobb",13,67,"Georgia"
