"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"16075",23.5811979248546,270.589580395594,"Payette",16,75,"Idaho"
"16009",10.4460461715241,425.144245368965,"Benewah",16,9,"Idaho"
"16029",425.83392476934,394.53290122587,"Caribou",16,29,"Idaho"
"16001",83.2850521436848,125.221368237115,"Ada",16,1,"Idaho"
"16041",-70.1459034792368,75.3012048192771,"Franklin",16,41,"Idaho"
"16031",81.1260292864966,3.98469875677399,"Cassia",16,31,"Idaho"
"16067",97.2582437939978,82.1392716984576,"Minidoka",16,67,"Idaho"
"16007",472.217849834724,475.533057217365,"Bear Lake",16,7,"Idaho"
"16053",20.5710524150416,284.575981787137,"Jerome",16,53,"Idaho"
"16015",116.414435389988,548.013451239258,"Boise",16,15,"Idaho"
"16087",484.790874524715,331.919601696478,"Washington",16,87,"Idaho"
"16011",131.351249921815,162.02469338365,"Bingham",16,11,"Idaho"
"16039",24.564851207187,83.3217608665463,"Elmore",16,39,"Idaho"
"16073",316.851496706412,293.064148485835,"Owyhee",16,73,"Idaho"
"16013",-103.386956701543,-68.8203384341349,"Blaine",16,13,"Idaho"
"16005",81.2505721871281,215.651779127178,"Bannock",16,5,"Idaho"
"16017",-23.2199776243852,223.645420351733,"Bonner",16,17,"Idaho"
"16065",-115.385367570845,-50.2475155395094,"Madison",16,65,"Idaho"
"16047",262.736302467158,184.091918999556,"Gooding",16,47,"Idaho"
"16019",86.9628233929995,43.1548553135396,"Bonneville",16,19,"Idaho"
"16037",350.140056022409,794.732061762035,"Custer",16,37,"Idaho"
"16021",82.0142704830641,472.151088348272,"Boundary",16,21,"Idaho"
"16061",806.451612903226,1003.25379609544,"Lewis",16,61,"Idaho"
"16003",226.142017186793,369.886858137511,"Adams",16,3,"Idaho"
"16035",296.566670468803,450.755014649538,"Clearwater",16,35,"Idaho"
"16081",-295.608108108108,-155.878250881943,"Teton",16,81,"Idaho"
"16083",161.068159601884,191.393803625608,"Twin Falls",16,83,"Idaho"
"16033",-750.938673341677,252.525252525253,"Clark",16,33,"Idaho"
"16049",126.353790613718,341.779611078374,"Idaho (county)",16,49,"Idaho"
"16057",62.8219625581103,208.898062719156,"Latah",16,57,"Idaho"
"16085",-8.45880561664693,41.0441635199475,"Valley",16,85,"Idaho"
"16059",488.232348522784,688.722174394293,"Lemhi",16,59,"Idaho"
"16023",347.356233114628,1059.40219447597,"Butte",16,23,"Idaho"
"16043",149.476831091181,324.364172502764,"Fremont",16,43,"Idaho"
"16071",351.493848857645,564.84901151423,"Oneida",16,71,"Idaho"
"16045",187.930674462309,253.626864157452,"Gem",16,45,"Idaho"
"16079",41.7109055058395,258.30258302583,"Shoshone",16,79,"Idaho"
"16055",15.0837437852075,180.702333465736,"Kootenai",16,55,"Idaho"
"16051",29.0238317907704,124.863430622756,"Jefferson",16,51,"Idaho"
"16063",57.9486188912498,95.0570342205323,"Lincoln",16,63,"Idaho"
"16025",182.815356489945,-706.713780918728,"Camas",16,25,"Idaho"
"16027",96.8124708170373,175.912052252088,"Canyon",16,27,"Idaho"
"16077",394.854158705897,314.861460957179,"Power",16,77,"Idaho"
"16069",11.9306115631487,193.391665290913,"Nez Perce",16,69,"Idaho"
