"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"17139",145.1118667,95.371601,"Moultrie",17,139,"Illinois"
"17073",315.2831719,97.64697982,"Henry",17,73,"Illinois"
"17023",217.1770257,243.7687725,"Clark",17,23,"Illinois"
"17039",266.9515342,144.2395993,"De Witt",17,39,"Illinois"
"17069",348.3016454,584.9539194,"Hardin",17,69,"Illinois"
"17143",153.4943245,153.8040128,"Peoria",17,143,"Illinois"
"17019",88.05752171,118.0722876,"Champaign",17,19,"Illinois"
"17191",317.6203599,204.7680124,"Wayne",17,191,"Illinois"
"17117",262.1138354,172.4146466,"Macoupin",17,117,"Illinois"
"17123",1.47517435,31.17566456,"Marshall",17,123,"Illinois"
"17151",53.94370262,581.0987175,"Pope",17,151,"Illinois"
"17159",364.7799157,341.1025208,"Richland",17,159,"Illinois"
"17003",680.6913929,419.0877919,"Alexander",17,3,"Illinois"
"17103",227.438124,68.96126362,"Lee",17,103,"Illinois"
"17169",31.15410604,181.013387,"Schuyler",17,169,"Illinois"
"17163",237.8421218,161.9469969,"St. Clair",17,163,"Illinois"
"17189",99.51229073,-5.672295023,"Washington",17,189,"Illinois"
"17037",178.8883887,147.3868768,"DeKalb",17,37,"Illinois"
"17053",271.0582762,194.6519809,"Ford",17,53,"Illinois"
"17055",286.5080056,332.7284395,"Franklin",17,55,"Illinois"
"17065",313.5762116,-22.05754106,"Hamilton",17,65,"Illinois"
"17077",344.3501686,274.9663464,"Jackson",17,77,"Illinois"
"17145",198.6392589,287.283501,"Perry",17,145,"Illinois"
"17087",166.9387909,165.7521076,"Johnson",17,87,"Illinois"
"17075",276.0896284,115.2935042,"Iroquois",17,75,"Illinois"
"17105",151.904688,69.39105893,"Livingston",17,105,"Illinois"
"17175",305.5303694,384.7238523,"Stark",17,175,"Illinois"
"17179",218.5289671,212.083541,"Tazewell",17,179,"Illinois"
"17057",214.4713273,123.4110673,"Fulton",17,57,"Illinois"
"17171",211.087915,169.2363437,"Scott",17,171,"Illinois"
"17155",-150.2587323,207.7889082,"Putnam",17,155,"Illinois"
"17081",366.9475776,257.023229,"Jefferson",17,81,"Illinois"
"17135",254.6404731,335.6501999,"Montgomery",17,135,"Illinois"
"17187",392.3081516,95.94186339,"Warren",17,187,"Illinois"
"17007",94.41045193,108.4105605,"Boone",17,7,"Illinois"
"17063",222.0592329,126.8001839,"Grundy",17,63,"Illinois"
"17109",306.4530759,83.71990505,"McDonough",17,109,"Illinois"
"17129",44.77641309,260.684699,"Menard",17,129,"Illinois"
"17101",133.7323322,5.250094721,"Lawrence",17,101,"Illinois"
"17025",172.4913887,-64.47276442,"Clay",17,25,"Illinois"
"17177",299.6106695,212.0430514,"Stephenson",17,177,"Illinois"
"17011",262.7747977,80.94793909,"Bureau",17,11,"Illinois"
"17079",63.69138588,268.0111591,"Jasper",17,79,"Illinois"
"17045",346.9208799,271.2344231,"Edgar",17,45,"Illinois"
"17035",99.64351538,413.759936,"Cumberland",17,35,"Illinois"
"17141",161.1713011,80.95129482,"Ogle",17,141,"Illinois"
