"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"19047",145.6302604,-132.5622416,"Crawford",19,47,"Iowa"
"19135",263.5270753,76.20028473,"Monroe",19,135,"Iowa"
"19021",51.50757045,-102.6954488,"Buena Vista",19,21,"Iowa"
"19117",39.76737752,86.99700943,"Lucas",19,117,"Iowa"
"19131",138.2753098,65.91258678,"Mitchell",19,131,"Iowa"
"19123",245.8749783,109.4099526,"Mahaska",19,123,"Iowa"
"19081",216.4388447,290.4222008,"Hancock",19,81,"Iowa"
"19107",337.7441511,347.2272397,"Keokuk",19,107,"Iowa"
"19097",200.3538222,191.6240692,"Jackson",19,97,"Iowa"
"19095",170.4299384,24.48405689,"Iowa (county)",19,95,"Iowa"
"19023",-94.60981936,-17.14337644,"Butler",19,23,"Iowa"
"19189",297.7253732,-98.09093307,"Winnebago",19,189,"Iowa"
"19143",188.7321724,258.2904374,"Osceola",19,143,"Iowa"
"19007",319.466409,81.94428233,"Appanoose",19,7,"Iowa"
"19165",347.4325164,-67.84141884,"Shelby",19,165,"Iowa"
"19175",213.9313064,117.8363019,"Union",19,175,"Iowa"
"19191",-29.57502848,-3.059918975,"Winneshiek",19,191,"Iowa"
"19067",369.097209,72.06106023,"Floyd",19,67,"Iowa"
"19195",-210.600665,147.3009751,"Worth",19,195,"Iowa"
"19151",180.6495456,109.5027934,"Pocahontas",19,151,"Iowa"
"19079",117.4292961,-27.99271591,"Hamilton",19,79,"Iowa"
"19125",114.8116605,15.79897479,"Marion",19,125,"Iowa"
"19161",155.2597795,102.7962752,"Sac",19,161,"Iowa"
"19153",145.1499714,85.21502073,"Polk",19,153,"Iowa"
"19197",22.66407643,-33.38492469,"Wright",19,197,"Iowa"
"19139",207.3562791,117.9090083,"Muscatine",19,139,"Iowa"
"19015",143.6860972,96.51817142,"Boone",19,15,"Iowa"
"19037",179.6256065,44.81114757,"Chickasaw",19,37,"Iowa"
"19173",342.6142015,502.8746268,"Taylor",19,173,"Iowa"
"19157",55.00613536,101.7302679,"Poweshiek",19,157,"Iowa"
"19013",230.8481431,123.0615781,"Black Hawk",19,13,"Iowa"
"19051",135.7529946,-195.152544,"Davis",19,51,"Iowa"
"19031",168.569868,130.876238,"Cedar",19,31,"Iowa"
"19167",221.1877571,-15.34174957,"Sioux",19,167,"Iowa"
"19187",309.5977125,133.18373,"Webster",19,187,"Iowa"
"19087",329.2529862,79.60922726,"Henry",19,87,"Iowa"
"19083",194.4320113,302.8674841,"Hardin",19,83,"Iowa"
"19137",330.387369,-127.8598692,"Montgomery",19,137,"Iowa"
"19035",11.15346745,-90.65680592,"Cherokee",19,35,"Iowa"
"19109",183.3831057,243.658332,"Kossuth",19,109,"Iowa"
"19171",309.6101827,-0.60359869,"Tama",19,171,"Iowa"
"19003",86.38692321,455.5264778,"Adams",19,3,"Iowa"
"19089",-36.48030805,89.20100621,"Howard",19,89,"Iowa"
"19073",-189.8127982,111.7636058,"Greene",19,73,"Iowa"
"19179",332.9294231,85.99928727,"Wapello",19,179,"Iowa"
"19027",202.1370535,151.8588502,"Carroll",19,27,"Iowa"
"19147",137.0533259,68.80313507,"Palo Alto",19,147,"Iowa"
"19055",249.154344,19.22087906,"Delaware",19,55,"Iowa"
"19001",126.0823859,241.6141882,"Adair",19,1,"Iowa"
"19049",91.07316983,-31.11840038,"Dallas",19,49,"Iowa"
"19159",736.2722451,192.5277484,"Ringgold",19,159,"Iowa"
"19183",247.4268616,-7.495893608,"Washington",19,183,"Iowa"
"19057",133.5325571,190.7816135,"Des Moines",19,57,"Iowa"
"19093",507.0268055,-159.8002587,"Ida",19,93,"Iowa"
"19141",412.4416257,-172.758578,"O'Brien",19,141,"Iowa"
"19009",-104.7579544,-126.2767863,"Audubon",19,9,"Iowa"
"19011",257.6410017,-108.5267099,"Benton",19,11,"Iowa"
"19085",549.5711785,-98.99425597,"Harrison",19,85,"Iowa"
"19091",101.7835226,89.32447458,"Humboldt",19,91,"Iowa"
"19177",-24.15301724,-135.257957,"Van Buren",19,177,"Iowa"
"19193",242.5275102,39.21367539,"Woodbury",19,193,"Iowa"
"19045",155.7036756,79.6250384,"Clinton",19,45,"Iowa"
"19155",239.9338175,164.5368082,"Pottawattamie",19,155,"Iowa"
"19041",161.1126107,-27.55043286,"Clay",19,41,"Iowa"
"19033",236.3608454,124.9133237,"Cerro Gordo",19,33,"Iowa"
"19113",185.9083444,66.75722733,"Linn",19,113,"Iowa"
"19185",370.4159543,-70.91898978,"Wayne",19,185,"Iowa"
"19017",333.0589132,11.87340192,"Bremer",19,17,"Iowa"
"19101",310.329952,109.9501528,"Jefferson",19,101,"Iowa"
"19105",216.6031966,142.5893161,"Jones",19,105,"Iowa"
"19111",266.4458977,198.5265453,"Lee",19,111,"Iowa"
"19103",59.5111653,55.03853743,"Johnson",19,103,"Iowa"
"19145",96.33581486,15.11235758,"Page",19,145,"Iowa"
"19133",490.8659038,160.3237676,"Monona",19,133,"Iowa"
"19121",-154.0094885,18.7485024,"Madison",19,121,"Iowa"
"19019",103.2921332,51.22632478,"Buchanan",19,19,"Iowa"
"19169",-4.56885029,24.26615025,"Story",19,169,"Iowa"
"19115",202.5589697,82.89509825,"Louisa",19,115,"Iowa"
"19129",198.8214685,131.1544191,"Mills",19,129,"Iowa"
"19025",-66.68027514,16.2085936,"Calhoun",19,25,"Iowa"
"19069",378.9650847,415.4667585,"Franklin",19,69,"Iowa"
"19099",161.2002028,93.01043547,"Jasper",19,99,"Iowa"
"19005",92.23860879,-165.531714,"Allamakee",19,5,"Iowa"
"19043",224.5292222,127.0931913,"Clayton",19,43,"Iowa"
"19149",242.2389784,-29.58536441,"Plymouth",19,149,"Iowa"
"19077",324.4204371,-0.146575685,"Guthrie",19,77,"Iowa"
"19071",-120.325264,57.87322408,"Fremont",19,71,"Iowa"
"19075",171.4890498,-53.66986357,"Grundy",19,75,"Iowa"
"19181",95.65435312,111.4720858,"Warren",19,181,"Iowa"
"19119",175.2738789,-188.474911,"Lyon",19,119,"Iowa"
"19127",173.8114522,79.20901726,"Marshall",19,127,"Iowa"
"19059",119.5481369,-17.53960796,"Dickinson",19,59,"Iowa"
"19063",356.5137197,32.10243801,"Emmet",19,63,"Iowa"
"19029",306.5203201,-43.83232249,"Cass",19,29,"Iowa"
"19039",33.31109335,396.4449654,"Clarke",19,39,"Iowa"
"19163",186.9716415,115.1861046,"Scott",19,163,"Iowa"
"19053",87.28445781,166.5309228,"Decatur",19,53,"Iowa"
"19061",88.50500256,79.08252712,"Dubuque",19,61,"Iowa"
"19065",248.8876599,96.3601345,"Fayette",19,65,"Iowa"
