"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"21095",520.205066344994,605.922030410426,"Harlan",21,95,"Kentucky"
"21167",106.482097697325,122.720897615708,"Mercer",21,167,"Kentucky"
"21197",0.0,312.357153740667,"Powell",21,197,"Kentucky"
"21023",155.020271881708,462.523719165085,"Bracken",21,23,"Kentucky"
"21057",602.914084742924,646.698434309054,"Cumberland",21,57,"Kentucky"
"21211",204.837474912582,245.766212308963,"Shelby",21,211,"Kentucky"
"21041",-18.4996762556655,110.507413205636,"Carroll",21,41,"Kentucky"
"21009",166.602877276718,273.972602739726,"Barren",21,9,"Kentucky"
"21083",273.082279690871,316.939890710382,"Graves",21,83,"Kentucky"
"21137",304.777594728171,507.383879217886,"Lincoln",21,137,"Kentucky"
"21181",26.6240681576145,364.298724954463,"Nicholas",21,181,"Kentucky"
"21065",162.76272026042,610.015605050362,"Estill",21,65,"Kentucky"
"21029",179.858300825161,218.527774759438,"Bullitt",21,29,"Kentucky"
"21127",49.5110781037257,368.324125230203,"Lawrence",21,127,"Kentucky"
"21165",598.996276509633,679.39178259463,"Menifee",21,165,"Kentucky"
"21173",199.146514935989,336.879432624113,"Montgomery",21,173,"Kentucky"
"21201",960.658737419945,333.926981300089,"Robertson",21,201,"Kentucky"
"21237",414.468726450641,1228.12404052809,"Wolfe",21,237,"Kentucky"
"21007",193.923723335488,363.683595272113,"Ballard",21,7,"Kentucky"
"21079",292.585873954005,352.601156069364,"Garrard",21,79,"Kentucky"
"21071",302.7669535477,483.816206428248,"Floyd",21,71,"Kentucky"
"21101",275.143163922691,338.028169014085,"Henderson",21,101,"Kentucky"
"21141",149.25916487677,169.485413436227,"Logan",21,141,"Kentucky"
"21015",89.6333847623246,144.610789349069,"Boone",21,15,"Kentucky"
"21003",164.076826561143,202.234206471495,"Allen",21,3,"Kentucky"
"21157",72.8009369164055,173.304764305521,"Marshall",21,157,"Kentucky"
"21221",352.907961603614,592.634401015945,"Trigg",21,221,"Kentucky"
"21033",47.4458326743634,316.831683168317,"Caldwell",21,33,"Kentucky"
"21133",298.660693452798,507.542647680812,"Letcher",21,133,"Kentucky"
"21109",238.314883148831,431.466214654442,"Jackson",21,109,"Kentucky"
"21233",231.410058623882,249.240595061921,"Webster",21,233,"Kentucky"
"21017",69.2897797574858,424.964174531798,"Bourbon",21,17,"Kentucky"
"21077",218.290441176471,125.58511245576,"Gallatin",21,77,"Kentucky"
"21199",168.991581146685,289.149990820635,"Pulaski",21,199,"Kentucky"
"21191",0.0,321.653435532439,"Pendleton",21,191,"Kentucky"
"21177",194.628260023355,250.651041666667,"Muhlenberg",21,177,"Kentucky"
"21097",160.0,364.809136089669,"Harrison",21,97,"Kentucky"
"21235",166.366661212022,283.182483334237,"Whitley",21,235,"Kentucky"
"21131",-115.908432338453,460.98602484472,"Leslie",21,131,"Kentucky"
"21183",96.7687647256816,367.181564953153,"Ohio",21,183,"Kentucky"
"21231",504.098986710118,401.781144436483,"Wayne",21,231,"Kentucky"
"21229",199.335548172757,53.8748445917944,"Washington",21,229,"Kentucky"
"21099",202.565833896016,138.946068340881,"Hart",21,99,"Kentucky"
"21219",73.2541103695263,170.954086616737,"Todd",21,219,"Kentucky"
"21115",217.18895439032,509.59365445119,"Johnson",21,115,"Kentucky"
"21239",111.623753534752,122.005323868678,"Woodford",21,239,"Kentucky"
"21105",690.730837789661,630.914826498423,"Hickman",21,105,"Kentucky"
"21087",72.0266498604484,71.0164225477142,"Green",21,87,"Kentucky"
"21075",746.849229811732,568.356374807988,"Fulton",21,75,"Kentucky"
"21051",133.471748479905,524.259360007913,"Clay",21,51,"Kentucky"
"21111",194.461440579587,154.079543323391,"Jefferson",21,111,"Kentucky"
"21217",207.684319833853,469.393985651046,"Taylor",21,217,"Kentucky"
"21169",253.609051892314,261.172373766686,"Metcalfe",21,169,"Kentucky"
"21061",115.21685457987,334.202804043039,"Edmonson",21,61,"Kentucky"
"21027",229.716520039101,543.188321451089,"Breckinridge",21,27,"Kentucky"
"21049",103.034082589951,224.99322309569,"Clark",21,49,"Kentucky"
"21103",57.2409845449342,300.16604930387,"Henry",21,103,"Kentucky"
"21093",215.610565819861,365.094458099356,"Hardin",21,93,"Kentucky"
"21189",1351.68346030966,896.012115093387,"Owsley",21,189,"Kentucky"
"21151",175.027918563697,235.142091493576,"Madison",21,151,"Kentucky"
"21067",144.623807589882,107.4928079234,"Fayette",21,67,"Kentucky"
"21045",307.595731324545,302.47652656122,"Casey",21,45,"Kentucky"
"21037",97.6478667696798,68.7765300091344,"Campbell",21,37,"Kentucky"
"21223",165.133286152394,657.276995305164,"Trimble",21,223,"Kentucky"
"21215",56.231469174931,176.189277623962,"Spencer",21,215,"Kentucky"
"21119",315.767314574416,582.841708721302,"Knott",21,119,"Kentucky"
"21117",43.505025274348,89.7019769843612,"Kenton",21,117,"Kentucky"
"21035",288.2228923701,365.333333333333,"Calloway",21,35,"Kentucky"
"21055",145.170295924065,256.897129453814,"Crittenden",21,55,"Kentucky"
"21085",132.445319004011,448.938016373034,"Grayson",21,85,"Kentucky"
