"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"22089",226.5556377,102.033343,"St. Charles",22,89,"Louisiana"
"22111",712.2317782,359.6015324,"Union",22,111,"Louisiana"
"22125",230.5299704,124.204621,"West Feliciana",22,125,"Louisiana"
"22081",871.4476253,467.2468591,"Red River",22,81,"Louisiana"
"22013",558.1846121,524.2374666,"Bienville",22,13,"Louisiana"
"22119",478.6127723,549.1719697,"Webster",22,119,"Louisiana"
"22093",255.3013451,262.7880968,"St. James",22,93,"Louisiana"
"22019",217.0519601,132.0168249,"Calcasieu",22,19,"Louisiana"
"22031",238.9709102,230.7604931,"De Soto",22,31,"Louisiana"
"22091",282.3389966,317.6405329,"St. Helena",22,91,"Louisiana"
"22061",232.7901618,133.1017757,"Lincoln",22,61,"Louisiana"
"22105",198.3230221,299.7137771,"Tangipahoa",22,105,"Louisiana"
"22021",260.5651127,330.6011885,"Caldwell",22,21,"Louisiana"
"22083",317.0849939,316.0457279,"Richland",22,83,"Louisiana"
"22049",348.6543078,235.1208848,"Jackson",22,49,"Louisiana"
"22067",429.3428461,495.3815883,"Morehouse",22,67,"Louisiana"
"22101",303.1127276,319.6619484,"St. Mary",22,101,"Louisiana"
"22123",430.5688635,147.4616944,"West Carroll",22,123,"Louisiana"
"22017",394.2968062,283.6711046,"Caddo",22,17,"Louisiana"
"22033",210.4562226,201.4098999,"East Baton Rouge",22,33,"Louisiana"
"22073",249.0201893,215.2461055,"Ouachita",22,73,"Louisiana"
"22003",593.8451373,393.3467235,"Allen",22,3,"Louisiana"
"22045",311.7071889,247.9462454,"Iberia",22,45,"Louisiana"
"22099",389.741257,245.6283844,"St. Martin",22,99,"Louisiana"
"22001",497.9040467,411.0581182,"Acadia",22,1,"Louisiana"
"22079",337.9829658,338.1860404,"Rapides",22,79,"Louisiana"
"22053",84.51690035,283.8404248,"Jefferson Davis",22,53,"Louisiana"
"22009",350.8673491,323.6400519,"Avoyelles",22,9,"Louisiana"
"22047",523.1849484,408.0711313,"Iberville",22,47,"Louisiana"
"22095",257.1228165,115.4642108,"St. John the Baptist",22,95,"Louisiana"
"22041",352.3166294,181.8396651,"Franklin",22,41,"Louisiana"
"22051",231.9043849,153.5546855,"Jefferson",22,51,"Louisiana"
"22103",160.7003492,170.1747689,"St. Tammany",22,103,"Louisiana"
"22069",268.0774936,319.0876168,"Natchitoches",22,69,"Louisiana"
"22113",333.222774,334.1812454,"Vermilion",22,113,"Louisiana"
"22059",259.5424932,166.0309522,"La Salle",22,59,"Louisiana"
"22055",194.2396605,207.0349513,"Lafayette",22,55,"Louisiana"
"22109",199.1902203,298.2807893,"Terrebonne",22,109,"Louisiana"
"22039",373.1532326,327.5273863,"Evangeline",22,39,"Louisiana"
"22063",155.4543477,269.0402548,"Livingston",22,63,"Louisiana"
"22115",283.700545,131.7305387,"Vernon",22,115,"Louisiana"
"22015",185.0211698,173.3296961,"Bossier",22,15,"Louisiana"
"22037",366.3779706,131.0356646,"East Feliciana",22,37,"Louisiana"
"22025",571.4290998,333.3788776,"Catahoula",22,25,"Louisiana"
"22027",436.0503725,153.9677663,"Claiborne",22,27,"Louisiana"
"22029",383.4010792,305.8630394,"Concordia",22,29,"Louisiana"
"22085",628.4103393,471.1901872,"Sabine",22,85,"Louisiana"
"22065",201.6432872,264.1712997,"Madison",22,65,"Louisiana"
"22035",101.7249104,323.3065044,"East Carroll",22,35,"Louisiana"
"22071",306.3048144,180.6139315,"Orleans",22,71,"Louisiana"
"22075",243.262174,105.9397118,"Plaquemines",22,75,"Louisiana"
"22077",403.796839,351.6302811,"Pointe Coupee",22,77,"Louisiana"
"22023",501.3021272,218.2857176,"Cameron",22,23,"Louisiana"
"22107",743.590452,754.2736742,"Tensas",22,107,"Louisiana"
"22097",367.8367806,244.7828328,"St. Landry",22,97,"Louisiana"
"22057",228.5393247,277.7078068,"Lafourche",22,57,"Louisiana"
"22043",263.5846372,237.3431775,"Grant",22,43,"Louisiana"
"22117",316.9176601,303.3242337,"Washington",22,117,"Louisiana"
"22011",327.0730947,197.8249015,"Beauregard",22,11,"Louisiana"
"22087",201.1274114,256.410159,"St. Bernard",22,87,"Louisiana"
"22005",175.26282,146.6562766,"Ascension",22,5,"Louisiana"
"22007",260.1954302,512.1867233,"Assumption",22,7,"Louisiana"
"22127",538.8637112,239.0825866,"Winn",22,127,"Louisiana"
"22121",280.3938982,195.4691648,"West Baton Rouge",22,121,"Louisiana"
