"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"24019",92.60935311,181.1294508,"Dorchester",24,19,"Maryland"
"24001",446.097478,228.2715977,"Allegany",24,1,"Maryland"
"24013",101.5017864,81.12073163,"Carroll",24,13,"Maryland"
"24025",115.0423046,89.02600307,"Harford",24,25,"Maryland"
"24037",142.8857783,136.9801739,"St. Mary's",24,37,"Maryland"
"24017",166.7492287,137.5554648,"Charles",24,17,"Maryland"
"24005",151.3197363,58.67733908,"Baltimore (county)",24,5,"Maryland"
"24011",196.58456,226.3249046,"Caroline",24,11,"Maryland"
"24033",220.8513984,84.78944645,"Prince George's",24,33,"Maryland"
"24039",387.7050935,174.7212537,"Somerset",24,39,"Maryland"
"24041",214.8830086,198.930951,"Talbot",24,41,"Maryland"
"24015",199.1465219,170.0410548,"Cecil",24,15,"Maryland"
"24021",67.3598742,13.35612084,"Frederick",24,21,"Maryland"
"24023",383.9528527,172.1007736,"Garrett",24,23,"Maryland"
"24009",125.4641136,100.8055646,"Calvert",24,9,"Maryland"
"24035",27.81035989,92.4401166,"Queen Anne's",24,35,"Maryland"
"24003",72.81237298,32.97973225,"Anne Arundel",24,3,"Maryland"
"24027",76.51826316,24.11050094,"Howard",24,27,"Maryland"
"24029",400.7237872,225.1658284,"Kent",24,29,"Maryland"
"24031",134.4001697,30.64003044,"Montgomery",24,31,"Maryland"
"24043",197.4147627,187.1146394,"Washington",24,43,"Maryland"
"24047",145.5887727,122.2883407,"Worcester",24,47,"Maryland"
"24510",280.5048619,172.738852,"Baltimore (city)",24,510,"Maryland"
"24045",198.4006501,183.939807,"Wicomico",24,45,"Maryland"
