"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"27039",-100.550634426622,-23.8960045880329,"Dodge",27,39,"Minnesota"
"27099",-14.9779075863102,87.1904738179463,"Mower",27,99,"Minnesota"
"27127",58.6166471277843,65.0618087182824,"Redwood",27,127,"Minnesota"
"27161",-15.8721760753399,15.7952930026852,"Waseca",27,161,"Minnesota"
"27103",60.9632188579557,125.163731625673,"Nicollet",27,103,"Minnesota"
"27117",74.794315632012,96.5043963113875,"Pipestone",27,117,"Minnesota"
"27083",162.447006616744,27.7524481623915,"Lyon",27,83,"Minnesota"
"27019",47.6141572760968,90.8411801053204,"Carver",27,19,"Minnesota"
"27121",-17.6912870411322,105.364825709017,"Pope",27,121,"Minnesota"
"27047",77.9321989868814,35.750268127011,"Freeborn",27,47,"Minnesota"
"27013",21.7407058482499,90.956340956341,"Blue Earth",27,13,"Minnesota"
"27081",213.523131672598,340.746054519369,"Lincoln",27,81,"Minnesota"
"27091",10.0421771440048,155.599056367013,"Martin",27,91,"Minnesota"
"27107",-62.3441396508728,93.5016362786349,"Norman",27,107,"Minnesota"
"27089",154.269972451791,144.524735964425,"Marshall",27,89,"Minnesota"
"27059",108.956199607758,181.687783887162,"Isanti",27,59,"Minnesota"
"27149",-113.671592435672,-226.991333058192,"Stevens",27,149,"Minnesota"
"27109",59.7522437891547,80.1855898537684,"Olmsted",27,109,"Minnesota"
"27171",72.3813828021835,126.04314553828,"Wright",27,171,"Minnesota"
"27145",180.0905490243,137.857232783583,"Stearns",27,145,"Minnesota"
"27017",118.958696434006,206.202573408116,"Carlton",27,17,"Minnesota"
"27057",158.52293920179,101.541585894951,"Hubbard",27,57,"Minnesota"
"27169",54.2582693621639,-21.1582638133237,"Winona",27,169,"Minnesota"
"27023",96.416519363651,92.8092970704544,"Chippewa",27,23,"Minnesota"
"27025",54.6399929496783,132.514995117869,"Chisago",27,25,"Minnesota"
"27153",47.6720165262991,150.560640278933,"Todd",27,153,"Minnesota"
"27131",147.64660263676,101.148331052538,"Rice",27,131,"Minnesota"
"27035",25.6832499886692,132.600306917564,"Crow Wing",27,35,"Minnesota"
"27155",1142.17012323414,819.423368740516,"Traverse",27,155,"Minnesota"
"27123",142.998869818335,123.609621346812,"Ramsey",27,123,"Minnesota"
"27041",118.106192872548,-82.8764503378809,"Douglas",27,41,"Minnesota"
"27143",-303.561791689153,93.9597315436242,"Sibley",27,143,"Minnesota"
"27065",329.212994595938,247.800768182381,"Kanabec",27,65,"Minnesota"
"27085",191.377094895699,209.637898175878,"McLeod",27,85,"Minnesota"
"27087",509.070714550167,554.733727810651,"Mahnomen",27,87,"Minnesota"
"27105",144.894724926421,-22.707661565012,"Nobles",27,105,"Minnesota"
"27063",-30.1628795495677,-70.0911184539902,"Jackson",27,63,"Minnesota"
"27027",102.694583243923,90.0199874887475,"Clay",27,27,"Minnesota"
"27007",243.597482107442,261.012123042409,"Beltrami",27,7,"Minnesota"
"27159",-85.4153320521034,-35.2932872167714,"Wadena",27,159,"Minnesota"
"27093",98.3578515224085,74.8374957235717,"Meeker",27,93,"Minnesota"
"27151",82.355363393041,-287.032291132752,"Swift",27,151,"Minnesota"
"27101",-208.078335373317,171.821305841924,"Murray",27,101,"Minnesota"
"27001",254.210359072132,107.194652878492,"Aitkin",27,1,"Minnesota"
"27053",108.730112135267,84.1318506801446,"Hennepin",27,53,"Minnesota"
"27135",242.257578733713,117.932254471598,"Roseau",27,135,"Minnesota"
"27051",279.927548164005,195.376098990557,"Grant",27,51,"Minnesota"
"27115",186.303260307055,383.076239012211,"Pine",27,115,"Minnesota"
"27137",171.696592598525,121.929190751445,"St. Louis",27,137,"Minnesota"
"27029",104.432582965885,326.454471260347,"Clearwater",27,29,"Minnesota"
"27005",179.7227135277,85.2079072937969,"Becker",27,5,"Minnesota"
"27079",34.8638566398215,135.36966331135,"Le Sueur",27,79,"Minnesota"
"27133",217.661691542289,-5.16315572077654,"Rock",27,133,"Minnesota"
"27165",224.074572017567,53.8213132400431,"Watonwan",27,165,"Minnesota"
"27049",139.199392584469,104.373238701597,"Goodhue",27,49,"Minnesota"
"27037",123.942840478274,95.6343215169301,"Dakota",27,37,"Minnesota"
"27071",116.211504938989,301.154425296972,"Koochiching",27,71,"Minnesota"
"27009",152.571926765475,82.0443522115779,"Benton",27,9,"Minnesota"
"27077",398.618123837364,209.753539590981,"Lake of the Woods",27,77,"Minnesota"
"27055",85.1426138782461,5.3236797274276,"Houston",27,55,"Minnesota"
"27113",-21.519259737465,112.294428747374,"Pennington",27,113,"Minnesota"
"27111",150.423693403085,164.881834685142,"Otter Tail",27,111,"Minnesota"
"27033",226.876090750436,259.582936748291,"Cottonwood",27,33,"Minnesota"
"27139",73.1090880220187,100.342537391486,"Scott",27,139,"Minnesota"
"27119",189.948810405331,116.883116883117,"Polk",27,119,"Minnesota"
"27097",113.616242696099,230.950279493969,"Morrison",27,97,"Minnesota"
"27073",418.597697712663,314.08914148968,"Lac Qui Parle",27,73,"Minnesota"
"27167",170.966739198011,241.885143570537,"Wilkin",27,167,"Minnesota"
"27095",193.020967375672,246.268656716418,"Mille Lacs",27,95,"Minnesota"
"27173",-42.0212207164618,137.960309880081,"Yellow Medicine",27,173,"Minnesota"
"27157",149.211974260934,46.5202828433197,"Wabasha",27,157,"Minnesota"
"27011",410.076157000586,291.545189504373,"Big Stone",27,11,"Minnesota"
"27003",135.039989438828,129.288829608779,"Anoka",27,3,"Minnesota"
"27021",86.3643912971267,258.474021724905,"Cass",27,21,"Minnesota"
"27069",811.068702290076,698.626836906769,"Kittson",27,69,"Minnesota"
"27075",115.122490329711,136.724090784796,"Lake",27,75,"Minnesota"
"27067",160.498922364378,70.8490458233345,"Kandiyohi",27,67,"Minnesota"
