"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"28153",272.31467473525,420.913839444191,"Wayne",28,153,"Mississippi"
"28017",299.032541776605,358.4229390681,"Chickasaw",28,17,"Mississippi"
"28009",567.815201961543,483.786610878661,"Benton",28,9,"Mississippi"
"28139",358.390001837897,244.815003002448,"Tippah",28,139,"Mississippi"
"28019",256.378952508851,160.098522167488,"Choctaw",28,19,"Mississippi"
"28003",328.665332952272,239.846498241126,"Alcorn",28,3,"Mississippi"
"28137",504.225552162488,343.752214898292,"Tate",28,137,"Mississippi"
"28091",581.681140422743,303.515032197203,"Marion",28,91,"Mississippi"
"28151",533.507417328861,335.447948519009,"Washington",28,151,"Mississippi"
"28117",344.523675987501,224.116540601113,"Prentiss",28,117,"Mississippi"
"28155",495.149555375909,681.772608782835,"Webster",28,155,"Mississippi"
"28121",296.98364040762,203.236590183863,"Rankin",28,121,"Mississippi"
"28097",736.045798405234,369.685767097967,"Montgomery",28,97,"Mississippi"
"28115",519.306741429846,401.146131805158,"Pontotoc",28,115,"Mississippi"
"28161",427.660776244654,104.669887278583,"Yalobusha",28,161,"Mississippi"
"28157",322.845738436253,35.9453630481668,"Wilkinson",28,157,"Mississippi"
"28005",261.241291956935,347.936106278665,"Amite",28,5,"Mississippi"
"28013",612.809207084672,413.793103448276,"Calhoun",28,13,"Mississippi"
"28035",154.525670577025,293.91757473079,"Forrest",28,35,"Mississippi"
"28101",306.806381572737,289.332637670161,"Newton",28,101,"Mississippi"
"28111",614.29313029936,449.982692973347,"Perry",28,111,"Mississippi"
"28099",668.619679476133,137.964336219087,"Neshoba",28,99,"Mississippi"
"28071",168.567534610143,197.388132038561,"Lafayette",28,71,"Mississippi"
"28131",354.049784846669,333.351255443841,"Stone",28,131,"Mississippi"
"28119",1236.74911660777,921.736215853863,"Quitman",28,119,"Mississippi"
"28063",568.260568260568,152.523571824737,"Jefferson",28,63,"Mississippi"
"28057",290.452938205085,167.813391508642,"Itawamba",28,57,"Mississippi"
"28029",400.226677056032,201.512233397532,"Copiah",28,29,"Mississippi"
"28145",193.312808763514,232.741334861071,"Union",28,145,"Mississippi"
"28159",502.484191508582,301.01664110865,"Winston",28,159,"Mississippi"
"28069",308.268193328196,293.7521184047,"Kemper",28,69,"Mississippi"
"28081",311.194628301955,276.126511762507,"Lee",28,81,"Mississippi"
"28087",342.705154217319,120.204691417385,"Lowndes",28,87,"Mississippi"
"28079",458.715596330275,452.766118002169,"Leake",28,79,"Mississippi"
"28103",526.932084309133,98.6290561199329,"Noxubee",28,103,"Mississippi"
"28031",468.767033685817,224.23977247867,"Covington",28,31,"Mississippi"
"28073",175.640387963193,144.151880875339,"Lamar",28,73,"Mississippi"
"28127",457.498750528623,356.990415583408,"Simpson",28,127,"Mississippi"
"28065",204.991087344029,277.977044476327,"Jefferson Davis",28,65,"Mississippi"
"28059",200.867636596967,249.155581502022,"Jackson",28,59,"Mississippi"
"28107",297.914597815293,322.296208458755,"Panola",28,107,"Mississippi"
"28163",292.138155461874,219.622098527017,"Yazoo",28,163,"Mississippi"
"28047",203.753865330681,270.926309954989,"Harrison",28,47,"Mississippi"
"28149",412.713366081242,295.059469350412,"Warren",28,149,"Mississippi"
"28125",1068.82168925965,1141.92495921697,"Sharkey",28,125,"Mississippi"
"28135",506.941194821401,386.784850926672,"Tallahatchie",28,135,"Mississippi"
"28025",373.612297181896,318.042154061776,"Clay",28,25,"Mississippi"
"28093",423.816110898549,542.559814995997,"Marshall",28,93,"Mississippi"
"28043",391.882435269419,116.844269957001,"Grenada",28,43,"Mississippi"
"28077",497.636227917392,354.819633353046,"Lawrence",28,77,"Mississippi"
"28133",525.700934579439,215.991203267358,"Sunflower",28,133,"Mississippi"
"28051",621.78006750755,495.258802923235,"Holmes",28,51,"Mississippi"
"28095",443.847456637271,395.117060800849,"Monroe",28,95,"Mississippi"
"28015",553.709856035437,374.190938511327,"Carroll",28,15,"Mississippi"
"28061",440.501682471704,576.72249831278,"Jasper",28,61,"Mississippi"
"28041",88.7311446317658,-44.0819925060613,"Greene",28,41,"Mississippi"
"28075",523.854582356249,298.567430518995,"Lauderdale",28,75,"Mississippi"
"28123",246.81642581199,347.197106690778,"Scott",28,123,"Mississippi"
"28129",297.763312789973,345.240611569083,"Smith",28,129,"Mississippi"
"28147",366.22145626885,447.976878612717,"Walthall",28,147,"Mississippi"
"28055",227.100681302044,155.400155400155,"Issaquena",28,55,"Mississippi"
"28141",391.658727638404,650.319829424307,"Tishomingo",28,141,"Mississippi"
"28109",285.098269809875,370.239149689991,"Pearl River",28,109,"Mississippi"
"28023",515.563575433396,58.3014834488566,"Clarke",28,23,"Mississippi"
"28045",308.815272318922,264.883407877025,"Hancock",28,45,"Mississippi"
"28037",430.753165383109,586.47204483253,"Franklin",28,37,"Mississippi"
"28049",382.388961822779,305.254953954205,"Hinds",28,49,"Mississippi"
"28007",346.969612177514,264.714165023937,"Attala",28,7,"Mississippi"
"28083",703.874866690366,292.947558770344,"Leflore",28,83,"Mississippi"
"28053",567.888487351575,712.871287128713,"Humphreys",28,53,"Mississippi"
"28143",268.041237113402,525.773195876289,"Tunica",28,143,"Mississippi"
"28001",301.388418557399,329.415028260342,"Adams",28,1,"Mississippi"
"28113",252.184769038702,314.944884645187,"Pike",28,113,"Mississippi"
"28011",503.688298183473,394.905716260243,"Bolivar",28,11,"Mississippi"
"28021",386.313465783664,-5.59597090095132,"Claiborne",28,21,"Mississippi"
"28033",201.492657607557,302.547347730231,"De Soto",28,33,"Mississippi"
"28067",257.927364086402,353.282835843238,"Jones",28,67,"Mississippi"
"28085",382.99832978172,200.435230786851,"Lincoln",28,85,"Mississippi"
"28039",143.477904402722,388.663967611336,"George",28,39,"Mississippi"
"28027",694.379281223609,476.715216558068,"Coahoma",28,27,"Mississippi"
"28105",233.426704014939,169.808772166799,"Oktibbeha",28,105,"Mississippi"
"28089",149.730851904246,55.5925159714564,"Madison",28,89,"Mississippi"
