"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"31079",116.3960089,49.22760361,"Hall",31,79,"Nebraska"
"31143",910.2018739,28.83394407,"Polk",31,143,"Nebraska"
"31157",320.4903204,57.78529378,"Scotts Bluff",31,157,"Nebraska"
"31109",76.29657303,31.0689803,"Lancaster",31,109,"Nebraska"
"31007",-1121.370585,-1096.375163,"Banner",31,7,"Nebraska"
"31015",435.7685489,347.6956516,"Boyd",31,15,"Nebraska"
"31099",-54.15332386,-226.2590395,"Kearney",31,99,"Nebraska"
"31131",-39.43547555,38.01569032,"Otoe",31,131,"Nebraska"
"31061",319.5525483,883.6352752,"Franklin",31,61,"Nebraska"
"31081",365.4176843,246.057243,"Hamilton",31,81,"Nebraska"
"31017",406.7105254,463.5564349,"Brown",31,17,"Nebraska"
"31025",289.7059742,62.59862836,"Cass",31,25,"Nebraska"
"31105",314.1280539,-209.9876581,"Kimball",31,105,"Nebraska"
"31113",486.8203593,-683.312207,"Logan",31,113,"Nebraska"
"31041",297.3219725,224.4291613,"Custer",31,41,"Nebraska"
"31159",-10.11626011,-76.38052496,"Seward",31,159,"Nebraska"
"31181",209.7363713,128.843133,"Webster",31,181,"Nebraska"
"31111",312.140711,344.193797,"Lincoln",31,111,"Nebraska"
"31183",-822.1497759,-1141.525016,"Wheeler",31,183,"Nebraska"
"31087",572.7059645,264.0713228,"Hitchcock",31,87,"Nebraska"
"31115",-400.9739803,-1826.397012,"Loup",31,115,"Nebraska"
"31037",-10.69412686,-147.9047165,"Colfax",31,37,"Nebraska"
"31141",144.8968543,51.39730243,"Platte",31,141,"Nebraska"
"31031",402.4662406,310.2258997,"Cherry",31,31,"Nebraska"
"31091",-522.4722035,-200.5377904,"Hooker",31,91,"Nebraska"
"31057",-34.41246115,0.897228938,"Dundy",31,57,"Nebraska"
"31001",277.5871458,131.7337506,"Adams",31,1,"Nebraska"
"31071",-234.8752725,407.4748122,"Garfield",31,71,"Nebraska"
"31059",52.95767877,-37.91266993,"Fillmore",31,59,"Nebraska"
"31035",311.7052939,207.7822124,"Clay",31,35,"Nebraska"
"31011",126.5407233,234.2138073,"Boone",31,11,"Nebraska"
"31163",375.0901116,-74.07174772,"Sherman",31,163,"Nebraska"
"31009",-592.2901898,-1058.048471,"Blaine",31,9,"Nebraska"
"31067",100.7748534,205.1525323,"Gage",31,67,"Nebraska"
"31117",-918.9630402,545.9904942,"McPherson",31,117,"Nebraska"
"31129",536.1186868,-26.88170986,"Nuckolls",31,129,"Nebraska"
"31047",186.0575848,24.06165318,"Dawson",31,47,"Nebraska"
"31077",208.4740181,9.869886038,"Greeley",31,77,"Nebraska"
"31019",165.8086709,65.84800064,"Buffalo",31,19,"Nebraska"
"31097",-175.8763449,-108.5050565,"Johnson",31,97,"Nebraska"
"31123",535.6227106,283.132323,"Morrill",31,123,"Nebraska"
"31045",285.038216,270.4593854,"Dawes",31,45,"Nebraska"
"31013",153.6941578,117.9239514,"Box Butte",31,13,"Nebraska"
"31127",159.9542897,29.53180961,"Nemaha",31,127,"Nebraska"
"31153",138.5762906,74.29679024,"Sarpy",31,153,"Nebraska"
"31049",-109.377707,564.8761723,"Deuel",31,49,"Nebraska"
"31051",270.7622973,26.52269552,"Dixon",31,51,"Nebraska"
"31171",-447.2556816,-824.0495587,"Thomas",31,171,"Nebraska"
"31023",-63.74362413,-97.67128303,"Butler",31,23,"Nebraska"
"31039",303.8144028,238.2161453,"Cuming",31,39,"Nebraska"
"31043",308.0403343,-154.3290323,"Dakota",31,43,"Nebraska"
"31005",511.2743337,-345.707242,"Arthur",31,5,"Nebraska"
"31179",70.25226702,-42.84243723,"Wayne",31,179,"Nebraska"
"31053",231.3011983,69.63253093,"Dodge",31,53,"Nebraska"
"31161",553.4359704,-88.45520747,"Sheridan",31,161,"Nebraska"
"31175",-83.22822681,481.0351334,"Valley",31,175,"Nebraska"
"31185",-70.24906532,6.027857219,"York",31,185,"Nebraska"
"31103",-753.8164814,-1332.394545,"Keya Paha",31,103,"Nebraska"
"31125",270.9941492,-158.941404,"Nance",31,125,"Nebraska"
"31101",-56.46326844,378.9509431,"Keith",31,101,"Nebraska"
"31165",143.2566572,222.8026448,"Sioux",31,165,"Nebraska"
"31133",439.5705234,6.371976846,"Pawnee",31,133,"Nebraska"
"31167",373.6861806,-34.89900348,"Stanton",31,167,"Nebraska"
"31169",-46.71988413,284.3729874,"Thayer",31,169,"Nebraska"
"31083",197.042392,757.8911008,"Harlan",31,83,"Nebraska"
"31155",206.2163737,42.37945927,"Saunders",31,155,"Nebraska"
"31095",82.63316888,162.711417,"Jefferson",31,95,"Nebraska"
"31021",240.0865316,-404.5414123,"Burt",31,21,"Nebraska"
"31075",980.3843901,-593.071968,"Grant",31,75,"Nebraska"
"31107",213.131393,155.9886563,"Knox",31,107,"Nebraska"
"31145",56.52964349,291.2149666,"Red Willow",31,145,"Nebraska"
"31147",482.494881,159.8755333,"Richardson",31,147,"Nebraska"
"31149",-279.8575362,181.7811314,"Rock",31,149,"Nebraska"
"31065",129.794017,346.4458309,"Furnas",31,65,"Nebraska"
"31085",-430.5557949,-923.6179102,"Hayes",31,85,"Nebraska"
"31055",104.8823206,29.95672809,"Douglas",31,55,"Nebraska"
"31151",-195.2942455,-146.9628992,"Saline",31,151,"Nebraska"
"31093",111.3915284,208.040109,"Howard",31,93,"Nebraska"
"31137",54.51969148,301.7212837,"Phelps",31,137,"Nebraska"
"31177",78.18579043,2.011261583,"Washington",31,177,"Nebraska"
"31033",295.1500274,330.5186972,"Cheyenne",31,33,"Nebraska"
"31003",250.5571487,120.960197,"Antelope",31,3,"Nebraska"
"31073",582.5677562,-88.0082387,"Gosper",31,73,"Nebraska"
"31119",22.42538831,-100.0973588,"Madison",31,119,"Nebraska"
"31135",-34.90674643,30.85707852,"Perkins",31,135,"Nebraska"
"31139",27.3133214,79.18859702,"Pierce",31,139,"Nebraska"
"31063",89.06998635,414.8085372,"Frontier",31,63,"Nebraska"
"31089",78.41156001,-31.60864833,"Holt",31,89,"Nebraska"
"31173",297.6470384,358.7626461,"Thurston",31,173,"Nebraska"
"31069",-155.5624338,227.1416823,"Garden",31,69,"Nebraska"
"31027",132.7184451,-208.6465094,"Cedar",31,27,"Nebraska"
"31029",53.24736485,157.5993213,"Chase",31,29,"Nebraska"
"31121",268.1404047,68.63195796,"Merrick",31,121,"Nebraska"
