"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"32011",-92.19511481,662.2494312,"Eureka",32,11,"Nevada"
"32029",73.79421977,161.0982549,"Storey",32,29,"Nevada"
"32009",-458.8982859,165.1571609,"Esmeralda",32,9,"Nevada"
"32033",60.84219044,143.9843037,"White Pine",32,33,"Nevada"
"32027",125.3196354,404.9395684,"Pershing",32,27,"Nevada"
"32003",156.8603491,172.0613971,"Clark",32,3,"Nevada"
"32017",299.2543279,336.2684375,"Lincoln",32,17,"Nevada"
"32005",173.0541708,210.1780384,"Douglas",32,5,"Nevada"
"32021",403.4264862,211.7093652,"Mineral",32,21,"Nevada"
"32019",249.3729454,287.7786477,"Lyon",32,19,"Nevada"
"32001",345.3135681,304.9538406,"Churchill",32,1,"Nevada"
"32013",-45.06141168,246.5341964,"Humboldt",32,13,"Nevada"
"32015",243.279243,270.222239,"Lander",32,15,"Nevada"
"32510",159.7031106,195.6058712,"Carson City (city)",32,510,"Nevada"
"32023",69.11604048,267.310066,"Nye",32,23,"Nevada"
"32031",120.3160189,98.82297285,"Washoe",32,31,"Nevada"
"32007",128.0940387,280.4554255,"Elko",32,7,"Nevada"
