"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"33001",97.6747117020606,41.9547820682154,"Belknap",33,1,"New Hampshire"
"33003",-27.9262746349637,38.9772372934206,"Carroll",33,3,"New Hampshire"
"33017",48.8136006894921,65.8044020875879,"Strafford",33,17,"New Hampshire"
"33019",69.5748973770264,110.446387482743,"Sullivan",33,19,"New Hampshire"
"33013",23.4190513983125,63.8520181107542,"Merrimack",33,13,"New Hampshire"
"33011",122.002065743715,72.1904128300765,"Hillsborough",33,11,"New Hampshire"
"33005",23.5303345229225,130.815459537872,"Cheshire",33,5,"New Hampshire"
"33009",6.5843621399177,47.8032245447829,"Grafton",33,9,"New Hampshire"
"33007",153.74267320073,402.916346891788,"Coos",33,7,"New Hampshire"
"33015",89.1733944808038,92.5516457135637,"Rockingham",33,15,"New Hampshire"
