"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"34013",321.3876805,5.084124687,"Essex",34,13,"New Jersey"
"34001",180.1042888,151.0547997,"Atlantic",34,1,"New Jersey"
"34029",143.6823377,19.22279808,"Ocean",34,29,"New Jersey"
"34027",212.2950962,-3.019114636,"Morris",34,27,"New Jersey"
"34009",120.1258987,46.8361678,"Cape May",34,9,"New Jersey"
"34011",204.8754595,155.1477968,"Cumberland",34,11,"New Jersey"
"34021",203.8622053,60.16135365,"Mercer",34,21,"New Jersey"
"34015",159.8729986,68.35714912,"Gloucester",34,15,"New Jersey"
"34039",330.7658679,17.08557943,"Union",34,39,"New Jersey"
"34007",173.677378,72.30396632,"Camden",34,7,"New Jersey"
"34041",177.1545117,65.33111909,"Warren",34,41,"New Jersey"
"34037",200.0818035,90.20509067,"Sussex",34,37,"New Jersey"
"34035",167.4422831,-8.659642814,"Somerset",34,35,"New Jersey"
"34003",226.7983834,-19.77807193,"Bergen",34,3,"New Jersey"
"34005",118.3287888,17.37052072,"Burlington",34,5,"New Jersey"
"34023",205.5750797,26.73830791,"Middlesex",34,23,"New Jersey"
"34031",347.1840225,29.85729263,"Passaic",34,31,"New Jersey"
"34017",288.2314275,47.13508765,"Hudson",34,17,"New Jersey"
"34033",256.2095775,171.3142931,"Salem",34,33,"New Jersey"
"34025",184.645293,40.3405482,"Monmouth",34,25,"New Jersey"
"34019",123.2941723,5.745696231,"Hunterdon",34,19,"New Jersey"
