"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"35059",250.5232353,154.6123288,"Union",35,59,"New Mexico"
"35045",424.3889602,487.472077,"San Juan",35,45,"New Mexico"
"35037",494.8166093,539.329228,"Quay",35,37,"New Mexico"
"35028",-7.814921167,-19.8493096,"Los Alamos",35,28,"New Mexico"
"35025",166.2266877,174.5694027,"Lea",35,25,"New Mexico"
"35007",261.4787403,207.5964524,"Colfax",35,7,"New Mexico"
"35013",323.5388056,264.5477466,"Dona Ana",35,13,"New Mexico"
"35019",352.2995011,158.7767275,"Guadalupe",35,19,"New Mexico"
"35029",299.7782654,328.5455427,"Luna",35,29,"New Mexico"
"35017",304.2833523,199.9120386,"Grant",35,17,"New Mexico"
"35057",69.31631241,381.2345764,"Torrance",35,57,"New Mexico"
"35003",20.87516044,705.1649001,"Catron",35,3,"New Mexico"
"35039",211.3178165,381.8298867,"Rio Arriba",35,39,"New Mexico"
"35053",316.4428561,257.714246,"Socorro",35,53,"New Mexico"
"35041",104.9145997,216.4871045,"Roosevelt",35,41,"New Mexico"
"35043",167.4184935,178.1249675,"Sandoval",35,43,"New Mexico"
"35055",218.7190287,220.3536208,"Taos",35,55,"New Mexico"
"35011",500.0472636,738.6595544,"De Baca",35,11,"New Mexico"
"35023",49.27921492,149.7470129,"Hidalgo",35,23,"New Mexico"
"35033",60.09591204,148.6490398,"Mora",35,33,"New Mexico"
"35035",173.9203299,270.9319823,"Otero",35,35,"New Mexico"
"35015",7.028106427,231.7645323,"Eddy",35,15,"New Mexico"
"35009",127.9714111,277.0848285,"Curry",35,9,"New Mexico"
"35031",806.8450428,462.8289612,"McKinley",35,31,"New Mexico"
"35049",111.6615206,171.9802889,"Santa Fe",35,49,"New Mexico"
"35006",448.1211885,460.3650926,"Cibola",35,6,"New Mexico"
"35027",15.6856356,317.9683078,"Lincoln",35,27,"New Mexico"
"35021",465.9494559,408.3611294,"Harding",35,21,"New Mexico"
"35001",206.0285138,198.1910446,"Bernalillo",35,1,"New Mexico"
"35061",222.2531871,283.0182593,"Valencia",35,61,"New Mexico"
"35051",475.7096413,106.8560655,"Sierra",35,51,"New Mexico"
"35005",303.5100984,231.5377013,"Chaves",35,5,"New Mexico"
"35047",90.69908229,342.099055,"San Miguel",35,47,"New Mexico"
