"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"36117",113.31507090443,156.131458289811,"Wayne",36,117,"New York"
"36087",265.660287650065,22.5619790837182,"Rockland",36,87,"New York"
"36037",206.565334894049,86.3378919740296,"Genesee",36,37,"New York"
"36061",248.98377334354,83.8639169847658,"New York (county)",36,61,"New York"
"36113",113.160228767165,146.294631291812,"Warren",36,113,"New York"
"36057",224.537271164155,183.689947517158,"Montgomery",36,57,"New York"
"36001",108.500771809614,65.3211570448071,"Albany",36,1,"New York"
"36053",210.83146659639,218.637357442534,"Madison",36,53,"New York"
"36099",103.608537343477,87.557877240888,"Seneca",36,99,"New York"
"36017",144.554750111605,190.925667703529,"Chenango",36,17,"New York"
"36059",242.952749382262,14.3744766792084,"Nassau",36,59,"New York"
"36021",42.4233524238419,-17.8152077091262,"Columbia",36,21,"New York"
"36107",202.915355308928,220.672426355782,"Tioga",36,107,"New York"
"36009",138.096354777352,376.490274001255,"Cattaraugus",36,9,"New York"
"36003",131.812092138813,156.029905731932,"Allegany",36,3,"New York"
"36073",203.736831643808,136.822727498881,"Orleans",36,73,"New York"
"36013",96.663916067429,230.107882771066,"Chautauqua",36,13,"New York"
"36041",340.749649228302,293.369841580286,"Hamilton",36,41,"New York"
"36067",166.721254318588,84.461599533772,"Onondaga",36,67,"New York"
"36035",182.395968484985,346.372501035353,"Fulton",36,35,"New York"
"36063",247.406714920419,194.105979030887,"Niagara",36,63,"New York"
"36095",130.308396538474,197.707928423028,"Schoharie",36,95,"New York"
"36075",81.8456187017239,200.201052972347,"Oswego",36,75,"New York"
"36005",447.844792038926,130.258651473551,"Bronx",36,5,"New York"
"36123",149.634003316213,-40.6058391196654,"Yates",36,123,"New York"
"36015",150.492684383398,121.442399028461,"Chemung",36,15,"New York"
"36083",110.233670469832,140.956634005476,"Rensselaer",36,83,"New York"
"36065",209.484814515047,78.0975438322465,"Oneida",36,65,"New York"
"36051",64.6610950356444,168.842132606013,"Livingston",36,51,"New York"
"36081",364.849932717467,76.3916155502226,"Queens",36,81,"New York"
"36091",54.6855051493744,114.712270417308,"Saratoga",36,91,"New York"
"36085",266.201541572924,75.1331537698212,"Richmond",36,85,"New York"
"36031",139.492462041955,131.444820001073,"Essex",36,31,"New York"
"36069",16.9468848949739,17.7773037163453,"Ontario",36,69,"New York"
"36103",229.762060860919,58.649412162512,"Suffolk",36,103,"New York"
"36077",162.470926255302,197.743998899512,"Otsego",36,77,"New York"
"36105",145.569701071342,134.361344115727,"Sullivan",36,105,"New York"
"36121",173.563759886936,49.4095558080933,"Wyoming",36,121,"New York"
"36109",-20.0232651271001,-8.55537705447874,"Tompkins",36,109,"New York"
"36019",141.694566703031,151.985228543077,"Clinton",36,19,"New York"
"36119",246.688104440987,14.0686409492578,"Westchester",36,119,"New York"
"36023",164.60025651988,217.808544133187,"Cortland",36,23,"New York"
"36101",186.419673952524,263.415368405208,"Steuben",36,101,"New York"
"36093",120.598932382083,101.86263096624,"Schenectady",36,93,"New York"
"36079",195.270567307004,63.3325161395767,"Putnam",36,79,"New York"
"36045",21.6868933091597,98.0459611944406,"Jefferson",36,45,"New York"
"36049",37.7201916185734,56.4588979223126,"Lewis",36,49,"New York"
"36027",194.844074000156,136.404052379156,"Dutchess",36,27,"New York"
"36011",251.563238925963,147.541199562646,"Cayuga",36,11,"New York"
"36039",133.740126217244,142.532534600289,"Greene",36,39,"New York"
"36043",191.042594192305,170.150299431164,"Herkimer",36,43,"New York"
"36025",176.346906016143,234.498308906426,"Delaware",36,25,"New York"
"36071",166.304336936594,41.0832108261685,"Orange",36,71,"New York"
"36033",41.7580123186136,246.49222601441,"Franklin",36,33,"New York"
"36007",174.609539568857,91.7012868578377,"Broome",36,7,"New York"
"36115",186.496965334468,191.856746962268,"Washington",36,115,"New York"
"36097",140.134529147982,264.535374570834,"Schuyler",36,97,"New York"
"36029",121.629091400095,55.8851300341304,"Erie",36,29,"New York"
"36047",335.556894170604,72.4664169219447,"Kings",36,47,"New York"
"36111",155.29235233435,68.3930906564095,"Ulster",36,111,"New York"
"36089",119.219252523012,247.943824070905,"St. Lawrence",36,89,"New York"
"36055",163.783694393914,97.2004420006484,"Monroe",36,55,"New York"
