"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"37165",515.8108194,397.5552488,"Scotland",37,165,"North Carolina"
"37127",156.9960372,97.86095033,"Nash",37,127,"North Carolina"
"37001",144.2798197,66.11777527,"Alamance",37,1,"North Carolina"
"37185",361.278948,270.0277242,"Warren",37,185,"North Carolina"
"37103",483.2695148,521.1942814,"Jones",37,103,"North Carolina"
"37171",191.044777,143.8313624,"Surry",37,171,"North Carolina"
"37135",30.1461347,24.54332927,"Orange",37,135,"North Carolina"
"37065",328.9321329,82.77367592,"Edgecombe",37,65,"North Carolina"
"37111",250.0070132,300.5474971,"McDowell",37,111,"North Carolina"
"37025",60.1431748,59.07620226,"Cabarrus",37,25,"North Carolina"
"37071",137.2375952,209.1562684,"Gaston",37,71,"North Carolina"
"37167",181.9365798,243.7752433,"Stanly",37,167,"North Carolina"
"37153",319.813907,395.7666334,"Richmond",37,153,"North Carolina"
"37009",243.7693969,319.6731695,"Ashe",37,9,"North Carolina"
"37077",217.2863439,169.4640749,"Granville",37,77,"North Carolina"
"37197",193.2793084,139.5552149,"Yadkin",37,197,"North Carolina"
"37169",227.554613,220.928803,"Stokes",37,169,"North Carolina"
"37075",397.1057058,301.4363106,"Graham",37,75,"North Carolina"
"37133",72.76164031,143.6989211,"Onslow",37,133,"North Carolina"
"37083",381.1875185,423.3213507,"Halifax",37,83,"North Carolina"
"37179",72.77792431,148.2642849,"Union",37,179,"North Carolina"
"37149",188.372753,300.3475656,"Polk",37,149,"North Carolina"
"37041",235.8554062,227.5865801,"Chowan",37,41,"North Carolina"
"37089",85.04366977,137.810082,"Henderson",37,89,"North Carolina"
"37159",195.385135,246.3112448,"Rowan",37,159,"North Carolina"
"37143",285.5317881,72.67502783,"Perquimans",37,143,"North Carolina"
"37183",56.2787365,37.9310329,"Wake",37,183,"North Carolina"
"37027",231.8371975,397.272647,"Caldwell",37,27,"North Carolina"
"37005",82.92957938,178.9945061,"Alleghany",37,5,"North Carolina"
"37195",304.8824101,355.0911409,"Wilson",37,195,"North Carolina"
"37031",77.3826342,272.1563791,"Carteret",37,31,"North Carolina"
"37045",234.115575,165.6707758,"Cleveland",37,45,"North Carolina"
"37113",132.9867154,290.1097013,"Macon",37,113,"North Carolina"
"37057",188.9746918,254.1591208,"Davidson",37,57,"North Carolina"
"37061",492.9345958,583.2199639,"Duplin",37,61,"North Carolina"
"37059",75.62379476,162.3914824,"Davie",37,59,"North Carolina"
"37029",207.9032049,76.37551116,"Camden",37,29,"North Carolina"
"37187",356.4599457,479.2002961,"Washington",37,187,"North Carolina"
"37039",21.03341662,393.9203956,"Cherokee",37,39,"North Carolina"
"37069",84.01343798,98.59322721,"Franklin",37,69,"North Carolina"
"37121",112.2470111,171.6742167,"Mitchell",37,121,"North Carolina"
"37157",271.7845376,324.2785768,"Rockingham",37,157,"North Carolina"
"37079",193.0127046,261.9951024,"Greene",37,79,"North Carolina"
"37017",404.4330673,636.6882394,"Bladen",37,17,"North Carolina"
"37107",273.4305889,373.3082387,"Lenoir",37,107,"North Carolina"
"37043",-263.5077275,198.1498841,"Clay",37,43,"North Carolina"
"37145",195.8064657,163.770288,"Person",37,145,"North Carolina"
"37131",701.2112266,477.7510438,"Northampton",37,131,"North Carolina"
"37003",343.9612271,556.1039359,"Alexander",37,3,"North Carolina"
"37175",56.36180118,246.488528,"Transylvania",37,175,"North Carolina"
"37137",28.16055568,203.1357564,"Pamlico",37,137,"North Carolina"
"37013",219.318735,207.8726737,"Beaufort",37,13,"North Carolina"
"37109",161.2905692,158.4806772,"Lincoln",37,109,"North Carolina"
"37141",138.2261042,210.3479065,"Pender",37,141,"North Carolina"
"37181",381.9466153,257.9153488,"Vance",37,181,"North Carolina"
"37087",212.6571912,169.3274668,"Haywood",37,87,"North Carolina"
"37007",253.9812706,577.7446023,"Anson",37,7,"North Carolina"
"37099",117.6753488,108.2484444,"Jackson",37,99,"North Carolina"
"37081",97.59008446,165.7000899,"Guilford",37,81,"North Carolina"
"37139",209.6907501,201.1812653,"Pasquotank",37,139,"North Carolina"
"37051",132.3437067,243.8485342,"Cumberland",37,51,"North Carolina"
"37097",123.1592899,132.051465,"Iredell",37,97,"North Carolina"
"37015",408.5776336,406.7873102,"Bertie",37,15,"North Carolina"
"37011",-1.266581046,92.05582189,"Avery",37,11,"North Carolina"
"37063",76.68348764,-0.389842957,"Durham",37,63,"North Carolina"
"37019",176.5552781,258.0732392,"Brunswick",37,19,"North Carolina"
"37095",-12.31752924,-191.4301763,"Hyde",37,95,"North Carolina"
"37085",170.004402,244.7312197,"Harnett",37,85,"North Carolina"
"37037",126.1712563,34.48318858,"Chatham",37,37,"North Carolina"
"37193",251.2997792,328.7442504,"Wilkes",37,193,"North Carolina"
"37101",66.47685941,137.2254831,"Johnston",37,101,"North Carolina"
"37023",214.2459641,306.4459284,"Burke",37,23,"North Carolina"
"37049",230.0082636,154.2042843,"Craven",37,49,"North Carolina"
"37151",181.9743328,268.3513714,"Randolph",37,151,"North Carolina"
"37053",233.0355059,187.1542189,"Currituck",37,53,"North Carolina"
"37073",233.8298997,355.7203932,"Gates",37,73,"North Carolina"
"37033",215.0872716,303.7905892,"Caswell",37,33,"North Carolina"
"37161",326.0145996,391.2402454,"Rutherford",37,161,"North Carolina"
"37129",141.4688131,126.5257231,"New Hanover",37,129,"North Carolina"
"37105",214.5842187,194.6619341,"Lee",37,105,"North Carolina"
"37123",288.4079809,369.1860214,"Montgomery",37,123,"North Carolina"
"37125",134.6898266,128.9614188,"Moore",37,125,"North Carolina"
"37163",181.6908677,359.9766097,"Sampson",37,163,"North Carolina"
"37191",279.7756188,200.7609102,"Wayne",37,191,"North Carolina"
"37091",551.8209932,196.7934037,"Hertford",37,91,"North Carolina"
"37173",323.2759811,251.8065625,"Swain",37,173,"North Carolina"
"37177",104.827392,158.4417017,"Tyrrell",37,177,"North Carolina"
"37117",475.2305803,353.3003937,"Martin",37,117,"North Carolina"
"37119",106.7819939,92.77636313,"Mecklenburg",37,119,"North Carolina"
"37093",257.8831528,237.6429994,"Hoke",37,93,"North Carolina"
"37035",187.9321612,329.05314,"Catawba",37,35,"North Carolina"
"37047",477.2270222,488.6510822,"Columbus",37,47,"North Carolina"
"37021",65.89821904,68.42393999,"Buncombe",37,21,"North Carolina"
"37055",32.29875149,52.91439262,"Dare",37,55,"North Carolina"
"37067",105.8683687,114.1986071,"Forsyth",37,67,"North Carolina"
"37115",99.02599663,103.9157201,"Madison",37,115,"North Carolina"
"37199",177.2237287,262.9678599,"Yancey",37,199,"North Carolina"
"37147",222.0390961,196.0154726,"Pitt",37,147,"North Carolina"
"37155",452.1590054,528.7976062,"Robeson",37,155,"North Carolina"
"37189",117.5428958,134.742391,"Watauga",37,189,"North Carolina"
