"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"38075",351.031154014919,397.000441111601,"Renville",38,75,"North Dakota"
"38013",275.608635737253,231.160425335183,"Burke",38,13,"North Dakota"
"38031",565.307944064267,326.603325415677,"Foster",38,31,"North Dakota"
"38065",212.879191059074,-53.4188034188034,"Oliver",38,65,"North Dakota"
"38063",772.849462365591,328.407224958949,"Nelson",38,63,"North Dakota"
"38045",318.940137389598,-98.3284169124877,"LaMoure",38,45,"North Dakota"
"38069",402.921178544447,328.697850821745,"Pierce",38,69,"North Dakota"
"38103",611.309220580744,408.997955010225,"Wells",38,103,"North Dakota"
"38089",110.82157726061,87.4626775643152,"Stark",38,89,"North Dakota"
"38071",242.487226119338,-103.71650821089,"Ramsey",38,71,"North Dakota"
"38019",216.450216450216,409.053722388874,"Cavalier",38,19,"North Dakota"
"38051",997.605746209098,318.344608038201,"McIntosh",38,51,"North Dakota"
"38047",744.68085106383,690.387679235263,"Logan",38,47,"North Dakota"
"38003",259.95729273048,231.267345050879,"Barnes",38,3,"North Dakota"
"38081",25.9336099585062,234.925606891151,"Sargent",38,81,"North Dakota"
"38093",177.470577246404,-60.271686216329,"Stutsman",38,93,"North Dakota"
"38083",870.253164556962,473.559589581689,"Sheridan",38,83,"North Dakota"
"38079",489.645207898539,621.632822213013,"Rolette",38,79,"North Dakota"
"38015",220.118415555035,133.515399787589,"Burleigh",38,15,"North Dakota"
"38023",0.0,685.244403837369,"Divide",38,23,"North Dakota"
"38017",105.598908269748,83.7291683439337,"Cass",38,17,"North Dakota"
"38097",125.219133483596,-150.018752344043,"Traill",38,97,"North Dakota"
"38001",456.204379562044,783.410138248848,"Adams",38,1,"North Dakota"
"38029",733.048259010385,519.40116101436,"Emmons",38,29,"North Dakota"
"38101",326.32759265116,172.005087881591,"Ward",38,101,"North Dakota"
"38021",830.463844439943,305.748063595597,"Dickey",38,21,"North Dakota"
"38091",55.1571980143409,553.097345132743,"Steele",38,91,"North Dakota"
"38027",905.172413793103,1113.01369863014,"Eddy",38,27,"North Dakota"
"38087",-141.242937853107,0.0,"Slope",38,87,"North Dakota"
"38033",172.512938470385,56.6893424036281,"Golden Valley",38,33,"North Dakota"
"38105",-148.525880634701,-25.7247961309907,"Williams",38,105,"North Dakota"
"38067",132.15859030837,118.063754427391,"Pembina",38,67,"North Dakota"
"38099",9.50299344293452,-229.095074455899,"Walsh",38,99,"North Dakota"
"38053",-319.923762848002,-336.820983230615,"McKenzie",38,53,"North Dakota"
"38085",560.795309711955,345.836658685821,"Sioux",38,85,"North Dakota"
"38005",741.717488050107,686.106346483705,"Benson",38,5,"North Dakota"
"38035",52.3921136081621,21.9910111741826,"Grand Forks",38,35,"North Dakota"
"38049",725.311511995537,228.136882129278,"McHenry",38,49,"North Dakota"
"38055",82.397775260068,-40.8621922566146,"McLean",38,55,"North Dakota"
"38025",-217.338807051437,49.4437577255871,"Dunn",38,25,"North Dakota"
"38077",-72.8199526670308,-271.82120205376,"Richland",38,77,"North Dakota"
"38009",-109.959158027019,-109.580463368817,"Bottineau",38,9,"North Dakota"
"38059",157.261235105546,122.132856717307,"Morton",38,59,"North Dakota"
"38061",152.22244773696,-62.4739691795085,"Mountrail",38,61,"North Dakota"
"38095",980.392156862745,560.747663551402,"Towner",38,95,"North Dakota"
"38007",-642.398286937902,-315.126050420168,"Billings",38,7,"North Dakota"
"38039",657.030223390276,306.614104248795,"Griggs",38,39,"North Dakota"
"38043",292.031706299541,337.410375369043,"Kidder",38,43,"North Dakota"
"38073",337.53775093267,88.0436696601514,"Ransom",38,73,"North Dakota"
"38011",536.732640053673,171.585449553878,"Bowman",38,11,"North Dakota"
"38037",1050.7880910683,949.503668536901,"Grant",38,37,"North Dakota"
"38041",403.877221324717,0.0,"Hettinger",38,41,"North Dakota"
"38057",-216.5022853019,108.121095627102,"Mercer",38,57,"North Dakota"
