"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"40101",307.039328125706,362.066880328959,"Muskogee",40,101,"Oklahoma"
"40033",738.472622478386,728.730187648023,"Cotton",40,33,"Oklahoma"
"40119",82.0605778534423,219.086792544946,"Payne",40,119,"Oklahoma"
"40035",233.413495543924,169.971671388102,"Craig",40,35,"Oklahoma"
"40139",-66.4010624169987,-234.158463155883,"Texas",40,139,"Oklahoma"
"40081",246.137421784645,307.910942681194,"Lincoln",40,81,"Oklahoma"
"40103",127.935666636206,274.524158125915,"Noble",40,103,"Oklahoma"
"40043",596.816976127321,858.951175406872,"Dewey",40,43,"Oklahoma"
"40077",-94.3198490882415,201.441899915182,"Latimer",40,77,"Oklahoma"
"40131",170.409719665492,194.830766679794,"Rogers",40,131,"Oklahoma"
"40001",453.972257250946,530.544967549191,"Adair",40,1,"Oklahoma"
"40027",120.539609994941,138.549334660537,"Cleveland",40,27,"Oklahoma"
"40049",450.936560548832,434.479013111956,"Garvin",40,49,"Oklahoma"
"40071",330.434383533353,221.947647812557,"Kay",40,71,"Oklahoma"
"40019",399.334442595674,335.758254057079,"Carter",40,19,"Oklahoma"
"40059",754.603078780561,407.395800689439,"Harper",40,59,"Oklahoma"
"40069",318.778979907264,252.697055107396,"Johnston",40,69,"Oklahoma"
"40067",717.703349282297,497.97122832903,"Jefferson",40,67,"Oklahoma"
"40073",176.863618498624,46.0647538826007,"Kingfisher",40,73,"Oklahoma"
"40047",211.650392034249,301.471892179464,"Garfield",40,47,"Oklahoma"
"40109",209.726283687872,178.73515132993,"Oklahoma (county)",40,109,"Oklahoma"
"40011",386.188096319855,652.37651444548,"Blaine",40,11,"Oklahoma"
"40083",76.6020924466305,159.712911112864,"Logan",40,83,"Oklahoma"
"40133",444.293995684001,373.546141438153,"Seminole",40,133,"Oklahoma"
"40021",305.965267666857,277.620039119187,"Cherokee",40,21,"Oklahoma"
"40057",884.955752212389,824.742268041237,"Harmon",40,57,"Oklahoma"
"40097",213.317080603383,459.82884148678,"Mayes",40,97,"Oklahoma"
"40095",467.888732213819,469.242141801118,"Marshall",40,95,"Oklahoma"
"40127",480.014769685221,795.412504624491,"Pushmataha",40,127,"Oklahoma"
"40153",245.941957697983,276.802926202363,"Woodward",40,153,"Oklahoma"
"40017",106.023692589298,71.1940706842092,"Canadian",40,17,"Oklahoma"
"40039",326.694066814206,124.109074146307,"Custer",40,39,"Oklahoma"
"40031",244.968657208842,267.373100297719,"Comanche",40,31,"Oklahoma"
"40025",0.0,665.483584738243,"Cimarron",40,25,"Oklahoma"
"40107",326.336214499912,116.040346335803,"Okfuskee",40,107,"Oklahoma"
"40075",552.031947380785,285.001781261133,"Kiowa",40,75,"Oklahoma"
"40003",315.457413249211,-87.5656742556918,"Alfalfa",40,3,"Oklahoma"
"40113",202.53054291252,343.041929774729,"Osage",40,113,"Oklahoma"
"40145",177.54812166332,284.484819507531,"Wagoner",40,145,"Oklahoma"
"40051",338.071176705805,286.977709592997,"Grady",40,51,"Oklahoma"
"40151",162.488393686165,-81.547064305685,"Woods",40,151,"Oklahoma"
"40007",257.323832145685,300.902708124373,"Beaver",40,7,"Oklahoma"
"40061",264.550264550265,370.881490426082,"Haskell",40,61,"Oklahoma"
"40015",545.944151388838,321.494761526533,"Caddo",40,15,"Oklahoma"
"40105",276.096421365615,301.010535368738,"Nowata",40,105,"Oklahoma"
"40123",278.025494413261,356.4875491481,"Pontotoc",40,123,"Oklahoma"
"40029",884.622623753059,341.167551175133,"Coal",40,29,"Oklahoma"
"40135",456.805390808369,471.232043778977,"Sequoyah",40,135,"Oklahoma"
"40085",192.004726270185,205.78147966683,"Love",40,85,"Oklahoma"
"40129",783.289817232376,265.330188679245,"Roger Mills",40,129,"Oklahoma"
"40079",326.37210551321,322.140998637096,"Le Flore",40,79,"Oklahoma"
"40037",161.690502076887,268.085342815868,"Creek",40,37,"Oklahoma"
"40143",185.829907983498,195.029027576197,"Tulsa",40,143,"Oklahoma"
"40053",764.270360640076,483.558994197292,"Grant",40,53,"Oklahoma"
"40125",263.30663505149,333.173373551793,"Pottawatomie",40,125,"Oklahoma"
"40121",343.178750371777,332.210690310903,"Pittsburg",40,121,"Oklahoma"
"40149",201.649862511457,274.901493631449,"Washita",40,149,"Oklahoma"
"40041",440.711994711456,545.072350410637,"Delaware",40,41,"Oklahoma"
"40045",451.647183846971,212.765957446809,"Ellis",40,45,"Oklahoma"
"40005",276.086648732833,125.856523563138,"Atoka",40,5,"Oklahoma"
"40065",267.29305038069,189.745660072669,"Jackson",40,65,"Oklahoma"
"40137",291.606401343722,227.515438547616,"Stephens",40,137,"Oklahoma"
"40055",362.38448994383,728.995808274102,"Greer",40,55,"Oklahoma"
"40087",114.698081196683,54.3001062895698,"McClain",40,87,"Oklahoma"
"40111",427.604871447903,459.002145631332,"Okmulgee",40,111,"Oklahoma"
"40117",439.882697947214,318.228105906314,"Pawnee",40,117,"Oklahoma"
"40013",283.018867924528,334.134973503309,"Bryan",40,13,"Oklahoma"
"40023",497.442724024382,587.782520467427,"Choctaw",40,23,"Oklahoma"
"40063",217.587034813926,291.153415453527,"Hughes",40,63,"Oklahoma"
"40091",508.598993288591,453.1014009687,"McIntosh",40,91,"Oklahoma"
"40147",146.733744950072,219.92188981155,"Washington",40,147,"Oklahoma"
"40115",253.589777367936,405.659443949738,"Ottawa",40,115,"Oklahoma"
"40093",233.039875712066,234.375,"Major",40,93,"Oklahoma"
"40089",601.634386461618,691.609977324263,"McCurtain",40,89,"Oklahoma"
"40141",655.924711250535,439.217908756022,"Tillman",40,141,"Oklahoma"
"40009",301.706669068312,264.909659013721,"Beckham",40,9,"Oklahoma"
"40099",259.291270527226,400.291120815138,"Murray",40,99,"Oklahoma"
