"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"41053",52.63816057,62.77184913,"Polk",41,53,"Oregon"
"41067",46.81226436,79.98729596,"Washington",41,67,"Oregon"
"41029",85.0964238,169.0222963,"Jackson",41,29,"Oregon"
"41049",192.6222865,222.7188002,"Morrow",41,49,"Oregon"
"41057",160.780022,308.0118728,"Tillamook",41,57,"Oregon"
"41055",-44.35601167,278.3013784,"Sherman",41,55,"Oregon"
"41011",-11.25336558,286.51858,"Coos",41,11,"Oregon"
"41035",104.4810697,266.2847334,"Klamath",41,35,"Oregon"
"41047",83.11302556,128.2750304,"Marion",41,47,"Oregon"
"41009",101.5987966,249.561303,"Columbia",41,9,"Oregon"
"41015",293.6763289,431.2055484,"Curry",41,15,"Oregon"
"41025",40.4377092,403.2296847,"Harney",41,25,"Oregon"
"41063",-260.4803358,96.94116797,"Wallowa",41,63,"Oregon"
"41071",61.64120193,215.2730186,"Yamhill",41,71,"Oregon"
"41065",78.1924386,130.9848576,"Wasco",41,65,"Oregon"
"41041",127.4345343,138.9955187,"Lincoln",41,41,"Oregon"
"41013",-163.41373,51.66855739,"Crook",41,13,"Oregon"
"41003",-19.32346873,95.71635908,"Benton",41,3,"Oregon"
"41045",219.062258,193.0060086,"Malheur",41,45,"Oregon"
"41059",174.5058698,189.7626666,"Umatilla",41,59,"Oregon"
"41031",439.5836418,403.8126707,"Jefferson",41,31,"Oregon"
"41017",-20.77032725,54.40715858,"Deschutes",41,17,"Oregon"
"41037",166.6820314,437.4924841,"Lake",41,37,"Oregon"
"41001",132.963956,254.9074302,"Baker",41,1,"Oregon"
"41019",128.3058141,408.9772537,"Douglas",41,19,"Oregon"
"41069",120.3221592,131.4301088,"Wheeler",41,69,"Oregon"
"41039",59.60909802,161.2653554,"Lane",41,39,"Oregon"
"41043",85.96080946,235.8512983,"Linn",41,43,"Oregon"
"41061",21.55393169,293.09543,"Union",41,61,"Oregon"
"41005",56.7156493,76.95192606,"Clackamas",41,5,"Oregon"
"41033",59.61359566,315.0422681,"Josephine",41,33,"Oregon"
"41023",125.3329274,276.15027,"Grant",41,23,"Oregon"
"41051",69.47000368,101.2263611,"Multnomah",41,51,"Oregon"
"41007",-7.091730757,260.3684349,"Clatsop",41,7,"Oregon"
"41021",-239.619095,747.3595368,"Gilliam",41,21,"Oregon"
"41027",-48.52133692,-17.1323083,"Hood River",41,27,"Oregon"
