"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"42011",128.1980998,129.122929,"Berks",42,11,"Pennsylvania"
"42067",442.9202913,438.2134295,"Juniata",42,67,"Pennsylvania"
"42061",254.7217421,253.8207689,"Huntingdon",42,61,"Pennsylvania"
"42007",170.2805403,98.64343683,"Beaver",42,7,"Pennsylvania"
"42117",196.0223524,266.940495,"Tioga",42,117,"Pennsylvania"
"42057",2.485277278,412.7357747,"Fulton",42,57,"Pennsylvania"
"42085",212.5490232,286.9116851,"Mercer",42,85,"Pennsylvania"
"42019",123.7395958,122.1323684,"Butler",42,19,"Pennsylvania"
"42123",269.4617647,472.6480913,"Warren",42,123,"Pennsylvania"
"42113",172.2241807,569.653026,"Sullivan",42,113,"Pennsylvania"
"42075",169.260918,177.7189037,"Lebanon",42,75,"Pennsylvania"
"42125",60.30645139,140.9123235,"Washington",42,125,"Pennsylvania"
"42027",167.5440491,127.5876204,"Centre",42,27,"Pennsylvania"
"42031",352.7687486,491.5208058,"Clarion",42,31,"Pennsylvania"
"42039",121.5805784,238.3415285,"Crawford",42,39,"Pennsylvania"
"42053",277.0961471,302.847518,"Forest",42,53,"Pennsylvania"
"42079",157.9402445,76.99177077,"Luzerne",42,79,"Pennsylvania"
"42093",133.622,71.36999158,"Montour",42,93,"Pennsylvania"
"42049",144.8211026,146.5445226,"Erie",42,49,"Pennsylvania"
"42069",112.340423,41.00081746,"Lackawanna",42,69,"Pennsylvania"
"42121",232.1333458,432.5573771,"Venango",42,121,"Pennsylvania"
"42131",41.21162421,248.8941866,"Wyoming",42,131,"Pennsylvania"
"42035",79.15012723,173.7318363,"Clinton",42,35,"Pennsylvania"
"42021",226.5466061,100.7681076,"Cambria",42,21,"Pennsylvania"
"42129",126.7014608,141.2765935,"Westmoreland",42,129,"Pennsylvania"
"42005",105.9193782,331.5437284,"Armstrong",42,5,"Pennsylvania"
"42127",181.136371,387.4506613,"Wayne",42,127,"Pennsylvania"
"42043",143.6804944,140.8658132,"Dauphin",42,43,"Pennsylvania"
"42097",353.6483082,101.5013652,"Northumberland",42,97,"Pennsylvania"
"42099",166.120235,232.3163187,"Perry",42,99,"Pennsylvania"
"42119",233.9911622,251.2670862,"Union",42,119,"Pennsylvania"
"42047",-66.04686284,195.0729677,"Elk",42,47,"Pennsylvania"
"42063",251.1949463,224.4261732,"Indiana",42,63,"Pennsylvania"
"42065",138.5493875,176.2189389,"Jefferson",42,65,"Pennsylvania"
"42017",132.2065846,52.68767171,"Bucks",42,17,"Pennsylvania"
"42051",160.9026293,382.0196838,"Fayette",42,51,"Pennsylvania"
"42115",219.738692,253.4468875,"Susquehanna",42,115,"Pennsylvania"
"42013",254.9315072,189.2829659,"Blair",42,13,"Pennsylvania"
"42055",259.0034919,233.7243063,"Franklin",42,55,"Pennsylvania"
"42037",123.9537068,222.6368289,"Columbia",42,37,"Pennsylvania"
"42095",142.7856774,87.80103992,"Northampton",42,95,"Pennsylvania"
"42025",263.9846888,240.343568,"Carbon",42,25,"Pennsylvania"
"42081",181.2409478,195.5603467,"Lycoming",42,81,"Pennsylvania"
"42111",204.2194095,253.5725094,"Somerset",42,111,"Pennsylvania"
"42103",99.42096263,145.5927497,"Pike",42,103,"Pennsylvania"
"42003",94.19354239,63.37353629,"Allegheny",42,3,"Pennsylvania"
"42107",226.7210673,83.19777877,"Schuylkill",42,107,"Pennsylvania"
"42071",169.3424614,86.74244884,"Lancaster",42,71,"Pennsylvania"
"42091",125.1288613,5.307586979,"Montgomery",42,91,"Pennsylvania"
"42001",102.9001636,115.1412061,"Adams",42,1,"Pennsylvania"
"42009",392.3406077,267.142558,"Bedford",42,9,"Pennsylvania"
"42015",9.28672569,202.4215742,"Bradford",42,15,"Pennsylvania"
"42023",112.801696,283.9514318,"Cameron",42,23,"Pennsylvania"
"42045",171.1385819,16.61437693,"Delaware",42,45,"Pennsylvania"
"42089",184.28657,135.1779123,"Monroe",42,89,"Pennsylvania"
"42059",88.51493972,244.5351868,"Greene",42,59,"Pennsylvania"
"42073",312.2439045,207.1482894,"Lawrence",42,73,"Pennsylvania"
"42077",140.0303201,87.86041636,"Lehigh",42,77,"Pennsylvania"
"42083",27.28221368,258.4391717,"McKean",42,83,"Pennsylvania"
"42087",364.3932911,171.3669157,"Mifflin",42,87,"Pennsylvania"
"42033",77.79097521,275.1596132,"Clearfield",42,33,"Pennsylvania"
"42029",90.68498544,7.314592801,"Chester",42,29,"Pennsylvania"
"42041",121.8845528,76.16149638,"Cumberland",42,41,"Pennsylvania"
"42105",54.00403223,478.4712629,"Potter",42,105,"Pennsylvania"
"42101",248.0689143,99.22426084,"Philadelphia",42,101,"Pennsylvania"
"42109",171.825983,153.9312986,"Snyder",42,109,"Pennsylvania"
"42133",154.3017198,165.3243386,"York",42,133,"Pennsylvania"
