"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"45091",129.9385267,149.1726325,"York",45,91,"South Carolina"
"45035",158.7185819,184.3807482,"Dorchester",45,35,"South Carolina"
"45081",620.7102361,434.2900857,"Saluda",45,81,"South Carolina"
"45087",356.1929158,437.666257,"Union",45,87,"South Carolina"
"45001",193.5445028,393.9553825,"Abbeville",45,1,"South Carolina"
"45011",446.1820756,228.5430031,"Barnwell",45,11,"South Carolina"
"45017",368.3099913,369.3950984,"Calhoun",45,17,"South Carolina"
"45025",455.3833841,387.2221607,"Chesterfield",45,25,"South Carolina"
"45037",363.3903145,476.4593408,"Edgefield",45,37,"South Carolina"
"45089",437.0388152,347.8758009,"Williamsburg",45,89,"South Carolina"
"45021",253.712368,446.4529882,"Cherokee",45,21,"South Carolina"
"45067",525.0019322,366.0028972,"Marion",45,67,"South Carolina"
"45005",411.7265397,572.7277574,"Allendale",45,5,"South Carolina"
"45055",215.9967366,372.3373315,"Kershaw",45,55,"South Carolina"
"45061",469.9156939,312.6018385,"Lee",45,61,"South Carolina"
"45009",405.7073016,321.4144729,"Bamberg",45,9,"South Carolina"
"45003",265.7618563,341.2628495,"Aiken",45,3,"South Carolina"
"45077",193.1481229,247.5161055,"Pickens",45,77,"South Carolina"
"45019",120.2825647,69.28612727,"Charleston",45,19,"South Carolina"
"45059",188.4520692,312.5657538,"Laurens",45,59,"South Carolina"
"45073",103.9923907,263.4624997,"Oconee",45,73,"South Carolina"
"45027",684.6367382,553.6396843,"Clarendon",45,27,"South Carolina"
"45023",405.7227472,307.8010529,"Chester",45,23,"South Carolina"
"45053",171.2172197,321.1710368,"Jasper",45,53,"South Carolina"
"45085",296.1406916,325.2276796,"Sumter",45,85,"South Carolina"
"45083",190.9620629,234.5997693,"Spartanburg",45,83,"South Carolina"
"45013",163.5574212,202.1725251,"Beaufort",45,13,"South Carolina"
"45069",253.0543563,349.0574167,"Marlboro",45,69,"South Carolina"
"45043",374.6897455,326.1631043,"Georgetown",45,43,"South Carolina"
"45007",293.1017543,303.690602,"Anderson",45,7,"South Carolina"
"45057",187.3100942,269.1087827,"Lancaster",45,57,"South Carolina"
"45065",-24.53778363,84.32429277,"McCormick",45,65,"South Carolina"
"45015",112.7620802,160.501396,"Berkeley",45,15,"South Carolina"
"45047",260.4738153,246.171767,"Greenwood",45,47,"South Carolina"
"45031",357.3807003,413.3730884,"Darlington",45,31,"South Carolina"
"45039",528.340289,510.2107597,"Fairfield",45,39,"South Carolina"
"45049",329.3378137,290.6045694,"Hampton",45,49,"South Carolina"
"45051",248.0218076,309.8247792,"Horry",45,51,"South Carolina"
"45063",169.4291511,183.7636107,"Lexington",45,63,"South Carolina"
"45075",389.8817073,418.5117766,"Orangeburg",45,75,"South Carolina"
"45079",172.4633711,160.1659736,"Richland",45,79,"South Carolina"
"45071",391.7707009,310.1800296,"Newberry",45,71,"South Carolina"
"45033",659.4205666,478.7172056,"Dillon",45,33,"South Carolina"
"45045",153.3883691,183.7279435,"Greenville",45,45,"South Carolina"
"45029",261.1445074,380.4112532,"Colleton",45,29,"South Carolina"
"45041",379.8638904,325.7389921,"Florence",45,41,"South Carolina"
