"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"47171",267.1920655,389.7982068,"Unicoi",47,171,"Tennessee"
"47051",308.0281629,264.4645737,"Franklin",47,51,"Tennessee"
"47127",164.9205899,314.1233205,"Moore",47,127,"Tennessee"
"47125",119.4843518,144.3438457,"Montgomery",47,125,"Tennessee"
"47047",237.8180651,225.8890846,"Fayette",47,47,"Tennessee"
"47067",154.3065733,289.4057578,"Hancock",47,67,"Tennessee"
"47021",175.016346,249.9766863,"Cheatham",47,21,"Tennessee"
"47041",350.0331788,345.8535596,"DeKalb",47,41,"Tennessee"
"47129",73.35405413,330.8638564,"Morgan",47,129,"Tennessee"
"47015",183.9068635,150.0713458,"Cannon",47,15,"Tennessee"
"47027",652.0988588,291.4339231,"Clay",47,27,"Tennessee"
"47133",397.6392576,329.3878244,"Overton",47,133,"Tennessee"
"47149",130.8881612,131.1798437,"Rutherford",47,149,"Tennessee"
"47017",390.4824055,129.7965007,"Carroll",47,17,"Tennessee"
"47043",108.7548313,240.8629665,"Dickson",47,43,"Tennessee"
"47077",314.9494105,280.5169408,"Henderson",47,77,"Tennessee"
"47083",380.1977212,188.1610441,"Houston",47,83,"Tennessee"
"47093",140.8704143,172.2579273,"Knox",47,93,"Tennessee"
"47101",179.2290767,279.761713,"Lewis",47,101,"Tennessee"
"47135",44.7930501,114.8524584,"Perry",47,135,"Tennessee"
"47161",57.29483336,153.5237531,"Stewart",47,161,"Tennessee"
"47107",242.8600981,379.5883439,"McMinn",47,107,"Tennessee"
"47045",410.3537667,351.0464196,"Dyer",47,45,"Tennessee"
"47061",146.2037593,192.4190436,"Grundy",47,61,"Tennessee"
"47173",321.9200875,553.3955227,"Union",47,173,"Tennessee"
"47183",154.442843,241.934602,"Weakley",47,183,"Tennessee"
"47141",284.397627,167.3059595,"Putnam",47,141,"Tennessee"
"47087",243.2999184,23.55130387,"Jackson",47,87,"Tennessee"
"47177",201.9989273,191.6096485,"Warren",47,177,"Tennessee"
"47163",256.0350738,296.6520103,"Sullivan",47,163,"Tennessee"
"47075",272.7115208,303.3565377,"Haywood",47,75,"Tennessee"
"47153",76.77473391,217.4284675,"Sequatchie",47,153,"Tennessee"
"47031",134.8385497,220.1641632,"Coffee",47,31,"Tennessee"
"47007",69.04506715,62.89121978,"Bledsoe",47,7,"Tennessee"
"47113",265.8099897,184.6874109,"Madison",47,113,"Tennessee"
"47187",65.44013197,28.31650722,"Williamson",47,187,"Tennessee"
"47115",189.1265692,329.8385453,"Marion",47,115,"Tennessee"
"47063",362.8964785,462.0077587,"Hamblen",47,63,"Tennessee"
"47049",330.1438802,555.5557519,"Fentress",47,49,"Tennessee"
"47119",17.62568466,72.19540025,"Maury",47,119,"Tennessee"
"47011",246.9533972,357.2364982,"Bradley",47,11,"Tennessee"
"47013",131.6271235,411.8370412,"Campbell",47,13,"Tennessee"
"47005",372.2989231,440.8157158,"Benton",47,5,"Tennessee"
"47167",155.9965268,277.3145834,"Tipton",47,167,"Tennessee"
"47121",-57.4320883,68.96624779,"Meigs",47,121,"Tennessee"
"47181",148.4245261,292.7111158,"Wayne",47,181,"Tennessee"
"47109",349.7898442,239.7370507,"McNairy",47,109,"Tennessee"
"47033",351.5579082,49.58832448,"Crockett",47,33,"Tennessee"
"47179",219.0871157,224.1036514,"Washington",47,179,"Tennessee"
"47189",192.7573455,162.6140033,"Wilson",47,189,"Tennessee"
"47157",256.3937293,421.8398794,"Shelby",47,157,"Tennessee"
"47073",271.3880411,440.0050315,"Hawkins",47,73,"Tennessee"
"47081",356.3526774,264.4169125,"Hickman",47,81,"Tennessee"
"47023",193.654571,324.5768677,"Chester",47,23,"Tennessee"
"47057",375.3818379,317.8571254,"Grainger",47,57,"Tennessee"
"47159",198.0319985,294.4428646,"Smith",47,159,"Tennessee"
"47103",260.5118011,218.830919,"Lincoln",47,103,"Tennessee"
"47025",153.2210786,457.8436701,"Claiborne",47,25,"Tennessee"
"47175",-20.62752519,758.8123009,"Van Buren",47,175,"Tennessee"
"47065",128.8937152,157.8787808,"Hamilton",47,65,"Tennessee"
"47097",197.048902,182.331481,"Lauderdale",47,97,"Tennessee"
"47037",133.3566607,13.49189065,"Davidson",47,37,"Tennessee"
"47155",198.8017481,317.438872,"Sevier",47,155,"Tennessee"
"47089",168.2757476,346.9389044,"Jefferson",47,89,"Tennessee"
"47139",205.4254053,449.8770174,"Polk",47,139,"Tennessee"
"47001",100.4349092,270.1116572,"Anderson",47,1,"Tennessee"
"47143",258.0840221,340.3520392,"Rhea",47,143,"Tennessee"
"47095",220.8870508,524.0763344,"Lake",47,95,"Tennessee"
"47165",147.9384906,221.2839067,"Sumner",47,165,"Tennessee"
"47131",466.9248131,284.1754699,"Obion",47,131,"Tennessee"
"47009",117.6849409,235.0875257,"Blount",47,9,"Tennessee"
"47019",281.1063635,269.267179,"Carter",47,19,"Tennessee"
"47039",499.6925592,233.4117852,"Decatur",47,39,"Tennessee"
"47059",160.5543817,363.1559977,"Greene",47,59,"Tennessee"
"47071",253.4164799,382.4085527,"Hardin",47,71,"Tennessee"
"47145",203.141809,205.6921132,"Roane",47,145,"Tennessee"
"47085",114.5588747,390.7721095,"Humphreys",47,85,"Tennessee"
"47185",113.9287914,334.0376864,"White",47,185,"Tennessee"
"47055",279.8871109,338.0304165,"Giles",47,55,"Tennessee"
"47099",300.3968732,216.9766403,"Lawrence",47,99,"Tennessee"
"47123",232.9637639,402.5298013,"Monroe",47,123,"Tennessee"
"47069",348.6736746,259.6105221,"Hardeman",47,69,"Tennessee"
"47117",153.9665837,178.5053164,"Marshall",47,117,"Tennessee"
"47169",97.16186527,244.2086983,"Trousdale",47,169,"Tennessee"
"47003",152.5233465,212.3506837,"Bedford",47,3,"Tennessee"
"47091",225.938373,136.7712373,"Johnson",47,91,"Tennessee"
"47035",247.7167862,539.8592223,"Cumberland",47,35,"Tennessee"
"47053",304.5552458,368.0326358,"Gibson",47,53,"Tennessee"
"47147",265.9798643,275.3810553,"Robertson",47,147,"Tennessee"
"47105",8.649458062,156.838036,"Loudon",47,105,"Tennessee"
"47111",285.1660208,170.5654614,"Macon",47,111,"Tennessee"
"47029",367.6294641,470.9548291,"Cocke",47,29,"Tennessee"
"47137",376.3799675,38.81647537,"Pickett",47,137,"Tennessee"
"47079",268.6349752,242.6373665,"Henry",47,79,"Tennessee"
"47151",53.21827834,427.0996779,"Scott",47,151,"Tennessee"
