"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"48063",349.2820119,507.4168387,"Camp",48,63,"Texas"
"48087",587.2414887,225.9993513,"Collingsworth",48,87,"Texas"
"48259",132.2357902,87.6075371,"Kendall",48,259,"Texas"
"48123",237.0219328,104.1277072,"DeWitt",48,123,"Texas"
"48413",193.5310365,318.6777871,"Schleicher",48,413,"Texas"
"48033",-244.3488409,-1100.407813,"Borden",48,33,"Texas"
"48447",-260.932079,27.14748177,"Throckmorton",48,447,"Texas"
"48297",314.8641782,286.3745299,"Live Oak",48,297,"Texas"
"48049",480.1556817,302.8982444,"Brown",48,49,"Texas"
"48441",130.0548107,220.9808487,"Taylor",48,441,"Texas"
"48115",431.7490809,120.3146845,"Dawson",48,115,"Texas"
"48475",145.179329,12.47934487,"Ward",48,475,"Texas"
"48009",0.518161256,207.4104296,"Archer",48,9,"Texas"
"48359",325.6037845,284.0449993,"Oldham",48,359,"Texas"
"48003",68.14164308,78.74750082,"Andrews",48,3,"Texas"
"48369",466.8126559,209.031646,"Parmer",48,369,"Texas"
"48139",129.5966505,137.3038205,"Ellis",48,139,"Texas"
"48155",1099.873251,413.0116575,"Foard",48,155,"Texas"
"48075",190.6285014,144.6736449,"Childress",48,75,"Texas"
"48095",-32.4864332,-81.28047623,"Concho",48,95,"Texas"
"48109",517.5967682,418.0040393,"Culberson",48,109,"Texas"
"48117",229.3401676,255.6801039,"Deaf Smith",48,117,"Texas"
"48127",326.537983,901.4892504,"Dimmit",48,127,"Texas"
"48131",302.3617006,561.138251,"Duval",48,131,"Texas"
"48153",945.0286821,600.435874,"Floyd",48,153,"Texas"
"48255",183.3482092,76.58340115,"Karnes",48,255,"Texas"
"48161",354.3071988,120.321973,"Freestone",48,161,"Texas"
"48111",517.8284069,464.6836995,"Dallam",48,111,"Texas"
"48141",353.1177027,146.9292205,"El Paso",48,141,"Texas"
"48281",306.5072668,381.7672072,"Lampasas",48,281,"Texas"
"48021",20.59339059,74.16020573,"Bastrop",48,21,"Texas"
"48193",-151.4368374,201.518617,"Hamilton",48,193,"Texas"
"48197",1029.684591,49.67771394,"Hardeman",48,197,"Texas"
"48205",256.0421943,23.96987596,"Hartley",48,205,"Texas"
"48217",232.9711995,568.1012929,"Hill",48,217,"Texas"
"48271",534.9039805,505.682177,"Kinney",48,271,"Texas"
"48283",422.9262541,491.4426122,"La Salle",48,283,"Texas"
"48309",191.6874131,212.3154977,"McLennan",48,309,"Texas"
"48385",1187.291176,701.5036205,"Real",48,385,"Texas"
"48399",115.7603882,350.8034165,"Runnels",48,399,"Texas"
"48421",267.5951031,280.8445259,"Sherman",48,421,"Texas"
"48481",282.4770179,283.6801915,"Wharton",48,481,"Texas"
"48483",242.422857,586.4380585,"Wheeler",48,483,"Texas"
"48501",481.3525239,253.7889804,"Yoakum",48,501,"Texas"
"48503",403.885856,357.7433667,"Young",48,503,"Texas"
"48321",223.6408344,141.9782404,"Matagorda",48,321,"Texas"
