"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"50019",7.32225232481511,374.300457882114,"Orleans",50,19,"Vermont"
"50023",112.448181528288,81.7525067988054,"Washington",50,23,"Vermont"
"50017",13.6878486123943,10.1694915254237,"Orange",50,17,"Vermont"
"50001",42.9587864142838,131.490674896015,"Addison",50,1,"Vermont"
"50021",78.1652779856642,94.1044394182034,"Rutland",50,21,"Vermont"
"50015",119.857717290442,91.9716420770262,"Lamoille",50,15,"Vermont"
"50013",68.6530275985171,229.72972972973,"Grand Isle",50,13,"Vermont"
"50005",56.3660477453581,194.264265253037,"Caledonia",50,5,"Vermont"
"50011",48.0567069141587,57.6804503053086,"Franklin",50,11,"Vermont"
"50027",27.8925439743389,80.8616062211823,"Windsor",50,27,"Vermont"
"50009",285.906491759166,320.783386797231,"Essex",50,9,"Vermont"
"50025",-35.287371531913,32.5704607634516,"Windham",50,25,"Vermont"
"50003",2.70109664523797,152.790435854822,"Bennington",50,3,"Vermont"
"50007",36.3718755962603,42.658830081585,"Chittenden",50,7,"Vermont"
