"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"51103",74.08922925,87.00247227,"Lancaster",51,103,"Virginia"
"51690",-141.4349297,-326.081455,"Martinsville (city)",51,690,"Virginia"
"51109",86.7665088,252.3153831,"Louisa",51,109,"Virginia"
"51083",322.2661282,357.8846185,"Halifax",51,83,"Virginia"
"51183",-26.53696329,197.3656787,"Sussex",51,183,"Virginia"
"51033",109.6990015,212.2989159,"Caroline",51,33,"Virginia"
"51011",-69.51389927,-20.8677811,"Appomattox",51,11,"Virginia"
"51049",232.5569373,287.537853,"Cumberland",51,49,"Virginia"
"51105",382.4086412,525.5987449,"Lee",51,105,"Virginia"
"51111",17.79804329,106.3172263,"Lunenburg",51,111,"Virginia"
"51133",227.4604021,449.1000998,"Northumberland",51,133,"Virginia"
"51141",353.4759746,521.8361168,"Patrick",51,141,"Virginia"
"51191",328.3988396,441.0803267,"Washington",51,191,"Virginia"
"51197",228.3313967,304.1486235,"Wythe",51,197,"Virginia"
"51510",57.81185891,15.70958719,"Alexandria (city)",51,510,"Virginia"
"51590",163.3634096,336.3340533,"Danville (city)",51,590,"Virginia"
"51790",70.95271124,95.09839077,"Staunton (city)",51,790,"Virginia"
"51051",140.3050673,107.5119223,"Dickenson",51,51,"Virginia"
"51073",172.6661946,126.0475981,"Gloucester",51,73,"Virginia"
"51021",203.991934,223.5549955,"Bland",51,21,"Virginia"
"51101",24.27902502,197.8689239,"King William",51,101,"Virginia"
"51023",48.07598743,306.2326918,"Botetourt",51,23,"Virginia"
"51580",-186.9775695,-34.22515331,"Covington (city)",51,580,"Virginia"
"51810",77.37568846,139.1991487,"Virginia Beach (city)",51,810,"Virginia"
"51830",114.0416745,-22.59464496,"Williamsburg (city)",51,830,"Virginia"
"51740",186.084842,233.821932,"Portsmouth (city)",51,740,"Virginia"
"51800",194.6886063,215.7106261,"Suffolk (city)",51,800,"Virginia"
"51113",-103.188882,84.69599681,"Madison",51,113,"Virginia"
"51187",32.28480987,275.4090407,"Warren",51,187,"Virginia"
"51065",61.54887014,100.9651773,"Fluvanna",51,65,"Virginia"
"51067",251.2002756,324.3777162,"Franklin (county)",51,67,"Virginia"
"51775",220.1592633,108.4973642,"Salem (city)",51,775,"Virginia"
"51630",117.1260868,141.4116918,"Fredericksburg (city)",51,630,"Virginia"
"51061",49.13723135,125.8230385,"Fauquier",51,61,"Virginia"
"51029",197.3656208,246.4831645,"Buckingham",51,29,"Virginia"
"51013",104.2103941,22.21523778,"Arlington",51,13,"Virginia"
"51167",209.4783018,404.4534494,"Russell",51,167,"Virginia"
"51600",0.22686551,-146.5208041,"Fairfax (city)",51,600,"Virginia"
"51678",-112.5729122,-265.8731254,"Lexington (city)",51,678,"Virginia"
"51685",-30.95771326,13.78239507,"Manassas Park (city)",51,685,"Virginia"
"51165",211.0812688,267.9831743,"Rockingham",51,165,"Virginia"
"51770",290.8393977,201.3663207,"Roanoke (city)",51,770,"Virginia"
"51137",89.97248465,93.03213345,"Orange",51,137,"Virginia"
"51157",73.51908943,315.8879757,"Rappahannock",51,157,"Virginia"
"51047",38.50517772,135.6610737,"Culpeper",51,47,"Virginia"
"51043",61.71189124,40.01143323,"Clarke",51,43,"Virginia"
"51159",-0.915884183,11.25609185,"Richmond (county)",51,159,"Virginia"
"51660",72.01137739,89.91477247,"Harrisonburg (city)",51,660,"Virginia"
"51840",203.893044,182.879781,"Winchester (city)",51,840,"Virginia"
"51139",339.207381,205.1309793,"Page",51,139,"Virginia"
"51171",305.8063951,234.9045955,"Shenandoah",51,171,"Virginia"
