"FIPSCode","excCDR2020","excCDR2021","countyName","stateFIPS","countyFIPS","state"
"53023",7.532182504,100.8211099,"Garfield",53,23,"Washington"
"53063",71.80854824,126.871889,"Spokane",53,63,"Washington"
"53073",42.51316186,103.8751002,"Whatcom",53,73,"Washington"
"53001",1.320381649,93.78627287,"Adams",53,1,"Washington"
"53049",-153.9070616,180.9134726,"Pacific",53,49,"Washington"
"53043",18.09077227,163.5589531,"Lincoln",53,43,"Washington"
"53061",58.06505772,46.81845739,"Snohomish",53,61,"Washington"
"53015",31.26418457,258.4649465,"Cowlitz",53,15,"Washington"
"53059",37.27219511,22.34928655,"Skamania",53,59,"Washington"
"53057",59.87367438,176.2705425,"Skagit",53,57,"Washington"
"53005",128.266474,136.5402214,"Benton",53,5,"Washington"
"53075",100.065585,231.3268909,"Whitman",53,75,"Washington"
"53071",62.98603719,139.1866808,"Walla Walla",53,71,"Washington"
"53017",44.12810266,122.9209643,"Douglas",53,17,"Washington"
"53027",70.39466991,258.6468992,"Grays Harbor",53,27,"Washington"
"53047",80.88102784,208.3794061,"Okanogan",53,47,"Washington"
"53035",17.35763308,82.40931931,"Kitsap",53,35,"Washington"
"53019",292.4016175,695.0488136,"Ferry",53,19,"Washington"
"53037",89.24578754,107.4569032,"Kittitas",53,37,"Washington"
"53031",10.0589729,47.45492027,"Jefferson",53,31,"Washington"
"53029",21.27056443,63.8829665,"Island",53,29,"Washington"
"53039",-30.62393345,295.3810993,"Klickitat",53,39,"Washington"
"53013",132.057998,371.4018274,"Columbia",53,13,"Washington"
"53011",83.99240972,120.1465541,"Clark",53,11,"Washington"
"53003",260.4773264,106.0146229,"Asotin",53,3,"Washington"
"53021",109.1152543,89.55015984,"Franklin",53,21,"Washington"
"53025",115.8349466,148.3630471,"Grant",53,25,"Washington"
"53033",28.35390347,33.55270599,"King",53,33,"Washington"
"53053",22.96103581,83.41344664,"Pierce",53,53,"Washington"
"53009",34.52815531,191.9827335,"Clallam",53,9,"Washington"
"53045",33.63421577,184.3176229,"Mason",53,45,"Washington"
"53007",55.61739956,86.7577351,"Chelan",53,7,"Washington"
"53051",29.60979413,442.9728305,"Pend Oreille",53,51,"Washington"
"53065",61.91036422,265.0360605,"Stevens",53,65,"Washington"
"53067",15.63669847,117.5954948,"Thurston",53,67,"Washington"
"53041",68.11069079,137.3611462,"Lewis",53,41,"Washington"
"53055",-49.27643083,-41.21062393,"San Juan",53,55,"Washington"
"53077",169.9701707,141.0785668,"Yakima",53,77,"Washington"
"53069",-64.74332426,293.3510534,"Wahkiakum",53,69,"Washington"
