"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"01121","Talladega",1,121,"Alabama","County/district-based coroner offices","Coroner"
"01035","Conecuh",1,35,"Alabama","County/district-based coroner offices","Coroner"
"01103","Morgan",1,103,"Alabama","County/district-based coroner offices","Coroner"
"01055","Etowah",1,55,"Alabama","County/district-based coroner offices","Coroner"
"01105","Perry",1,105,"Alabama","County/district-based coroner offices","Coroner"
"01017","Chambers",1,17,"Alabama","County/district-based coroner offices","Coroner"
"01071","Jackson",1,71,"Alabama","County/district-based coroner offices","Coroner"
"01083","Limestone",1,83,"Alabama","County/district-based coroner offices","Coroner"
"01119","Sumter",1,119,"Alabama","County/district-based coroner offices","Coroner"
"01059","Franklin",1,59,"Alabama","County/district-based coroner offices","Coroner"
"01111","Randolph",1,111,"Alabama","County/district-based coroner offices","Coroner"
"01037","Coosa",1,37,"Alabama","County/district-based coroner offices","Coroner"
"01031","Coffee",1,31,"Alabama","County/district-based coroner offices","Coroner"
"01095","Marshall",1,95,"Alabama","County/district-based coroner offices","Coroner"
"01013","Butler",1,13,"Alabama","County/district-based coroner offices","Coroner"
"01087","Macon",1,87,"Alabama","County/district-based coroner offices","Coroner"
"01127","Walker",1,127,"Alabama","County/district-based coroner offices","Coroner"
"01033","Colbert",1,33,"Alabama","County/district-based coroner offices","Coroner"
"01009","Blount",1,9,"Alabama","County/district-based coroner offices","Coroner"
"01133","Winston",1,133,"Alabama","County/district-based coroner offices","Coroner"
"01065","Hale",1,65,"Alabama","County/district-based coroner offices","Coroner"
"01089","Madison",1,89,"Alabama","County/district-based coroner offices","Coroner"
"01011","Bullock",1,11,"Alabama","County/district-based coroner offices","Coroner"
"01025","Clarke",1,25,"Alabama","County/district-based coroner offices","Coroner"
"01041","Crenshaw",1,41,"Alabama","County/district-based coroner offices","Coroner"
"01023","Choctaw",1,23,"Alabama","County/district-based coroner offices","Coroner"
"01077","Lauderdale",1,77,"Alabama","County/district-based coroner offices","Coroner"
"01131","Wilcox",1,131,"Alabama","County/district-based coroner offices","Coroner"
"01043","Cullman",1,43,"Alabama","County/district-based coroner offices","Coroner"
"01069","Houston",1,69,"Alabama","County/district-based coroner offices","Coroner"
"01053","Escambia",1,53,"Alabama","County/district-based medical examiner offices","Medical Examiner"
"01003","Baldwin",1,3,"Alabama","County/district-based coroner offices","Coroner"
"01049","DeKalb",1,49,"Alabama","County/district-based coroner offices","Coroner"
"01015","Calhoun",1,15,"Alabama","County/district-based coroner offices","Coroner"
"01067","Henry",1,67,"Alabama","County/district-based coroner offices","Coroner"
"01113","Russell",1,113,"Alabama","County/district-based coroner offices","Coroner"
"01075","Lamar",1,75,"Alabama","County/district-based coroner offices","Coroner"
"01079","Lawrence",1,79,"Alabama","County/district-based coroner offices","Coroner"
"01047","Dallas",1,47,"Alabama","County/district-based coroner offices","Coroner"
"01039","Covington",1,39,"Alabama","County/district-based coroner offices","Coroner"
"01045","Dale",1,45,"Alabama","County/district-based coroner offices","Coroner"
"01081","Lee",1,81,"Alabama","County/district-based coroner offices","Coroner"
"01101","Montgomery",1,101,"Alabama","County/district-based coroner offices","Coroner"
"01117","Shelby",1,117,"Alabama","County/district-based coroner offices","Coroner"
"01057","Fayette",1,57,"Alabama","County/district-based coroner offices","Coroner"
"01125","Tuscaloosa",1,125,"Alabama","County/district-based medical examiner offices","Medical Examiner"
"01019","Cherokee",1,19,"Alabama","County/district-based coroner offices","Coroner"
"01085","Lowndes",1,85,"Alabama","County/district-based coroner offices","Coroner"
"01091","Marengo",1,91,"Alabama","County/district-based coroner offices","Coroner"
"01099","Monroe",1,99,"Alabama","County/district-based coroner offices","Coroner"
"01107","Pickens",1,107,"Alabama","County/district-based coroner offices","Coroner"
"01129","Washington",1,129,"Alabama","County/district-based coroner offices","Coroner"
"01115","St. Clair",1,115,"Alabama","County/district-based coroner offices","Coroner"
"01093","Marion",1,93,"Alabama","County/district-based coroner offices","Coroner"
"01007","Bibb",1,7,"Alabama","County/district-based coroner offices","Coroner"
"01073","Jefferson",1,73,"Alabama","County/district-based medical examiner offices","Medical Examiner"
"01123","Tallapoosa",1,123,"Alabama","County/district-based coroner offices","Coroner"
"01109","Pike",1,109,"Alabama","County/district-based coroner offices","Coroner"
"01029","Cleburne",1,29,"Alabama","County/district-based coroner offices","Coroner"
"01005","Barbour",1,5,"Alabama","County/district-based coroner offices","Coroner"
"01051","Elmore",1,51,"Alabama","County/district-based coroner offices","Coroner"
"01097","Mobile",1,97,"Alabama","County/district-based medical examiner offices","Medical Examiner"
"01001","Autauga",1,1,"Alabama","County/district-based coroner offices","Coroner"
"01021","Chilton",1,21,"Alabama","County/district-based coroner offices","Coroner"
"01027","Clay",1,27,"Alabama","County/district-based coroner offices","Coroner"
"01063","Greene",1,63,"Alabama","County/district-based coroner offices","Coroner"
"01061","Geneva",1,61,"Alabama","County/district-based coroner offices","Coroner"
