"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"02232","Southeast Alaska",2,232,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02010","Southwest Alaska",2,10,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02110","Juneau",2,110,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02150","Kodiak Island",2,150,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02240","Southeast Fairbanks",2,240,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02240","Southeast Fairbanks",2,240,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02070","Dillingham",2,70,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02070","Dillingham",2,70,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02090","Fairbanks North Star",2,90,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02100","Haines",2,100,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02232","Southeast Alaska",2,232,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02020","Anchorage",2,20,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02180","Nome",2,180,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02220","Sitka",2,220,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02140","Northern Alaska",2,140,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02261","Valdez-Cordova",2,261,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02010","Southwest Alaska",2,10,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02170","Matanuska-Susitna",2,170,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02232","Southeast Alaska",2,232,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02232","Southeast Alaska",2,232,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02050","Bethel",2,50,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02060","Bristol Bay",2,60,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02240","Southeast Fairbanks",2,240,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02240","Southeast Fairbanks",2,240,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02122","Kenai Peninsula",2,122,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02195","Petersburg",2,195,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02185","North Slope",2,185,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02261","Valdez-Cordova",2,261,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02070","Dillingham",2,70,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02240","Southeast Fairbanks",2,240,"Alaska","Centralized state medical examiner office","Medical Examiner"
"02158","Southwest Alaska",2,158,"Alaska","Centralized state medical examiner office","Medical Examiner"
