"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"04021","Pinal",4,21,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04011","Greenlee",4,11,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04003","Cochise",4,3,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04009","Graham",4,9,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04015","Mohave",4,15,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04023","Santa Cruz",4,23,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04001","Apache",4,1,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04027","Yuma",4,27,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04005","Coconino",4,5,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04017","Navajo",4,17,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04025","Yavapai",4,25,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04007","Gila",4,7,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04019","Pima",4,19,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04027","Yuma",4,27,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04027","Yuma",4,27,"Arizona","County/district-based medical examiner offices","Medical Examiner"
"04013","Maricopa",4,13,"Arizona","County/district-based medical examiner offices","Medical Examiner"
