"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype","mditype_store"
"08069","Larimer",8,69,"Colorado","County/district-based medical examiner offices","Medical Examiner"
"08073","Lincoln",8,73,"Colorado","County/district-based coroner offices","Coroner"
"08041","El Paso",8,41,"Colorado","County/district-based coroner offices","Coroner"
"08055","Huerfano",8,55,"Colorado","County/district-based coroner offices","Coroner"
"08025","Crowley",8,25,"Colorado","County/district-based coroner offices","Coroner"
"08105","Rio Grande",8,105,"Colorado","County/district-based coroner offices","Coroner"
"08037","Eagle",8,37,"Colorado","County/district-based coroner offices","Coroner"
"08017","Cheyenne",8,17,"Colorado","County/district-based coroner offices","Coroner"
"08011","Bent",8,11,"Colorado","County/district-based coroner offices","Coroner"
"08019","Clear Creek",8,19,"Colorado","County/district-based coroner offices","Coroner"
"08047","Gilpin",8,47,"Colorado","County/district-based coroner offices","Coroner"
"08109","Saguache",8,109,"Colorado","County/district-based coroner offices","Coroner"
"08085","Montrose",8,85,"Colorado","County/district-based coroner offices","Coroner"
"08103","Rio Blanco",8,103,"Colorado","County/district-based coroner offices","Coroner"
"08021","Conejos",8,21,"Colorado","County/district-based coroner offices","Coroner"
"08053","Hinsdale",8,53,"Colorado","County/district-based coroner offices","Coroner"
"08097","Pitkin",8,97,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08119","Teller",8,119,"Colorado","County/district-based coroner offices","Coroner"
"08039","Elbert",8,39,"Colorado","County/district-based coroner offices","Coroner"
"08095","Phillips",8,95,"Colorado","County/district-based coroner offices","Coroner"
"08063","Kit Carson",8,63,"Colorado","County/district-based coroner offices","Coroner"
"08125","Yuma",8,125,"Colorado","County/district-based coroner offices","Coroner"
"08035","Douglas",8,35,"Colorado","County/district-based coroner offices","Coroner"
"08009","Baca",8,9,"Colorado","County/district-based coroner offices","Coroner"
"08113","San Miguel",8,113,"Colorado","County/district-based coroner offices","Coroner"
"08117","Summit",8,117,"Colorado","County/district-based coroner offices","Coroner"
"08045","Garfield",8,45,"Colorado","County/district-based coroner offices","Coroner"
"08005","Arapahoe",8,5,"Colorado","County/district-based coroner offices","Coroner"
"08007","Archuleta",8,7,"Colorado","County/district-based coroner offices","Coroner"
"08051","Gunnison",8,51,"Colorado","County/district-based coroner offices","Coroner"
"08099","Prowers",8,99,"Colorado","County/district-based coroner offices","Coroner"
"08033","Dolores",8,33,"Colorado","County/district-based coroner offices","Coroner"
"08121","Washington",8,121,"Colorado","County/district-based coroner offices","Coroner"
"08091","Ouray",8,91,"Colorado","County/district-based coroner offices","Coroner"
"08015","Chaffee",8,15,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08089","Otero",8,89,"Colorado","County/district-based coroner offices","Coroner"
"08115","Sedgwick",8,115,"Colorado","County/district-based coroner offices","Coroner"
"08061","Kiowa",8,61,"Colorado","County/district-based coroner offices","Coroner"
"08087","Morgan",8,87,"Colorado","County/district-based coroner offices","Coroner"
"08083","Montezuma",8,83,"Colorado","County/district-based coroner offices","Coroner"
"08071","Las Animas",8,71,"Colorado","County/district-based coroner offices","Coroner"
"08003","Alamosa",8,3,"Colorado","County/district-based coroner offices","Coroner"
"08075","Logan",8,75,"Colorado","County/district-based coroner offices","Coroner"
"08077","Mesa",8,77,"Colorado","County/district-based coroner offices","Coroner"
"08081","Moffat",8,81,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08031","Denver",8,31,"Colorado","County/district-based medical examiner offices","Medical Examiner"
"08027","Custer",8,27,"Colorado","County/district-based coroner offices","Coroner"
"08101","Pueblo",8,101,"Colorado","County/district-based coroner offices","Coroner"
"08111","San Juan",8,111,"Colorado","County/district-based coroner offices","Coroner"
"08023","Costilla",8,23,"Colorado","County/district-based coroner offices","Coroner"
"08067","La Plata",8,67,"Colorado","County/district-based coroner offices","Coroner"
"08093","Park",8,93,"Colorado","County/district-based coroner offices","Coroner"
"08107","Routt",8,107,"Colorado","County/district-based coroner offices","Coroner"
"08043","Fremont",8,43,"Colorado","County/district-based coroner offices","Coroner"
"08065","Lake",8,65,"Colorado","County/district-based coroner offices","Coroner"
"08029","Delta",8,29,"Colorado","County/district-based coroner offices","Coroner"
"08049","Grand",8,49,"Colorado","County/district-based coroner offices","Coroner"
"08079","Mineral",8,79,"Colorado","County/district-based coroner offices","Coroner"
"08059","Jefferson",8,59,"Colorado","County/district-based coroner offices","Coroner"
"08057","Jackson",8,57,"Colorado","County/district-based coroner offices","Coroner"
