"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"13179","Liberty",13,179,"Georgia","Coroner"
"13023","Bleckley",13,23,"Georgia","Coroner"
"13165","Jenkins",13,165,"Georgia","Coroner"
"13177","Lee",13,177,"Georgia","Coroner"
"13073","Columbia",13,73,"Georgia","Coroner"
"13123","Gilmer",13,123,"Georgia","Coroner"
"13273","Terrell",13,273,"Georgia","Coroner"
"13157","Jackson",13,157,"Georgia","Coroner"
"13139","Hall",13,139,"Georgia","Coroner"
"13161","Jeff Davis",13,161,"Georgia","Coroner"
"13191","McIntosh",13,191,"Georgia","Coroner"
"13219","Oconee",13,219,"Georgia","Coroner"
"13319","Wilkinson",13,319,"Georgia","Coroner"
"13267","Tattnall",13,267,"Georgia","Coroner"
"13005","Bacon",13,5,"Georgia","Coroner"
"13053","Chattahoochee",13,53,"Georgia","Coroner"
"13149","Heard",13,149,"Georgia","Coroner"
"13209","Montgomery",13,209,"Georgia","Coroner"
"13063","Clayton",13,63,"Georgia","Medical Examiner"
"13003","Atkinson",13,3,"Georgia","Coroner"
"13277","Tift",13,277,"Georgia","Coroner"
"13271","Telfair",13,271,"Georgia","Coroner"
"13193","Macon",13,193,"Georgia","Coroner"
"13249","Schley",13,249,"Georgia","Coroner"
"13241","Rabun",13,241,"Georgia","Coroner"
"13187","Lumpkin",13,187,"Georgia","Coroner"
"13075","Cook",13,75,"Georgia","Coroner"
"13131","Grady",13,131,"Georgia","Coroner"
"13077","Coweta",13,77,"Georgia","Coroner"
"13237","Putnam",13,237,"Georgia","Coroner"
"13047","Catoosa",13,47,"Georgia","Coroner"
"13013","Barrow",13,13,"Georgia","Coroner"
"13217","Newton",13,217,"Georgia","Coroner"
"13113","Fayette",13,113,"Georgia","Coroner"
"13105","Elbert",13,105,"Georgia","Coroner"
"13317","Wilkes",13,317,"Georgia","Coroner"
"13239","Quitman",13,239,"Georgia","Coroner"
"13195","Madison",13,195,"Georgia","Coroner"
