"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"16075","Payette",16,75,"Idaho","Coroner"
"16009","Benewah",16,9,"Idaho","Coroner"
"16029","Caribou",16,29,"Idaho","Coroner"
"16001","Ada",16,1,"Idaho","Coroner"
"16041","Franklin",16,41,"Idaho","Coroner"
"16031","Cassia",16,31,"Idaho","Coroner"
"16067","Minidoka",16,67,"Idaho","Coroner"
"16007","Bear Lake",16,7,"Idaho","Coroner"
"16053","Jerome",16,53,"Idaho","Coroner"
"16015","Boise",16,15,"Idaho","Coroner"
"16087","Washington",16,87,"Idaho","Coroner"
"16011","Bingham",16,11,"Idaho","Coroner"
"16039","Elmore",16,39,"Idaho","Coroner"
"16073","Owyhee",16,73,"Idaho","Coroner"
"16013","Blaine",16,13,"Idaho","Coroner"
"16005","Bannock",16,5,"Idaho","Coroner"
"16017","Bonner",16,17,"Idaho","Coroner"
"16065","Madison",16,65,"Idaho","Coroner"
"16047","Gooding",16,47,"Idaho","Coroner"
"16019","Bonneville",16,19,"Idaho","Coroner"
"16037","Custer",16,37,"Idaho","Coroner"
"16021","Boundary",16,21,"Idaho","Coroner"
"16061","Lewis",16,61,"Idaho","Coroner"
"16003","Adams",16,3,"Idaho","Coroner"
"16035","Clearwater",16,35,"Idaho","Coroner"
"16081","Teton",16,81,"Idaho","Coroner"
"16083","Twin Falls",16,83,"Idaho","Coroner"
"16033","Clark",16,33,"Idaho","Coroner"
"16049","Idaho (county)",16,49,"Idaho","Coroner"
"16057","Latah",16,57,"Idaho","Coroner"
"16085","Valley",16,85,"Idaho","Coroner"
"16059","Lemhi",16,59,"Idaho","Coroner"
"16023","Butte",16,23,"Idaho","Coroner"
"16043","Fremont",16,43,"Idaho","Coroner"
"16071","Oneida",16,71,"Idaho","Coroner"
"16045","Gem",16,45,"Idaho","Coroner"
"16079","Shoshone",16,79,"Idaho","Coroner"
"16055","Kootenai",16,55,"Idaho","Coroner"
"16051","Jefferson",16,51,"Idaho","Coroner"
"16063","Lincoln",16,63,"Idaho","Coroner"
"16025","Camas",16,25,"Idaho","Coroner"
"16027","Canyon",16,27,"Idaho","Coroner"
"16077","Power",16,77,"Idaho","Coroner"
"16069","Nez Perce",16,69,"Idaho","Coroner"
