"FIPSCode","countyName","stateFIPS","countyFIPS","state","mditype_store"
"17139","Moultrie",17,139,"Illinois","Coroner"
"17073","Henry",17,73,"Illinois","Coroner"
"17023","Clark",17,23,"Illinois","Coroner"
"17039","De Witt",17,39,"Illinois","Coroner"
"17069","Hardin",17,69,"Illinois","Coroner"
"17143","Peoria",17,143,"Illinois","Coroner"
"17019","Champaign",17,19,"Illinois","Coroner"
"17191","Wayne",17,191,"Illinois","Coroner"
"17117","Macoupin",17,117,"Illinois","Coroner"
"17123","Marshall",17,123,"Illinois","Coroner"
"17151","Pope",17,151,"Illinois","Coroner"
"17159","Richland",17,159,"Illinois","Coroner"
"17003","Alexander",17,3,"Illinois","Coroner"
"17103","Lee",17,103,"Illinois","Coroner"
"17169","Schuyler",17,169,"Illinois","Coroner"
"17163","St. Clair",17,163,"Illinois","Coroner"
"17189","Washington",17,189,"Illinois","Coroner"
"17037","DeKalb",17,37,"Illinois","Coroner"
"17053","Ford",17,53,"Illinois","Coroner"
"17055","Franklin",17,55,"Illinois","Coroner"
"17065","Hamilton",17,65,"Illinois","Coroner"
"17077","Jackson",17,77,"Illinois","Coroner"
"17145","Perry",17,145,"Illinois","Coroner"
"17087","Johnson",17,87,"Illinois","Coroner"
"17075","Iroquois",17,75,"Illinois","Coroner"
"17105","Livingston",17,105,"Illinois","Coroner"
"17175","Stark",17,175,"Illinois","Coroner"
"17179","Tazewell",17,179,"Illinois","Coroner"
"17057","Fulton",17,57,"Illinois","Coroner"
"17171","Scott",17,171,"Illinois","Coroner"
"17155","Putnam",17,155,"Illinois","Coroner"
"17081","Jefferson",17,81,"Illinois","Coroner"
"17135","Montgomery",17,135,"Illinois","Coroner"
"17187","Warren",17,187,"Illinois","Coroner"
"17007","Boone",17,7,"Illinois","Coroner"
"17063","Grundy",17,63,"Illinois","Coroner"
"17109","McDonough",17,109,"Illinois","Coroner"
"17129","Menard",17,129,"Illinois","Coroner"
"17101","Lawrence",17,101,"Illinois","Coroner"
"17025","Clay",17,25,"Illinois","Coroner"
"17177","Stephenson",17,177,"Illinois","Coroner"
"17011","Bureau",17,11,"Illinois","Coroner"
"17079","Jasper",17,79,"Illinois","Coroner"
"17045","Edgar",17,45,"Illinois","Coroner"
"17035","Cumberland",17,35,"Illinois","Coroner"
"17141","Ogle",17,141,"Illinois","Coroner"
"17047","Edwards",17,47,"Illinois","Coroner"
"17153","Pulaski",17,153,"Illinois","Coroner"
"17133","Monroe",17,133,"Illinois","Coroner"
"17097","Lake",17,97,"Illinois","Coroner"
"17173","Shelby",17,173,"Illinois","Coroner"
"17017","Cass",17,17,"Illinois","Coroner"
"17067","Hancock",17,67,"Illinois","Coroner"
"17149","Pike",17,149,"Illinois","Coroner"
"17201","Winnebago",17,201,"Illinois","Coroner"
"17001","Adams",17,1,"Illinois","Coroner"
"17059","Gallatin",17,59,"Illinois","Coroner"
"17041","Douglas",17,41,"Illinois","Coroner"
"17015","Carroll",17,15,"Illinois","Coroner"
"17131","Mercer",17,131,"Illinois","Coroner"
"17021","Christian",17,21,"Illinois","Coroner"
"17091","Kankakee",17,91,"Illinois","Coroner"
"17009","Brown",17,9,"Illinois","Coroner"
"17029","Coles",17,29,"Illinois","Coroner"
"17137","Morgan",17,137,"Illinois","Coroner"
"17161","Rock Island",17,161,"Illinois","Coroner"
"17203","Woodford",17,203,"Illinois","Coroner"
"17095","Knox",17,95,"Illinois","Coroner"
"17089","Kane",17,89,"Illinois","Coroner"
"17125","Mason",17,125,"Illinois","Coroner"
"17049","Effingham",17,49,"Illinois","Coroner"
"17147","Piatt",17,147,"Illinois","Coroner"
"17167","Sangamon",17,167,"Illinois","Coroner"
"17119","Madison",17,119,"Illinois","Coroner"
"17085","Jo Daviess",17,85,"Illinois","Coroner"
"17193","White",17,193,"Illinois","Coroner"
"17121","Marion",17,121,"Illinois","Coroner"
"17111","McHenry",17,111,"Illinois","Coroner"
"17031","Cook",17,31,"Illinois","Medical Examiner"
"17115","Macon",17,115,"Illinois","Coroner"
"17071","Henderson",17,71,"Illinois","Coroner"
"17043","DuPage",17,43,"Illinois","Coroner"
"17061","Greene",17,61,"Illinois","Coroner"
"17157","Randolph",17,157,"Illinois","Coroner"
"17181","Union",17,181,"Illinois","Coroner"
"17005","Bond",17,5,"Illinois","Coroner"
"17033","Crawford",17,33,"Illinois","Coroner"
"17195","Whiteside",17,195,"Illinois","Coroner"
"17199","Williamson",17,199,"Illinois","Coroner"
"17197","Will",17,197,"Illinois","Coroner"
"17127","Massac",17,127,"Illinois","Coroner"
"17027","Clinton",17,27,"Illinois","Coroner"
"17093","Kendall",17,93,"Illinois","Coroner"
"17165","Saline",17,165,"Illinois","Coroner"
"17013","Calhoun",17,13,"Illinois","Coroner"
"17107","Logan",17,107,"Illinois","Coroner"
"17183","Vermilion",17,183,"Illinois","Coroner"
"17051","Fayette",17,51,"Illinois","Coroner"
"17083","Jersey",17,83,"Illinois","Coroner"
"17185","Wabash",17,185,"Illinois","Coroner"
"17099","La Salle",17,99,"Illinois","Coroner"
"17113","McLean",17,113,"Illinois","Coroner"
